Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;707646;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg46;;5 Units in CRAB, Onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;46;;;217891;179868
HASSELT - FH09;707648;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg70;;1 Unit in CRAB en GM.;;;BUILDING template;Sint-Truidersteenweg;70;;;217866;179816
HASSELT - FH09;707649;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg72;;1 Unit in CRAB en GM.;;;BUILDING template;Sint-Truidersteenweg;72;;;217853;179804
HASSELT - FH09;708147;1;0;0;1;SDU;;Y;NA;2;4;Notelarenstraat2;;3 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Notelarenstraat;2;;;217544;179567
HASSELT - FH09;709187;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat61;;1Unit in CRAB, niet in GM.;;;BUILDING template;Kerkhofstraat;61;;;217670;179403
HASSELT - FH09;709188;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat59;;1 Unit in CRAB en GM.;;;BUILDING template;Kerkhofstraat;59;;;217675;179410
HASSELT - FH09;709209;1;0;0;1;SDU;;Y;NA;2;4;Sint-Hubertusplein48;;1 Unit in CRAB en GM.;;;BUILDING template;Sint-Hubertusplein;48;;;217319;179811
HASSELT - FH09;1497408;25;1;0;26;MDU;;Y;NA;4;4;Paul Bellefroidlaan29;;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Paul Bellefroidlaan;29;;;218508,89;179117,746
HASSELT - FH09;2091611;3;0;0;3;MDU;;Y;NA;4;4;Boerenkrijgsingel3;;1 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Boerenkrijgsingel;3;;;217231,26;179153,05
HASSELT - FH09;338;2;1;0;3;MDU;;Y;NA;4;4;Notelarenstraat15;; Unit in CRAB, onduidelijk in GM;;;BUILDING template;Notelarenstraat;15;;;217338,634;179635,407
HASSELT - FH09;708117;10;1;0;11;MDU;;Y;NA;4;4;Jagersstraat42;;1 Units in CRAB, 1 in GM.;;;BUILDING template;Jagersstraat;42;;;217371,871;179780,687
HASSELT - FH09;5474379;46;0;0;46;MDU;;Y;NA;4;4;G. Verdilaan1;;1 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;G. Verdilaan;1;;;217774,23;179518,016
HASSELT - FH09;1004533;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat20;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;20;;;218207;179548
HASSELT - FH09;1004537;1;0;0;1;SDU;;Y;NA;2;4;Roode Roosstraat16;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;;;BUILDING template;Roode Roosstraat;16;;;218195;179534
HASSELT - FH09;1004979;1;0;0;1;SDU;;Y;NA;2;4;Walter Thijsstraat8;;18 Units in CRAB, lijken nieuwbouwblokken in GM.;;;BUILDING template;Walter Thijsstraat;8;;;218239;179380
HASSELT - FH09;1505722;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat281;;1 Unit in CRAB, 12 bussen in GM.;;;BUILDING template;Boomkensstraat;281;;;217358;179179
HASSELT - FH09;21900;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg60;;1 Unit in CRAB en GM.;;;BUILDING template;Sint-Truidersteenweg;60;;;217875;179842
HASSELT - FH09;2406640;1;0;0;1;SDU;;Y;NA;2;4;Jules Klockplein1A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Jules Klockplein;1;A;;217492;179485
HASSELT - FH09;2408356;1;0;0;1;SDU;;Y;NA;2;4;Bakkerslaan20A;;Staat in kadaster en CRAB,;;;BUILDING template;Bakkerslaan;20;A;;217340;179440
