Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
EVERE - FH03;78013;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Edward Deknoopstraat - Rue Edouard Deknoop;39;;
EVERE - FH03;1509681;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;187;;
EVERE - FH03;1622234;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;108;;
EVERE - FH03;24800;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Chaussee de Haecht - Haachtsesteenweg;1204;;
EVERE - FH03;78014;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Edward Deknoopstraat - Rue Edouard Deknoop;34;;
EVERE - FH03;1509688;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;114;;
EVERE - FH03;1622235;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;109;;
EVERE - FH03;24838;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;29;;
EVERE - FH03;78015;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Edward Deknoopstraat - Rue Edouard Deknoop;44;;
EVERE - FH03;1517718;54;4;0;58;MDU;;Y;NA;4;4;;;;;BUILDING template;Andalusielaan - Avenue de l Andalousie;10;;
EVERE - FH03;1621570;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;30;;
EVERE - FH03;1623000;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;115;;
EVERE - FH03;24846;0;4;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;355;;
EVERE - FH03;827638;51;0;0;51;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;2;;
EVERE - FH03;1621571;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;31;;
EVERE - FH03;1622237;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;111;;
EVERE - FH03;24948;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;1;;
EVERE - FH03;1621572;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;33;;
EVERE - FH03;1622238;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;113;;
EVERE - FH03;1623534;11;0;0;11;MDU;;Y;NA;4;4;;;;;BUILDING template;Onthaalsquare - Square de l Accueil;3;;
EVERE - FH03;24964;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Edward Deknoopstraat - Rue Edouard Deknoop;79;;
EVERE - FH03;827640;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;6;;
EVERE - FH03;1621573;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;34;;
