Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH05;2407173;9;0;1;10;MDU;;N;ORN;5;0;;;Y;_;BUILDING template;Anne Frankplein;8;;
HASSELT - FH05;5751544;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;_;BUILDING template;Winterstraat;28;;
HASSELT - FH05;5431280;1;0;0;1;SDU;;N;ORN;2;0;;;Y;_;BUILDING template;Winterstraat;29;;
HASSELT - FH05;5778252;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Winterstraat;37;;
HASSELT - FH05;328570;1;0;0;1;SDU;;N;IRREG;2;0;;;Y;_;BUILDING template;Zomerstraat;10;;
HASSELT - FH05;2407191;0;1;0;1;SDU;;N;ORN;5;0;;;Y;_;BUILDING template;Anne Frankplein;17;;
HASSELT - FH05;328574;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Zomerstraat;14;;
HASSELT - FH05;4896784;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Zomerstraat;16;;
HASSELT - FH05;NB-350050e60154;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Lentestraat;50;;
HASSELT - FH05;NB-350029192a44;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Zomerstraat;29;;
HASSELT - FH05;NB-350033913246;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Zomerstraat;33;;
HASSELT - FH05;2448980;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Zomerstraat;41;;
HASSELT - FH05;2412582;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;;BUILDING template;Danielsstraat;19;;
HASSELT - FH05;328549;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;;BUILDING template;Danielsstraat;21;;
HASSELT - FH05;NB-350039a13b14;1;0;0;1;SDU;;N;GLASS;4;0;;;;_;BUILDING template;Zomerstraat;39;;
