Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
SINT-NIKLAAS - FH02;3529877;1;0;0;1;SDU;;Y;NA;2;5;;;;;BUILDING template;Lodewijk De Meesterstraat;130;;;134960,757;206029,113
SINT-NIKLAAS - FH02;75755;0;1;0;1;SDU;;N;MON;9;21;;;Y;MON;BUILDING template;Hospitaalstraat;19;;;134697,826;205805,237
SINT-NIKLAAS - FH02;6419364;0;1;0;1;SDU;;N;IRREG;1;3;;;;_;BUILDING template;Parklaan;14;B;;134218,696;205877,28
SINT-NIKLAAS - FH02;3515258;0;1;0;1;SDU;;N;IRREG;4;15;;;;;BUILDING template;Stationsplein;20;;;134384,693;206829,142
SINT-NIKLAAS - FH02;62529;2;0;0;2;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Regentiestraat;82;;;134557,952;206472,609
SINT-NIKLAAS - FH02;68409;3;0;0;3;MDU;D;Y;NA;4;4;;;Y;;BUILDING template;Ankerstraat;48;;;134381,139;206235,886
SINT-NIKLAAS - FH02;3497555;2;0;0;2;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Kalkstraat;95;;;134544,782;205942,56
SINT-NIKLAAS - FH02;3529880;1;0;0;1;SDU;;Y;NA;2;5;;;;;BUILDING template;Lodewijk De Meesterstraat;132;;;134964,687;206030,869
SINT-NIKLAAS - FH02;75756;0;1;0;1;SDU;;N;IRREG;4;14;;;Y;;BUILDING template;Hospitaalstraat;23;;;134742,149;205782,449
SINT-NIKLAAS - FH02;62527;0;1;0;1;SDU;;Y;NA;4;4;;;;;BUILDING template;Regentiestraat;46;;;134447,582;206496,069
SINT-NIKLAAS - FH02;69849;10;0;1;11;MDU;C;N;IRREG;5;15;;;;;BUILDING template;Stationsplein;21;;Stationsplein 21-22-23-24-25-26-27-28;134376,454;206826,082
SINT-NIKLAAS - FH02;5380502;0;1;0;1;MDU;XC;N;IRREG;5;12;;;Y;;BUILDING template;Regentiestraat;58;A;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;134485,162;206488,871
