Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos;Fiberhood
SCHAERBEEK - FH03;951311;4;0;0;4;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Auguste Reyerslaan;53;;;152199,517;171299,524;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950431;11;0;1;12;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Adolphe Lacomblélaan;24;;Adolphe Lacomblélaan 22-24;152215;171056;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681509;3;1;0;4;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; op GM 2 bussen";Y;_;BUILDING template;Diamantlaan;72;;;151798,117;171267,349;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951335;21;0;1;22;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;55;;;152218,009;171248,089;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678050;12;0;1;13;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Auguste Reyerslaan;17;;Auguste Reyerslaan 15-17;152131,698;171482,653;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681512;3;0;0;3;MDU;;Y;NA;4;6;;Uitgeblurd op GM;Y;_;BUILDING template;Diamantlaan;76;;;151802,787;171264,883;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951336;8;0;0;8;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;57;;;152220,439;171242,339;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678060;16;1;1;18;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;47;;Auguste Reyerslaan 45-47;152191;171320;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681514;3;0;0;3;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Diamantlaan;78;;;151807,321;171261,428;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951337;1;1;0;2;MDU;;Y;NA;4;9;;;Y;_;BUILDING template;Auguste Reyerslaan;59;;;152223,294;171235,057;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950429;1;0;0;1;SDU;;Y;NA;1;3;;;Y;_;BUILDING template;Auguste Reyerslaan;113;;;152266;171121;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681516;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;80;;;151811,865;171258,481;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678064;1;0;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;Auguste Reyerslaan;61;;;152225,749;171227,658;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;6731852;1;0;0;1;SDU;;Y;NA;0;6;;;Y;_;BUILDING template;Auguste Reyerslaan;117;;;152285;171077;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5569115;2;1;0;3;MDU;;Y;NA;5;3;;"Volgens PXS 2 units; vermoedelijk 1 unit op GM";Y;_;BUILDING template;Diamantlaan;84;;Diamantlaan 84-86;151817,028;171256,884;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951338;8;0;1;9;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;63;;;152228,179;171220,959;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681462;4;1;0;5;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;4;;Diamantlaan 2-4;151636;171400;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1321631;29;0;2;31;MDU;;Y;NA;8;6;;Volgens PXS 1 unit, op GM vermoedelijk veel meer (groot appartementsgebouw);Y;_;BUILDING template;Diamantlaan;94;;Diamantlaan 94_Milcampslaan 145;151863,266;171232,479;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585257;16;0;1;17;MDU;;Y;NA;9;3;;;Y;_;BUILDING template;Auguste Reyerslaan;67;;Auguste Reyerslaan 67-69;152230,529;171214,468;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681470;0;1;0;1;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;14;;Diamantlaan 12-14;151655;171377;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681523;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;96;;;151871,66;171227,8;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951339;16;0;1;17;MDU;;Y;NA;9;3;;;Y;_;BUILDING template;Auguste Reyerslaan;69;;Auguste Reyerslaan 67-69;152234,649;171203,11;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947983;10;0;2;12;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Diamantlaan;32;;Diamantlaan 30-32;151702;171327;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681524;0;1;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;98;;;151877,409;171224,556;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948126;36;0;1;37;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;103;;;152251,129;171164,05;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947984;12;0;1;13;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Diamantlaan;36;;Diamantlaan 34-36;151714;171318;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681526;1;0;0;1;SDU;;Y;NA;3;3;;Uitgeblurd op GM;Y;_;BUILDING template;Diamantlaan;100;;;151880,922;171222,483;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950426;0;1;0;1;SDU;;Y;NA;4;9;;;Y;_;BUILDING template;Auguste Reyerslaan;105;;;152255,868;171148,322;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4129254;11;0;1;12;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Diamantlaan;40;;;151733;171304;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681527;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;102;;;151888,421;171218,706;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950427;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Auguste Reyerslaan;107;;;152258,049;171141,569;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947985;4;1;0;5;MDU;;Y;NA;5;6;;;Y;_;BUILDING template;Diamantlaan;60;;Diamantlaan 60_Léon Mahillonlaan 62;151742;171294;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681528;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;104;;;151893,919;171215,968;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950428;4;0;0;4;MDU;;Y;NA;4;6;;"Volgens PXS: 6 units; op GM vermoedelijk minder";Y;_;BUILDING template;Auguste Reyerslaan;109;;;152260,76;171134,319;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;6525428;2;1;0;3;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Diamantlaan;86;;Diamantlaan 84-86;151818,739;171253,076;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951345;3;1;0;4;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; 4 bussen op GM";Y;_;BUILDING template;Diamantlaan;116;;;152002,741;171153,615;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950430;5;0;1;6;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Auguste Reyerslaan;111;;;152263,709;171126,4;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681518;2;1;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;88;;Diamantlaan 88_Milcampslaan 118;151821,055;171251,738;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681535;4;0;0;4;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; 6 bussen op GM";Y;_;BUILDING template;Diamantlaan;118;;;152009,301;171152,141;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948263;16;0;1;17;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Auguste Reyerslaan;115;;;152279,839;171088,278;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951340;7;0;2;9;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Diamantlaan;146;;Diamantlaan 144-146;152086,596;171110,686;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681537;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Diamantlaan;120;;;152014,706;171149,832;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678076;1;1;0;2;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Auguste Reyerslaan;119;;;152284,16;171071,7;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1504945;4;1;0;5;MDU;;Y;NA;5;3;;;Y;Nr. 160 is BU en de LU'S zijn nr 158;BUILDING template;Diamantlaan;160;;Diamantlaan 158-160;152121;171097;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681539;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Diamantlaan;122;;;152019,271;171146,998;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678077;1;1;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Auguste Reyerslaan;121;;;152286,311;171065,171;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1677603;1;1;0;2;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Emile Maxlaan;112;;Emile Maxlaan 110-112;151995;171205;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681540;1;0;0;1;SDU;;Y;NA;3;6;;"Volgens PXS 2 units; 1 bus op GM";Y;_;BUILDING template;Diamantlaan;124;;;152024,151;171145,109;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678079;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Auguste Reyerslaan;123;;;152288,839;171059,069;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951344;4;0;0;4;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; 6 bussen op GM";Y;_;BUILDING template;Diamantlaan;126;;;152028,507;171142,695;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678080;2;0;0;2;MDU;;Y;NA;4;6;;"Volgens PXS 1 unit; staan 2 bussen op GM";Y;_;BUILDING template;Auguste Reyerslaan;125;;;152291,129;171052,849;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681543;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;128;;;152034,174;171139,809;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1321176;4;0;0;4;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; staan 4 bussen op GM";Y;_;BUILDING template;Auguste Reyerslaan;127;;;152293,549;171046,299;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1677620;1;0;0;1;SDU;;Y;NA;1;6;;;Y;_;BUILDING template;Emile Maxlaan;139;;;152068;171199;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951343;11;0;0;11;MDU;;Y;NA;6;3;;"Volgens PXS 11 units; 12 bussen op GM";Y;_;BUILDING template;Diamantlaan;130;;;152043,668;171135,259;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678083;4;0;0;4;MDU;;Y;NA;5;6;;"Volgens PXS 5 units; lijken 4 units op GM";Y;_;BUILDING template;Auguste Reyerslaan;131;;;152295,969;171039,75;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951342;4;0;0;4;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Diamantlaan;132;;;152051,859;171130,939;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;246499;1;0;0;1;SDU;;Y;NA;4;6;;Op GM werd op bovenste verdieping gebouwd (okt 2019);Y;_;BUILDING template;Auguste Reyerslaan;133;;;152298,31;171033,42;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949646;11;0;1;12;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Emile Maxlaan;150;;;152097;171247;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681545;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;134;;;152057,598;171127,81;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671057;0;1;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;Leuvensesteenweg;478;;;151626,087;171432,108;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4119541;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Emile Maxlaan;155;;;152115;171212;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681547;5;0;0;5;MDU;;Y;NA;5;6;;;Y;_;BUILDING template;Diamantlaan;136;;;152060,779;171126,008;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949479;0;1;0;1;SDU;;Y;NA;4;6;;"Volgens PXS 6 BU&apos;s; op GM vermoedelijk 1 en 4 LU&apos;s";Y;480 enkel BU, inkom van appartementen boven BU is in topaaslaan;BUILDING template;Leuvensesteenweg;480;;;151633,057;171436,449;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585238;14;0;2;16;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Emile Maxlaan;162;;Emile Maxlaan 160-162;152139;171263;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681548;0;1;0;1;SDU;;Y;NA;4;3;;"Volgens PXS 4 units; 3 bussen op GM";Y;_;BUILDING template;Diamantlaan;138;;;152066,345;171123,546;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671061;3;1;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leuvensesteenweg;484;;;151647,619;171435,404;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1321743;26;2;1;29;MDU;;Y;NA;10;3;;;Y;_;BUILDING template;Eugène Plaskylaan;123;;Eugène Plaskylaan 121-123-125;151995;171247;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681549;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;140;;;152071,641;171120,603;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671062;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leuvensesteenweg;486;;;151653,76;171437,934;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585243;26;2;1;29;MDU;;Y;NA;10;3;;;Y;_;BUILDING template;Eugène Plaskylaan;125;;Eugène Plaskylaan 121-123-125;151996;171252;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951341;3;1;0;4;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; 4 bellen op GM";Y;_;BUILDING template;Diamantlaan;142;;;152076,889;171117,98;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671063;1;1;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Leuvensesteenweg;488;;;151658,839;171439,954;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585244;21;0;1;22;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Eugène Plaskylaan;135;;Eugène Plaskylaan 133-135;152005;171283;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585369;0;1;0;1;MDU;;Y;NA;5;3;;"Volgens PXS 14 units; op GM vermoedelijk 7";Y;Enkel garageboxen geen woningen;BUILDING template;Diamantlaan;144;;Diamantlaan 144-146;152082,661;171114,411;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671064;1;1;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Leuvensesteenweg;490;;;151664,42;171442,135;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;303946;0;1;0;1;SDU;;Y;NA;6;3;;;Y;_;BUILDING template;Eugène Plaskylaan;184;;;151997;171415;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681555;5;0;0;5;MDU;;Y;NA;5;6;;"Volgens PXS 4 units; op GM 2 bussen";Y;_;BUILDING template;Diamantlaan;148;;;152092,259;171109,358;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4114738;3;0;0;3;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; op GM 2 bussen";Y;_;BUILDING template;Leuvensesteenweg;492;;;151670,039;171444,324;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681557;4;0;0;4;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Diamantlaan;150;;;152097,639;171106,459;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671065;6;0;0;6;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leuvensesteenweg;494;;;151675,429;171446,434;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949592;24;1;2;27;MDU;;Y;NA;9;3;;;Y;_;BUILDING template;Eugène Plaskylaan;191;;Eugène Plaskylaan 189-191;152069;171504;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681558;1;0;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;Diamantlaan;152;;;152102,889;171103,619;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671066;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leuvensesteenweg;496;;;151681,163;171448,005;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;25595;18;3;1;22;MDU;;Y;NA;9;3;;;Y;_;BUILDING template;Eugène Plaskysquare;111;;;151984;171210;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681559;3;0;0;3;MDU;;Y;NA;4;3;;"Volgens PXS 2 units; op GM 2 bussen";Y;_;BUILDING template;Diamantlaan;154;;;152108,347;171100,948;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671068;4;1;0;5;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; vermoedelijk op GM 1 unit";Y;_;BUILDING template;Leuvensesteenweg;498;;Leuvensesteenweg 498-500;151685,018;171450,237;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1677481;3;1;0;4;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;Léon Mahillonlaan;99;;;151775;171284;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681560;4;0;0;4;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;156;;;152112,362;171097,305;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949480;5;0;0;5;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leuvensesteenweg;502;;;151692,62;171453,153;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;6524868;0;1;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;Leuvensesteenweg;482;;;151640,141;171437,078;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681561;4;1;0;5;MDU;;Y;NA;5;3;;"Volgens PXS 5 units; op GM staat BU op nr 160";Y;_;BUILDING template;Diamantlaan;158;;Diamantlaan 158-160;152116,717;171094,733;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949481;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Leuvensesteenweg;504;;;151698,659;171455,514;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671070;4;1;0;5;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Leuvensesteenweg;500;;Leuvensesteenweg 498-500;151689,022;171446,209;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951346;2;0;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;162;;;152124,42;171092,018;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671074;9;0;1;10;MDU;;Y;NA;4;6;;Niet te zien op GM, staat vermoedelijk op nr 508;Y;_;BUILDING template;Leuvensesteenweg;506;;Leuvensesteenweg 506-508;151703,599;171457,495;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671076;9;0;1;10;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Leuvensesteenweg;508;;Leuvensesteenweg 506-508;151707;171459;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948127;21;0;1;22;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Diamantlaan;164;;;152160,319;171072,618;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671077;0;2;0;2;MDU;;N;GLASS;1;4;;Verhuisd tussen 2013-2017;Y;_;BUILDING template;Leuvensesteenweg;510;;;151727,088;171466,625;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948128;14;0;1;15;MDU;;Y;NA;7;6;;;Y;_;BUILDING template;Diamantlaan;166;;;152175,589;171064,549;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4119565;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Leuvensesteenweg;540;;;151829,058;171507,025;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948129;14;0;1;15;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Diamantlaan;168;;;152192,11;171055,619;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671086;4;0;0;4;MDU;;Y;NA;3;6;;;Y;Enkel appartementen op verdieping;BUILDING template;Leuvensesteenweg;542;;;151836,138;171509,706;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948130;22;0;1;23;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Diamantlaan;184;;;152205,178;171048,488;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671088;43;5;3;51;MDU;;Y;NA;10;6;;"Volgens PXS 15 units; in GM staan er vermoedelijk 5 onder nr 550";Y;Review Required;BUILDING template;Leuvensesteenweg;546;;Leuvensesteenweg 546-550-552;151853,583;171516,355;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4960084;0;0;0;0;SDU;;Y;NA;2;4;;;N;parking;BUILDING template;Leuvensesteenweg;518;;;151781;171483;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;26232;23;0;1;24;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Diamantlaan;186;;;152234,49;171032,709;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671091;21;2;2;25;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Leuvensesteenweg;554;;;151883,83;171528,479;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681571;8;0;1;9;MDU;;Y;NA;7;3;;Volgens PXS 7 units, 8 bussen op GM;Y;_;BUILDING template;Diamantlaan;188;;;152244,83;171027,148;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1677324;12;2;1;15;MDU;;Y;NA;8;6;;;Y;_;BUILDING template;Generaal Meiserplein;3;;;152095,59;171541,499;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4960088;0;0;0;0;SDU;;Y;NA;2;4;;;N;parking;BUILDING template;Leuvensesteenweg;522;;;151781;171483;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681573;6;0;1;7;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Diamantlaan;190;;;152251,83;171023,379;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;25593;16;0;1;17;MDU;;Y;NA;9;6;;;Y;_;BUILDING template;Generaal Meiserplein;5;;;152079,29;171544,339;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681575;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;192;;;152257,98;171020,078;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;303952;7;1;0;8;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Saffierstraat;1;;Saffierstraat 1-3;151916,303;171466,438;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;948324;10;0;1;11;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Diamantlaan;196;;;152264,906;171016,231;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673213;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Saffierstraat;5;;;151933,501;171465,021;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681578;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;198;;;152274,48;171011,329;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4114695;1;0;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;Saffierstraat;7;;;151938,46;171462,66;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;6187676;0;0;0;0;SDU;;Y;NA;2;4;;;N;"open verkaveling; treinspoor";BUILDING template;Leuvensesteenweg;530;;;151781;171483;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681579;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;200;;;152279,639;171008,669;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673217;0;1;1;2;MDU;;Y;NA;5;6;;;Y;_;BUILDING template;Saffierstraat;15;;;151961,519;171455,909;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4960095;0;0;0;0;SDU;;Y;NA;2;4;;;N;"open verkaveling; treinspoor";BUILDING template;Leuvensesteenweg;532;;;151781;171483;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949642;1;1;0;2;MDU;;Y;NA;5;3;;"Volgens PXS 3 BU&apos;s; op GM vermoedelijk 1 op dit adres";Y;_;BUILDING template;Emile Maxlaan;110;;Emile Maxlaan 110-112;151993,259;171203,078;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673219;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Saffierstraat;17;;;151972,445;171454,932;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1677604;4;0;0;4;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Emile Maxlaan;114;;;151999,013;171207,188;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673221;3;0;0;3;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;Saffierstraat;19;;;151979,011;171453,942;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1677605;3;0;0;3;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; op GM vermoedelijk 2";Y;_;BUILDING template;Emile Maxlaan;116;;;152004,643;171209,409;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;303953;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Saffierstraat;21;;;151985,489;171452,36;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;14920;5;0;0;5;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Emile Maxlaan;117;;;152005,769;171169,318;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673224;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Saffierstraat;23;;;151991,23;171451,479;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671090;43;5;3;51;MDU;;Y;NA;10;6;;;Y;Review Required;BUILDING template;Leuvensesteenweg;550;;Leuvensesteenweg 546-550-552;151863;171520;W03-C-Schaerbeek-FH03
