Projectnummer;LAM MK;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Kolom1;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;NB-35001868928;1;0;0;1;SDU;;Wolfgang Amadeus Mozartlaan18;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Wolfgang Amadeus Mozartlaan;18;;;217963;179274
HASSELT - FH09;NB-35001A34735;1;0;0;1;SDU;;Roode Roosstraat1A;Y;NA;2;4;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;1;A;;218123;179498
HASSELT - FH09;NB-35001A90923;1;0;0;1;SDU;;Jules Klockplein1A;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Jules Klockplein;1;A;;217492;179485
HASSELT - FH09;NB-35002043600;1;0;0;1;SDU;;Arnold van Loonlaan20;N;HEIGHT;2;4;Bouwgrond;Leegstaand perceel;Y;;BUILDING template;Arnold van Loonlaan;20;;;218573;218573
HASSELT - FH09;NB-350020485968;1;0;0;1;SDU;;Boomkensstraat204;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Boomkensstraat;204;;;217562;179497
HASSELT - FH09;NB-35002052923;1;0;0;1;SDU;;Kerkhofstraat20;Y;NA;2;4;;1Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Kerkhofstraat;20;;;217832;179733
HASSELT - FH09;NB-35002053216;1;0;0;1;SDU;;Notelarenstraat20;Y;NA;2;4;;4 Units in CRAB, 4 bussen in GM.;Y;;BUILDING template;Notelarenstraat;20;;;217483;179579
HASSELT - FH09;NB-35002076842;1;0;0;1;SDU;;Paul Bellefroidlaan20;Y;NA;2;4;;1 Unit in CRAB, Niet in GM.;Y;;BUILDING template;Paul Bellefroidlaan;20;;;218637;179008
HASSELT - FH09;NB-35002081215;1;0;0;1;SDU;;Roode Roosstraat20;Y;NA;2;4;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;20;;;218207;179548
HASSELT - FH09;NB-350020929819;1;0;0;1;SDU;;Boomkensstraat209;Y;NA;2;4;;1 Unit in CRAB en Kadaster, niet in GM.;Y;;BUILDING template;Boomkensstraat;209;;;217538;179496
HASSELT - FH09;NB-350020A66814;1;0;0;1;SDU;;Bakkerslaan20A;Y;NA;2;4;;Staat in kadaster en CRAB,;Y;;BUILDING template;Bakkerslaan;20;A;;217340;179440
HASSELT - FH09;NB-35002117676;1;0;0;1;SDU;;A. Vivaldilaan21;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;A. Vivaldilaan;21;;;217745;179359
HASSELT - FH09;NB-3500212134;1;0;0;1;SDU;;Sint-Martinusplein2;Y;NA;2;4;;5 Units in CRAB, Onduidelijk in GM.;Y;;BUILDING template;Sint-Martinusplein;2;;;218507;179103
HASSELT - FH09;NB-35002138792;1;0;0;1;SDU;;Bergstraat21;Y;NA;2;4;;staat in CRAB en kadaster, niet in GM.;Y;;BUILDING template;Bergstraat;21;;;218097;179386
HASSELT - FH09;NB-35002209270;1;0;0;1;SDU;;Roode Roosstraat22;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Roode Roosstraat;22;;;218213;179553
HASSELT - FH09;NB-350022542762;1;0;0;1;SDU;;Sint-Truidersteenweg225;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Sint-Truidersteenweg;225;;;217515;179293
HASSELT - FH09;NB-35002320244;1;0;0;1;SDU;;Arnold van Loonlaan23;N;HEIGHT;2;4;Bouwgrond;Leegstaand perceel;Y;;BUILDING template;Arnold van Loonlaan;23;;;218448;178791
HASSELT - FH09;NB-35002439362;1;0;0;1;SDU;;Wolfgang Amadeus Mozartlaan24;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Wolfgang Amadeus Mozartlaan;24;;;217959;179250
HASSELT - FH09;NB-350024769743;1;0;0;1;SDU;;Boomkensstraat247;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Boomkensstraat;247;;;217450;179309
HASSELT - FH09;NB-3500250868;1;0;0;1;SDU;;Wolfgang Amadeus Mozartlaan2;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Wolfgang Amadeus Mozartlaan;2;;;217903;179311
HASSELT - FH09;NB-3500250B72219;1;0;0;1;SDU;;Sint-Truidersteenweg250B;Y;NA;2;4;;1 Unit in CRAB, Onduidelijk in GM.;Y;;BUILDING template;Sint-Truidersteenweg;250;B;;217466;179150
HASSELT - FH09;NB-350025766501;1;0;0;1;SDU;;Boomkensstraat257;Y;NA;2;4;;5 Units in CRAB, onduidelijk in GM.;Y;;BUILDING template;Boomkensstraat;257;;;217415;179259
HASSELT - FH09;NB-35002586903;1;0;0;1;SDU;;Rode-Berglaan25;N;HEIGHT;2;4;Bouwgrond;leeg perceel;Y;;BUILDING template;Rode-Berglaan;25;;;218254;178692
HASSELT - FH09;NB-35002627764;1;0;0;1;SDU;;J.S. Bachlaan26;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;J.S. Bachlaan;26;;;217844;179568
HASSELT - FH09;NB-35002712148;1;0;0;1;SDU;;Kerkhofstraat27;Y;NA;2;4;;1Unit in CRAB, niet in GM.;Y;;BUILDING template;Kerkhofstraat;27;;;217739;179547
HASSELT - FH09;NB-3500276949;1;0;0;1;SDU;;Notelarenstraat2;Y;NA;2;4;;3 Units in CRAB, onduidelijk in GM.;Y;;BUILDING template;Notelarenstraat;2;;;217544;179567
HASSELT - FH09;NB-350028136157;1;0;0;1;SDU;;Boomkensstraat281;Y;NA;2;4;;1 Unit in CRAB, 12 bussen in GM.;Y;;BUILDING template;Boomkensstraat;281;;;217358;179179
HASSELT - FH09;NB-350028174487;1;0;0;1;SDU;;Sint-Truidersteenweg281;Y;NA;2;4;;1 Unit in CRAB, 1 bus te zien in GM.;Y;;BUILDING template;Sint-Truidersteenweg;281;;;217435;179174
HASSELT - FH09;NB-35002819016;1;0;0;1;SDU;;J.S. Bachlaan28;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;J.S. Bachlaan;28;;;217848;179577
HASSELT - FH09;NB-3500282A23118;1;0;0;1;SDU;;Sint-Truidersteenweg282A;Y;NA;2;4;;3 Units in CRAB, aantal onduidelijk in GM.;Y;;BUILDING template;Sint-Truidersteenweg;282;A;;217417;179044
HASSELT - FH09;NB-3500282B38510;1;0;0;1;SDU;;Sint-Truidersteenweg282B;Y;NA;2;4;;3 Units in CRAB, aantal onduidelijk in GM.;Y;;BUILDING template;Sint-Truidersteenweg;282;B;;217410;179035
HASSELT - FH09;NB-35002938617;1;0;0;1;SDU;;Kerkhofstraat29;Y;NA;2;4;;1Unit in CRAB, niet in GM.;Y;;BUILDING template;Kerkhofstraat;29;;;217734;179539
HASSELT - FH09;NB-35002951514;1;0;0;1;SDU;;Arnold van Loonlaan29;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Arnold van Loonlaan;29;;;218397;178772
HASSELT - FH09;NB-35002977726;1;0;0;1;SDU;;Kruisherenlaan29;Y;NA;2;4;;1 Unit in CRAB, Niet in GM.;Y;;BUILDING template;Kruisherenlaan;29;;;217344;179364
HASSELT - FH09;NB-35003039781;1;0;0;1;SDU;;Kruisherenlaan30;Y;NA;2;4;;1 Unit in CRAB, Niet in GM.;Y;;BUILDING template;Kruisherenlaan;30;;;217338;179441
HASSELT - FH09;NB-35003067648;1;0;0;1;SDU;;Generaal Lemanstraat30;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Generaal Lemanstraat;30;;;218234;178919
HASSELT - FH09;NB-35003124505;1;0;0;1;SDU;;Kruisherenlaan31;Y;NA;2;4;;1 Unit in CRAB, Niet in GM.;Y;;BUILDING template;Kruisherenlaan;31;;;217318;179408
