Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Kolom1;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH12;300769;1;0;0;1;SDU;;Y;NA;2;4;Varenstraat2; ;;;;BUILDING template;Varenstraat;2;;;72575,974;225476,167
KNOKKE-HEIST - FH12;2756565;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof10; ;;;;BUILDING template;Pinksterbloemhof;10;;;72533,479;225972,333
KNOKKE-HEIST - FH12;2764930;2;0;0;2;MDU;;Y;NA;4;4;Pannenstraat299; ;;;;BUILDING template;Pannenstraat;299;;;72226,415;225977,262
KNOKKE-HEIST - FH12;300770;1;0;0;1;SDU;;Y;NA;2;4;Varenstraat11; ;;;;BUILDING template;Varenstraat;11;;;72505,32;225510,3
KNOKKE-HEIST - FH12;2756566;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof11; ;;;;BUILDING template;Pinksterbloemhof;11;;;72539,811;225962,722
KNOKKE-HEIST - FH12;2764931;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat301; ;;;;BUILDING template;Pannenstraat;301;;;72236,665;225979,648
KNOKKE-HEIST - FH12;300771;1;0;0;1;SDU;;Y;NA;2;4;Varenstraat3; ;;;;BUILDING template;Varenstraat;3;;;72516,68;225473,162
KNOKKE-HEIST - FH12;2756567;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof16; ;;;;BUILDING template;Pinksterbloemhof;16;;;72551,486;225924,205
KNOKKE-HEIST - FH12;2764932;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat303; ;;;;BUILDING template;Pannenstraat;303;;;72242,445;225982,9
KNOKKE-HEIST - FH12;300772;1;0;0;1;SDU;;Y;NA;2;4;Varenstraat13; ;;;;BUILDING template;Varenstraat;13;;;72522,71;225541,673
KNOKKE-HEIST - FH12;2756569;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof25; ;;;;BUILDING template;Pinksterbloemhof;25;;;72567,988;225968,649
KNOKKE-HEIST - FH12;2764934;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat305; ;;;;BUILDING template;Pannenstraat;305;;;72238,435;226005,421
KNOKKE-HEIST - FH12;300778;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat205; ;;;;BUILDING template;Westkapellestraat;205;;;72287,749;225359,235
KNOKKE-HEIST - FH12;2756570;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof32; ;;;;BUILDING template;Pinksterbloemhof;32;;;72603,606;225938,104
KNOKKE-HEIST - FH12;2764935;3;0;0;3;MDU;;Y;NA;4;4;Pannenstraat307; ;;;;BUILDING template;Pannenstraat;307;;;72250,426;225991,661
KNOKKE-HEIST - FH12;300779;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat187; ;;;;BUILDING template;Westkapellestraat;187;;;72238,473;225440,241
KNOKKE-HEIST - FH12;2757252;1;0;0;1;SDU;;Y;NA;2;4;Logenhoek22; ;;;;BUILDING template;Logenhoek;22;;;72640,544;226019,342
KNOKKE-HEIST - FH12;2764936;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat309; ;;;;BUILDING template;Pannenstraat;309;;;72255,958;225993,296
KNOKKE-HEIST - FH12;300780;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat210; ;;;;BUILDING template;Westkapellestraat;210;;;72211,871;225404,771
