Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;NR BU GM;NR LU GM;NR SU GM;UNITS TOTAL GM;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;OPMERKINGEN;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH03;Units su diff;3420215;BL0311;;5051622;3420215;9266134;Zuidstraat 54-56;Zuidstraat 54-56;Zuidstraat;56;;D;;2018-10-03;Hidde Kiekens;MDU;0;1;0;1;0;1;0;1;1;1;1;3;gewone rijwoning maar naam op belletjes zijn bedrijfsnamen? BU?;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;4368517;BL0311;;4707895;4368517;9266134;Zuidstraat 54-56;Zuidstraat 54-56;Zuidstraat;54;;D;;2018-06-22;;MDU;0;1;0;1;0;1;0;1;0;1;0;1;gewone rijwoning maar naam op belletjes zijn bedrijfsnamen? BU?;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;4368517;BL0311;;4707895;4368517;9266134;Zuidstraat 54-56;Zuidstraat 54-56;Zuidstraat;54;;D;;2018-06-22;;MDU;0;1;0;1;0;1;0;1;0;1;0;1;gewone rijwoning maar naam op belletjes zijn bedrijfsnamen? BU?;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;3420219;BL0311;;5051623;3420219;9266220;Zuidstraat 60-62;Zuidstraat 60-62;Zuidstraat;60;;D;;2019-11-18;Ryan De Vries;MDU;0;3;0;3;0;3;0;3;1;3;0;4;nr. 62 zou de BU zijn op gelijkvloers. Ook via Google. Ik denk geen SU;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;3420219;BL0311;;5051623;3420219;9266220;Zuidstraat 60-62;Zuidstraat 60-62;Zuidstraat;60;;D;;2019-11-18;Ryan De Vries;MDU;0;3;0;3;0;3;0;3;1;3;0;4;nr. 62 zou de BU zijn op gelijkvloers. Ook via Google. Ik denk geen SU;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;3420219;BL0311;;5051623;3420219;9266220;Zuidstraat 60-62;Zuidstraat 60-62;Zuidstraat;60;;D;;2019-11-18;Ryan De Vries;MDU;0;3;0;3;0;3;0;3;1;3;0;4;nr. 62 zou de BU zijn op gelijkvloers. Ook via Google. Ik denk geen SU;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;1254328;BL0319;;102762;1254328;;;;Rumbeeksesteenweg;47;;;;2018-06-18;;SDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;1254328;BL0319;;102762;1254328;;;;Rumbeeksesteenweg;47;;;;2018-06-18;;SDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;1254372;BL0328;;102796;1254372;;;;Grote Markt;28;;D;;2018-02-21;;MDU;1;4;1;6;1;4;1;6;1;4;1;6;;N;Y;BUILDING template
ROESELARE - FH03;Units su diff;1254372;BL0328;;102796;1254372;;;;Grote Markt;28;;D;;2018-02-21;;MDU;1;4;1;6;1;4;1;6;1;4;1;6;;N;Y;BUILDING template
ROESELARE - FH03;Units total diff;1254375;BL0327;;102799;1254375;;;;Polenplein;6;;D;;2020-02-07;Ryan De Vries;MDU;0;4;0;4;0;4;0;4;0;4;0;4;;N;Y;BUILDING template
ROESELARE - FH03;Units bu diff;1254375;BL0327;;102799;1254375;;;;Polenplein;6;;D;;2020-02-07;Ryan De Vries;MDU;0;4;0;4;0;4;0;4;0;4;0;4;;N;Y;BUILDING template
