Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE - FH01;239604;13;2;0;15;MDU;A;N;IRREG;6;4;;;;;BUILDING template;Elizabetlaan;104;;
KNOKKE - FH01;2765570;3;1;1;5;MDU;D;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;91;;
KNOKKE - FH01;6524248;0;1;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;23;;
KNOKKE - FH01;2759617;18;1;1;20;MDU;XA;Y;NA;6;4;;;;Bruikbare schacht vanaf 1e verdieping tot 5e verdieping.;BUILDING template;Elizabetlaan;108;;
KNOKKE - FH01;2765575;4;0;1;5;MDU;D;Y;NA;5;4;;;;Bouwlaag 6 is duplex;BUILDING template;Piers de Raveschootlaan;93;;
KNOKKE - FH01;6524255;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Albertlaan;40;;
KNOKKE - FH01;2759621;10;0;1;11;MDU;XC;Y;NA;5;4;Beschermd Erfgoed;;;BE;BUILDING template;Elizabetlaan;112;;
KNOKKE - FH01;333497;7;0;0;7;MDU;D;Y;NA;5;4;;;;;BUILDING template;Maurice Lippensplein;6;;
KNOKKE - FH01;2765577;4;0;1;5;MDU;C;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;95;;
KNOKKE - FH01;6524263;1;1;0;2;MDU;D;N;IRREG;3;4;;;;;BUILDING template;Lippenslaan;64;;
KNOKKE - FH01;5559104;11;1;1;13;MDU;XC;Y;NA;5;4;Beschermd Erfgoed;;;BE;BUILDING template;Elizabetlaan;116;;
KNOKKE - FH01;333502;0;1;0;1;SDU;;N;ORN;5;0;;;;;BUILDING template;Maurice Lippensplein;7;;
KNOKKE - FH01;2765580;7;0;2;9;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;97;;
KNOKKE - FH01;6525265;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Boudewijnlaan;31;;
KNOKKE - FH01;2759626;5;0;1;6;MDU;D;Y;NA;5;4;;;;;BUILDING template;Elizabetlaan;122;;
KNOKKE - FH01;5579482;0;1;0;1;SDU;;N;ORN;3;0;;;;;BUILDING template;Maurice Lippensplein;8;;
KNOKKE - FH01;2765583;6;0;1;7;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;101;;
KNOKKE - FH01;6525312;9;1;0;10;MDU;D;N;IRREG;3;0;;;;Afbraak -  Démolition;BUILDING template;Burg. Camille Deckersstraat;3;;Burg. Camille Deckersstraat 3_Sebastiaan Nachtegaelestraat 35
KNOKKE - FH01;2759628;4;1;0;5;MDU;D;Y;NA;5;4;;;;;BUILDING template;Elizabetlaan;124;;
KNOKKE - FH01;2763417;1;0;0;1;SDU;;N;ORN;4;0;;;;;BUILDING template;Maurice Lippensplein;12;;
KNOKKE - FH01;2765584;6;0;2;8;MDU;C;N;IRREG;5;4;;;;Nieuw gebouw;BUILDING template;Piers de Raveschootlaan;103;;
KNOKKE - FH01;6590818;1;0;0;1;MDU;A;Y;NA;3;4;;;;;BUILDING template;Victor Lamoralstraat;3;;Victor Lamoralstraat 1-3
KNOKKE - FH01;2759631;8;0;1;9;MDU;D;Y;NA;5;4;;;;;BUILDING template;Elizabetlaan;126;;
KNOKKE - FH01;2763419;0;1;0;1;SDU;;N;ORN;3;0;;;;;BUILDING template;Maurice Lippensplein;13;;
KNOKKE - FH01;2765585;7;1;2;10;MDU;XC;N;IRREG;5;4;;;;;BUILDING template;Piers de Raveschootlaan;105;;
KNOKKE - FH01;320564;5;0;0;5;MDU;D;Y;NA;3;9;Beschermd Erfgoed;;;BE;BUILDING template;Elizabetlaan;128;;
KNOKKE - FH01;2765588;7;2;2;11;MDU;XC;N;IRREG;5;4;;;;;BUILDING template;Piers de Raveschootlaan;107;;
KNOKKE - FH01;333092;0;1;0;1;SDU;;Y;NA;3;4;;;;SDU, LU boven BU;BUILDING template;Fincentlaan;1;;
KNOKKE - FH01;2763422;4;0;0;4;MDU;X;N;ORN;5;0;;;;;BUILDING template;Maurice Lippensplein;19;;
KNOKKE - FH01;2765592;15;0;1;16;MDU;XC;N;IRREG;5;4;;;;Twee verticale opbouwschachten. 1 opbouwschacht voor blok “A&B” en 1 opbouwschacht voor blok “C&D”;BUILDING template;Piers de Raveschootlaan;111;;
KNOKKE - FH01;333091;2;0;0;2;MDU;D;Y;NA;2;4;;;;;BUILDING template;Fincentlaan;2;;
KNOKKE - FH01;2763425;2;1;0;3;MDU;XC;N;ORN;3;0;;;;;BUILDING template;Maurice Lippensplein;21;;
KNOKKE - FH01;338454;6;1;1;8;MDU;XC;N;IRREG;4;12;;;;;BUILDING template;Piers de Raveschootlaan;113;;
KNOKKE - FH01;5292921;9;1;2;12;MDU;XA;N;IRREG;6;4;;;;;BUILDING template;Fincentlaan;2;A;
KNOKKE - FH01;333499;4;2;0;4;MDU;X;N;IRREG;4;12;;;;Blocked bij syndic - Aanbouw;BUILDING template;Maurice Lippensplein;23;;
KNOKKE - FH01;333507;23;0;1;24;MDU;A;N;IRREG;6;0;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;2;;Sebastiaan Nachtegaelestraat 2_Smedenstraat1
KNOKKE - FH01;3939608;1;0;0;1;SDU;;N;IRREG;3;0;;;;_;BUILDING template;Lippenslaan;57;;
KNOKKE - FH01;2759877;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fincentlaan;3;;
KNOKKE - FH01;1279172;8;0;1;9;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;5;;Sebastiaan Nachtegaelestraat 5-7
KNOKKE - FH01;2759878;1;0;0;1;SDU;;Y;NA;4;4;;;;;BUILDING template;Fincentlaan;4;;
KNOKKE - FH01;1450165;10;1;1;12;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;9;;
KNOKKE - FH01;4345753;7;0;0;7;MDU;D;Y;NA;4;4;;;;;BUILDING template;Fincentlaan;5;;
KNOKKE - FH01;4345720;0;1;0;1;SDU;;Y;NA;1;3;;;;;BUILDING template;Fincentlaan;6;;
KNOKKE - FH01;2763904;6;0;2;8;MDU;XC;Y;NA;4;12;;;;Residentie Sonate;BUILDING template;Sebastiaan Nachtegaelestraat;19;;
KNOKKE - FH01;2759881;4;0;1;5;MDU;XC;Y;NA;4;12;;;;;BUILDING template;Fincentlaan;8;;
KNOKKE - FH01;333285;2;1;0;3;MDU;D;Y;NA;3;12;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;21;;
KNOKKE - FH01;2759883;3;0;0;3;MDU;D;Y;NA;4;12;;;;;BUILDING template;Fincentlaan;9;;
KNOKKE - FH01;333286;2;1;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;25;;
KNOKKE - FH01;4071079;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fincentlaan;10;;
KNOKKE - FH01;2763928;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Natienlaan;29;;
KNOKKE - FH01;2763907;2;0;0;2;MDU;D;Y;NA;3;6;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;27;;
KNOKKE - FH01;2759884;4;0;0;4;MDU;D;Y;NA;3;4;;;;;BUILDING template;Fincentlaan;11;;
