Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH06;4008183;0;1;0;1;SDU;;N;MON;4;5;Monument;;Y;Review Required MON;BUILDING template;Oude Koornmarkt;5;;
ANTWERPEN-WEST - FH06;55513;0;1;0;1;SDU;;N;ORN;3;6;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;4;;
ANTWERPEN-WEST - FH06;1921257;0;1;0;1;SDU;;N;NA;3;3;Beschermd Erfgoed;;Y;_;BUILDING template;Groenplaats;22;;
ANTWERPEN-WEST - FH06;4008924;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;12;;
ANTWERPEN-WEST - FH06;1921262;0;1;0;1;SDU;;N;ORN;4;6;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;23;;
ANTWERPEN-WEST - FH06;4011250;0;1;0;1;SDU;;Y;NA;4;4;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Oude Koornmarkt;63;;
ANTWERPEN-WEST - FH06;1921267;0;1;0;1;SDU;;N;ORN;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;25;;
ANTWERPEN-WEST - FH06;56509;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;15;;
ANTWERPEN-WEST - FH06;4016417;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Begijnenstraat;5;;
ANTWERPEN-WEST - FH06;56510;0;1;0;1;SDU;;N;MON;3;3;Monument;;Y;_ MON;BUILDING template;Groenplaats;9;;
ANTWERPEN-WEST - FH06;4016456;0;1;0;1;SDU;;N;ORN;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;24;;
ANTWERPEN-WEST - FH06;56516;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Papenstraatje;1;;
ANTWERPEN-WEST - FH06;1921307;0;1;0;1;SDU;;N;IRREG;3;4;;;Y;;BUILDING template;Groenplaats;32;;
ANTWERPEN-WEST - FH06;56529;0;1;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Oude Koornmarkt;75;;
ANTWERPEN-WEST - FH06;56530;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Oude Koornmarkt;1;;
ANTWERPEN-WEST - FH06;1933750;0;1;0;1;SDU;;N;MON;3;3;Monument;;Y;Review Required MON;BUILDING template;Handschoenmarkt;4;;
ANTWERPEN-WEST - FH06;56533;0;1;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Oude Koornmarkt;39;;
ANTWERPEN-WEST - FH06;4063591;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;22;;
ANTWERPEN-WEST - FH06;56535;0;1;0;1;SDU;;Y;NA;0;3;;;Y;_;BUILDING template;Oude Koornmarkt;41;;
ANTWERPEN-WEST - FH06;1933772;0;1;0;1;SDU;;Y;NA;2;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Handschoenmarkt;10;;
ANTWERPEN-WEST - FH06;4184634;1;0;0;1;SDU;;N;ORN;3;5;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Begijnenstraat;39;;
ANTWERPEN-WEST - FH06;56538;0;1;0;1;SDU;;N;MON;4;4;Monument;;Y;Review Required MON;BUILDING template;Oude Koornmarkt;21;;
ANTWERPEN-WEST - FH06;1933777;0;1;0;1;SDU;;Y;NA;2;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Handschoenmarkt;12;;
ANTWERPEN-WEST - FH06;4190505;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Bredestraat;29;;
ANTWERPEN-WEST - FH06;56540;0;1;0;1;SDU;;Y;NA;4;5;;;Y;_;BUILDING template;Oude Koornmarkt;57;;
ANTWERPEN-WEST - FH06;1933787;0;1;0;1;SDU;;Y;NA;4;6;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Handschoenmarkt;14;;
ANTWERPEN-WEST - FH06;56541;0;1;0;1;SDU;;N;MON;4;4;Monument;;Y;Review Required MON;BUILDING template;Oude Koornmarkt;61;;
ANTWERPEN-WEST - FH06;56542;0;1;0;1;SDU;;Y;NA;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Jan Blomstraat;2;;
