Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH03;2768175;2;0;0;2;MDU;;N;IRREG;4;3;;3LU in CRAB,  ook in GM;Y;_;BUILDING template;Zoutelaan;23;;Zoutelaan 23-23A;74832,547;227159,446
KNOKKE-HEIST - FH03;NB-830027f98e00;17;0;1;18;MDU;;N;IRREG;7;3;;;;_;BUILDING template;Van Bunnenplein;27;;Van Bunnenplein 26-27-28;74833;227510
KNOKKE-HEIST - FH03;NB-830023A8897;0;1;0;1;MDU;;N;IRREG;4;3;;;;_;BUILDING template;Zoutelaan;23;A;Zoutelaan 23-23A;74835;227155
KNOKKE-HEIST - FH03;2768179;4;1;1;6;MDU;;N;IRREG;5;3;;5LU in CRAB, ook in GM;Y;_;BUILDING template;Zoutelaan;25;;;74837,778;227162,581
KNOKKE-HEIST - FH03;2759254;5;1;1;7;MDU;;N;IRREG;6;6;;;Y;_;BUILDING template;Dumortierlaan;41;;;74845,093;227322,669
KNOKKE-HEIST - FH03;336902;0;1;0;1;MDU;;N;IRREG;2;4;;;Y;;BUILDING template;Van Bunnenplein;24;;Van Bunnenlaan 2-4_Van Bunnenplein 24;74847,428;227521,291
KNOKKE-HEIST - FH03;2759256;0;1;0;1;MDU;;N;IRREG;6;3;;bestaat niet in CRAB, op GM onduidelijk.;Y;_;BUILDING template;Dumortierlaan;43;;Dumortierlaan 43-45-47;74849,299;227326,24
KNOKKE-HEIST - FH03;2759262;10;0;1;11;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;45;;Dumortierlaan 43-45-47;74849,326;227331,786
KNOKKE-HEIST - FH03;2759263;0;1;0;1;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;47;;Dumortierlaan 43-45-47;74853,949;227329,357
KNOKKE-HEIST - FH03;2759266;5;1;1;7;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;49;;;74856,418;227332,735
