Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH01;707207;0;1;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;117;;;;
HASSELT - FH01;2438369;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;18;;;;
HASSELT - FH01;707209;1;1;0;2;MDU;D;Y;NA;3;7;;;;Boomkensstraat 67: Mdu 1Bu  1Lu,  doorgaande gevelbekabeling en aansluiting mogelijk;BUILDING template;Boomkensstraat;67;;;;
HASSELT - FH01;2408511;0;5;0;5;MDU;C;N;IRREG;3;10;;;;;BUILDING template;Bampslaan;21;;;;
HASSELT - FH01;4903454;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;25;;;;
HASSELT - FH01;2409784;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Boomkensstraat;69;B;;;
HASSELT - FH01;4897370;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;20;;;;
HASSELT - FH01;5411994;2;0;0;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Boomkensstraat;63;A;;;
HASSELT - FH01;4903457;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;27;;;;
HASSELT - FH01;6582886;1;0;0;1;SDU;;Y;NA;1;4;;;Y;;BUILDING template;Schoolstraat;41;;;;
HASSELT - FH01;707224;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Elzenstraat;2;;;;
