Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
KNOKKE-HEIST - FH04;Swolfsstraat;8;;75107,54526;227675,1731;MDU;;30;0;0;30;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;107;;75374,54455;227721,1752;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Swolfsstraat;16;;75116,99556;227635,3632;MDU;;6;2;0;8;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;113;;75384;227721;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;1;;75783,54266;227891,1782;MDU;;33;1;0;34;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;115;;75393,54454;227719,1753;MDU;;5;1;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;12;;75775;227851;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;117;;75401;227718;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;707;;75234;227753;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;119;;75401,54453;227719,1754;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;720;;75315;227777;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;121;;75409,54452;227718,1754;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;738;;75390,41415;227769,1652;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;133;;75447;227721;MDU;;20;0;0;20;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;740;;75402;227785;MDU;;15;0;0;15;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;135;;75447;227721;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;779;;75694;227865;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;151;;75547,54411;227748,1765;MDU;;7;0;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;791;;75753;227891;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;153;;75548;227749;MDU;;5;0;0;5;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;747;;75442;227785;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;155;;75548;227749;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;793;;75787;227905;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;157;;75552,68;227757,06;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;13;;75840,87;227918,55;MDU;;16;1;0;17;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;159;;75554;227752;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;9;;74966,0958;227630,7921;MDU;;14;1;0;15;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;161;;75560,54405;227753,1766;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;757;B;75566,54353;227818,1766;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;163;;75561;227754;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;808;;75869,54217;227939,1788;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;165;;75565,54402;227756,1766;MDU;;7;0;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;809;;75869,54217;227939,1788;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;167;;75566;227757;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;794;;75787;227905;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;171;;75567,63392;227768,8566;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;4;;75345;227730;MDU;;10;0;0;10;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;16;;75777,54304;227844,1782;MDU;;17;1;0;18;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;175;;75582,54395;227762,1768;MDU;;6;1;0;7;Y;NA;4;BUILDING template
