Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;796;;8300;Knokke-Heist;75792,0;227908,0;NB-8300796091223;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;C;8300;Knokke-Heist;75148,63;227718,79;NB-8300697C6336;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;7;;8300;Knokke-Heist;74879,54;227568,81;NB-83007551147;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;711;;8300;Knokke-Heist;75249,05;227751,47;NB-8300711fcfc45;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;800;;8300;Knokke-Heist;75812,0;227918,0;NB-8300800286190;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;9;;8300;Knokke-Heist;74879,54;227568,81;NB-8300976ce72;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;803;;8300;Knokke-Heist;75826,0;227920,0;NB-8300803776696;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;11;;8300;Knokke-Heist;74879,54;227568,81;NB-830011935300;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;237;;8300;Knokke-Heist;75722,0;227816,0;NB-8300237f5ac97;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;17;;8300;Knokke-Heist;75212,0;227661,0;NB-830017f98f88;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;805;;8300;Knokke-Heist;75831,17;227921,05;NB-830080568dd22;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;239;;8300;Knokke-Heist;75722,0;227816,0;NB-8300239eef634;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;816;;8300;Knokke-Heist;75919,0;227961,0;NB-8300816876954;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;247;;8300;Knokke-Heist;75732,0;227819,0;NB-8300247192867;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;651;;8300;Knokke-Heist;74852,0;227631,0;NB-8300651ab1a86;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;253;;8300;Knokke-Heist;75741,0;227823,0;NB-8300253400105;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;265;;8300;Knokke-Heist;75759,0;227830,0;NB-83002656d1810;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;3;;8300;Knokke-Heist;75784,0;227892,0;NB-83003203822;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;4;;8300;Knokke-Heist;75766,0;227871,0;NB-8300448ad48;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;9;;8300;Knokke-Heist;75797,0;227862,0;NB-83009675276;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;11;;8300;Knokke-Heist;75446,0;227765,0;NB-830011fc8099;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;11;;8300;Knokke-Heist;75797,0;227862,0;NB-830011886205;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;271;;8300;Knokke-Heist;75774,0;227835,0;NB-8300271100075;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;12;;8300;Knokke-Heist;75775,0;227851,0;NB-830012aa8057;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;273;;8300;Knokke-Heist;75806,0;227847,0;NB-8300273337312;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;15;;8300;Knokke-Heist;75797,0;227862,0;NB-830015ea7e99;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;283;;8300;Knokke-Heist;75826,0;227855,0;NB-83002835fb250;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;703;;8300;Knokke-Heist;75212,0;227749,0;NB-83007031cf065;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;287;;8300;Knokke-Heist;75833,0;227858,0;NB-83002878c6380;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;652;;8300;Knokke-Heist;74852,0;227631,0;NB-8300652d38c15;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;654;;8300;Knokke-Heist;74862,8640;227636,3880;NB-8300654f42159;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;658;;8300;Knokke-Heist;74875,0;227639,0;NB-830065828c104;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;664;;8300;Knokke-Heist;74967,8360;227668,2476;NB-83006645ca697;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;303;;8300;Knokke-Heist;75864,74;227869,26;NB-8300303ae2e12;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;305;;8300;Knokke-Heist;75886,0;227878,0;NB-8300305d4cf38;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;307;;8300;Knokke-Heist;75894,0;227881,0;NB-8300307f36166;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;309;;8300;Knokke-Heist;75894,0;227881,0;NB-830030914c193;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;712;;8300;Knokke-Heist;75249,05;227751,47;NB-8300712273896;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;311;;8300;Knokke-Heist;75902,0;227883,0;NB-8300311335c19;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;713;;8300;Knokke-Heist;75254,7205;227753,1167;NB-8300713633331;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;319;;8300;Knokke-Heist;75915,0;227887,0;NB-830031952d748;BUILDING template
