Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE - FH01;5579533;;;5579533;BL0124;8335529;;2019-09-14;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763044;;;2763044;;11282481;PENDING;2019-10-12;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765077;;;2765077;;11294370;PENDING;2019-10-24;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;239618;;;239618;BL0125;10557931;;2019-10-10;;;;;;;;;;;;;2019-10-21;2020-06-29;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8363369;PENDING;2019-11-11;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;11139487;PENDING;2019-08-08;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8345925;PENDING;2019-08-15;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;1500907;;;1500907;BL0125;8362489;;2019-08-12;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2759945;;;2759945;BL0109;8349741;;2019-09-14;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;2763023;;;2763023;BL0114;8364436;NOK;2019-10-12;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;2763127;;;2763127;BL0115;8333662;OK;2019-09-06;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8350616;PENDING;2019-09-24;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765500;;;2765500;BL0110;8333575;;2019-10-10;;;;;;;;;;;;;2019-11-25;2020-06-29;(L/B/S)U template
KNOKKE - FH01;2766632;;;2766632;BL0103;8365233;;2019-11-11;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
KNOKKE - FH01;4251979;;;4251979;BL0113;8363834;;2019-07-19;;;;;;;;;;;;;2019-11-18;2020-02-24;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;11079071;;2019-08-15;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763074;;;2763074;;11282482;OK;2019-09-10;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2766237;;;2766237;;11296846;;;;;;;;;;;;;;;2019-09-04;2020-01-19;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8363370;PENDING;2019-08-12;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333280;;;333280;BL0112;10557286;;2019-09-10;;;;;;;;;;;;;2019-10-14;2020-04-02;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8355010;PENDING;2019-10-12;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;1500907;;;1500907;BL0125;8362490;;2019-09-24;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
