Projectnummer;LAM MK;Building FID;SSV Date;Quadrant;TSA SIGNED;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE-HEIST - FH11;299818;20975975;2020-01-09 11:30:32;D;;299818;BL1121;299818;;2020-01-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299819;20975977;;;;299819;BL1122;299819;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299820;20975979;;;;299820;BL1121;299820;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299821;20975980;;;;299821;BL1122;299821;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299822;20975981;;;;299822;BL1140;299822;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299823;20975982;2020-01-03 12:45:15;D;;299823;BL1122;299823;;2020-01-03;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299824;20975983;2020-01-03 13:15:16;D;;299824;BL1140;299824;;2020-01-03;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299825;20975984;;;;299825;BL1122;299825;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299826;20975985;;;;299826;BL1140;299826;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299827;20975986;;;;299827;BL1122;299827;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299828;20975987;;;;299828;BL1122;299828;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299829;20975988;;;;299829;BL1122;299829;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299830;21255806;2020-01-24 10:30:25;D;;299830;BL1121;299830;;2020-01-24;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299831;20975989;;;;299831;BL1121;299831;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299832;20975990;;;;299832;BL1121;299832;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299833;20975991;;;;299833;BL1121;299833;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299835;20975992;2020-03-10 10:15:14;D;;299835;BL1123;299835;;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299836;20975993;2020-03-10 10:15:31;D;;299836;BL1122;299836;;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299837;20975994;;;;299837;BL1122;299837;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299838;20975995;;;;299838;BL1122;299838;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299839;20975996;;;;299839;BL1123;299839;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299840;21256249;2020-03-10 10:15:29;D;;299840;BL1121;299840;;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299842;20975997;2020-03-10 10:15:33;D;;299842;BL1123;299842;;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299843;20975998;;;;299843;BL1122;299843;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299844;20975999;;;;299844;BL1121;299844;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299846;20976001;2020-01-08 12:25:22;D;;299846;BL1123;299846;;2020-01-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299850;20976002;;;;299850;BL1121;299850;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299851;20976003;;;;299851;BL1121;299851;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299852;20976004;;;;299852;BL1122;299852;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299871;20976005;;;;299871;BL1120;299871;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299873;20976006;;;;299873;BL1120;299873;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299874;20976023;;;;299874;BL1120;299874;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299877;20976024;2020-01-15 19:25:13;XA;PENDING;299877;BL1120;299877;PENDING;2020-01-15;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299894;20976025;2020-01-14 09:40:20;A;PENDING;299894;BL1120;299894;PENDING;2020-01-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299898;1804153;2020-03-09 12:20:11;D;;299898;BL1124;299898;;2020-03-09;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
