'Building_Units'[mainkey];Lu_Key;Block_Name;Street;House_Nr;House_Nr_Suffix;App_Nr;Postal_Code;City;LU_nature;MUD/SDU;Quadrant;VCA;M5A;M6A;B1;B2;Handover_Date;Stop_Selling_Dt;Stop_Service_Dt;Best_Unit_Status;RFS;RFT;Building_Group_FID;Building_Group_name;B2_new
1266447;10410741;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;12;;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1266447;10416518;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;12;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1506186;1630965;W03-C-Antwerpen-West-FH01_BL0016;Catharina Pepijnstraat;11;;1;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1506186;1630966;W03-C-Antwerpen-West-FH01_BL0016;Catharina Pepijnstraat;11;;2;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1506186;1630967;W03-C-Antwerpen-West-FH01_BL0016;Catharina Pepijnstraat;11;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1506186;1630968;W03-C-Antwerpen-West-FH01_BL0016;Catharina Pepijnstraat;11;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1506186;1630969;W03-C-Antwerpen-West-FH01_BL0016;Catharina Pepijnstraat;11;;202;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1506186;1630970;W03-C-Antwerpen-West-FH01_BL0016;Catharina Pepijnstraat;11;;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755770;11077757;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;3;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755770;11077758;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;3;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755770;1741583;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;3;;1;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077763;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;102;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077764;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077765;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;202;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077766;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077767;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;302;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077768;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;401;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077769;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;402;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;11077771;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755771;1839626;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;A;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755772;11077016;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;B;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755774;1840122;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;7;C;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755779;11077772;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;11;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755779;11077773;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;11;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755779;11077774;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;11;;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755779;11077775;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;11;;401;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1755779;1630471;W03-C-Antwerpen-West-FH01_BL0012;Bordeauxstraat;11;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
186506;1638476;W03-C-Antwerpen-West-FH01_BL0012;Kribbestraat;12;;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
186521;1736209;W03-C-Antwerpen-West-FH01_BL0012;Napoleonkaai;29;;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1905643;10364773;W03-C-Antwerpen-West-FH01_BL0005;Godefriduskaai;52;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-03-09;2020-10-31;2020-07-31;2024-06-30;2025-06-30;FT;Yes;Yes;;;2020-07-05
1905643;1809168;W03-C-Antwerpen-West-FH01_BL0005;Godefriduskaai;52;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-03-09;2020-10-31;2020-07-31;2024-06-30;2025-06-30;FT;Yes;Yes;;;2020-07-05
