OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,Opdrachttemplate
555229,"KNOKKE-HEIST - FH04","Antoine Breartstraat",5,,8300,Knokke-Heist,,,NB-830050a4257,"BUILDING template"
555486,"KNOKKE-HEIST - FH04",Kustlaan,41,,8300,Knokke-Heist,,,NB-830041454a49,"BUILDING template"
555742,"KNOKKE-HEIST - FH04",Lichttorenplein,8,,8300,Knokke-Heist,,,NB-830086f8786,"BUILDING template"
555488,"KNOKKE-HEIST - FH04",Kustlaan,47,,8300,Knokke-Heist,,,NB-830047626b86,"BUILDING template"
555744,"KNOKKE-HEIST - FH04",Lichttorenplein,11,,8300,Knokke-Heist,,,NB-8300118bb816,"BUILDING template"
556522,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,668,,8300,Knokke-Heist,,,NB-83006681fa801,"BUILDING template"
556268,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",740,,8300,Knokke-Heist,,,NB-83007401f3045,"BUILDING template"
556524,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,671,,8300,Knokke-Heist,,,NB-830067143d985,"BUILDING template"
555760,"KNOKKE-HEIST - FH04",Lichttorenplein,1,B,8300,Knokke-Heist,,,NB-83001B6950,"BUILDING template"
555762,"KNOKKE-HEIST - FH04",Lichttorenplein,6,B,8300,Knokke-Heist,,,NB-83006Bbc82,"BUILDING template"
555764,"KNOKKE-HEIST - FH04",Marie-Josestraat,4,,8300,Knokke-Heist,,,NB-83004fbce11,"BUILDING template"
555257,"KNOKKE-HEIST - FH04","Antoine Breartstraat",9,,8300,Knokke-Heist,,,NB-83009486f16,"BUILDING template"
555514,"KNOKKE-HEIST - FH04",Kustlaan,49,,8300,Knokke-Heist,,,NB-8300498d6d14,"BUILDING template"
555516,"KNOKKE-HEIST - FH04",Kustlaan,61,,8300,Knokke-Heist,,,NB-830061affc41,"BUILDING template"
556284,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",742,,8300,Knokke-Heist,,,NB-8300742464d80,"BUILDING template"
555518,"KNOKKE-HEIST - FH04",Kustlaan,65,,8300,Knokke-Heist,,,NB-830065cf1278,"BUILDING template"
555774,"KNOKKE-HEIST - FH04",Marie-Joséstraat,5,,8300,Knokke-Heist,,,NB-830051d6436,"BUILDING template"
