OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
742223,"KNOKKE-HEIST - FH05",Zoutelaan,77,,8300,Knokke-Heist,,,NB-830077507d59,NB-830077507d59,"BUILDING template"
742479,"KNOKKE-HEIST - FH05",Dumortierlaan,107,B,8300,Knokke-Heist,,,NB-8300107Bc486,NB-8300107Bc486,"BUILDING template"
742225,"KNOKKE-HEIST - FH05",Driehoeksplein,4,,8300,Knokke-Heist,,,NB-830040e6880,NB-830040e6880,"BUILDING template"
742481,"KNOKKE-HEIST - FH05","Van Bunnenlaan",51,,8300,Knokke-Heist,,,NB-830051267206,NB-830051267206,"BUILDING template"
742483,"KNOKKE-HEIST - FH05",Dumortierlaan,108,,8300,Knokke-Heist,,,NB-830010852a224,NB-830010852a224,"BUILDING template"
742229,"KNOKKE-HEIST - FH05",Driehoeksplein,8,,8300,Knokke-Heist,,,NB-8300830be17,NB-8300830be17,"BUILDING template"
742485,"KNOKKE-HEIST - FH05",Dumortierlaan,110,,8300,Knokke-Heist,,,NB-83001106feb51,NB-83001106feb51,"BUILDING template"
742487,"KNOKKE-HEIST - FH05","Van Bunnenlaan",47,,8300,Knokke-Heist,,,NB-83004755df58,NB-83004755df58,"BUILDING template"
742489,"KNOKKE-HEIST - FH05",Dumortierlaan,111,,8300,Knokke-Heist,,,NB-8300111900677,NB-8300111900677,"BUILDING template"
742491,"KNOKKE-HEIST - FH05",Dumortierlaan,119,,8300,Knokke-Heist,,,NB-8300119ace005,NB-8300119ace005,"BUILDING template"
742239,"KNOKKE-HEIST - FH05",Driehoeksplein,9,,8300,Knokke-Heist,,,NB-83009606743,NB-83009606743,"BUILDING template"
742247,"KNOKKE-HEIST - FH05",Zoutelaan,76,,8300,Knokke-Heist,,,NB-8300761f7e48,NB-8300761f7e48,"BUILDING template"
742504,"KNOKKE-HEIST - FH05","Van Bunnenlaan",21,,8300,Knokke-Heist,,,NB-830021986717,NB-830021986717,"BUILDING template"
742249,"KNOKKE-HEIST - FH05",Driehoeksplein,10,A,8300,Knokke-Heist,,,NB-830010Adb77,NB-830010Adb77,"BUILDING template"
742506,"KNOKKE-HEIST - FH05",Dumortierlaan,121,,8300,Knokke-Heist,,,NB-8300121ce2628,NB-8300121ce2628,"BUILDING template"
742508,"KNOKKE-HEIST - FH05",Dumortierlaan,137,,8300,Knokke-Heist,,,NB-8300137e7aa56,NB-8300137e7aa56,"BUILDING template"
742260,"KNOKKE-HEIST - FH05",Driehoeksplein,11,,8300,Knokke-Heist,,,NB-830011a3e801,NB-830011a3e801,"BUILDING template"
742517,"KNOKKE-HEIST - FH05","Van Bunnenlaan",21,,8300,Knokke-Heist,,,NB-830021db5e64,NB-830021db5e64,"BUILDING template"
742262,"KNOKKE-HEIST - FH05",Zoutelaan,70,,8300,Knokke-Heist,,,NB-830070812b05,NB-830070812b05,"BUILDING template"
742519,"KNOKKE-HEIST - FH05",Dumortierlaan,139,,8300,Knokke-Heist,,,NB-83001390a1583,NB-83001390a1583,"BUILDING template"
742264,"KNOKKE-HEIST - FH05",Driehoeksplein,15,,8300,Knokke-Heist,,,NB-830015bf6926,NB-830015bf6926,"BUILDING template"
742521,"KNOKKE-HEIST - FH05",Dumortierlaan,141,,8300,Knokke-Heist,,,NB-830014128d909,NB-830014128d909,"BUILDING template"
742523,"KNOKKE-HEIST - FH05","Van Bunnenlaan",7,,8300,Knokke-Heist,,,NB-83007101f10,NB-83007101f10,"BUILDING template"
742525,"KNOKKE-HEIST - FH05",Dumortierlaan,145,,8300,Knokke-Heist,,,NB-8300145478530,NB-8300145478530,"BUILDING template"
742527,"KNOKKE-HEIST - FH05",Dumortierlaan,149,,8300,Knokke-Heist,,,NB-830014960f550,NB-830014960f550,"BUILDING template"
742272,"KNOKKE-HEIST - FH05",Duinviooltjesstraat,3,,8300,Knokke-Heist,,,NB-83003dd6558,NB-83003dd6558,"BUILDING template"
742529,"KNOKKE-HEIST - FH05","Piers de Raveschootlaan",92,,8300,Knokke-Heist,,,NB-8300924b4e60,NB-8300924b4e60,"BUILDING template"
742531,"KNOKKE-HEIST - FH05",Dumortierlaan,153,,8300,Knokke-Heist,,,NB-830015377c903,NB-830015377c903,"BUILDING template"
742533,"KNOKKE-HEIST - FH05",Nieuwpoortstraat,47,,8300,Knokke-Heist,,,NB-83004774d209,NB-83004774d209,"BUILDING template"
742535,"KNOKKE-HEIST - FH05","Ferdinand Mosselmanstraat",24,,8300,Knokke-Heist,,,NB-830024b57826,NB-830024b57826,"BUILDING template"
