Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ANTWERPEN-WEST - FH09;NO CLUSTERS;59606;BL0013;;33070272;59606;38305464;Leopoldstraat 21_Willem Tellstraat 1;;Willem Tellstraat;1;;;;;Yves de Roo;MDU;1;8;0;9;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59607;BL0013;;714162;59607;;;;Willem Tellstraat;3;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;BG Blok diff;6004683;BL0014;;38299069;6004683;38305391;Mechelseplein 19A_Sint Jorispoort 2-4;;Mechelseplein;19;A;;;2020-04-21;Yves de Roo;MDU;0;1;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6004683;BL0014;;38299069;6004683;38305391;Mechelseplein 19A_Sint Jorispoort 2-4;;Mechelseplein;19;A;;;2020-04-21;Yves de Roo;MDU;0;1;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;60790;BL0008;;33070087;60790;;;;Schuttershofstraat;2;;;;;Yves de Roo;MDU;1;4;0;5;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;60792;BL0008;;33070088;60792;;;;Schuttershofstraat;12;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;60793;BL0008;;714532;60793;;;;Schuttershofstraat;30;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;60802;BL0008;;714566;60802;38305494;Komedieplaats 13-15;;Komedieplaats;13;;;;;Yves de Roo;MDU;2;0;0;2;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;60803;BL0008;;714567;60803;;;;Komedieplaats;17;;;;;Yves de Roo;MDU;1;2;0;3;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;60806;BL0008;;714577;60806;;;;Kelderstraat;1;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6086731;BL0003;;33069973;6086731;38305427;Langegang 27_Tabakvest 30-32;;Langegang;27;;;;;Yves de Roo;MDU;1;5;0;6;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;61857;BL0005;;33070007;61857;38305472;Meistraat 5-7;;Meistraat;5;;;;;Yves de Roo;MDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;61858;BL0004;;13723865;61858;38366579;Lammekensraamveld 2-4-6_Meistraat 21-23-25;;Meistraat;25;;;;;Yves de Roo;MDU;0;12;0;12;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;61860;BL0005;;716582;61860;38305392;Hopland 16-18-24;;Hopland;16;;;;;Yves de Roo;MDU;3;0;0;3;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6211981;BL0001;;38299066;6211981;;;;Tabakvest;33;;;;2020-04-09;Yves de Roo;MDU;0;8;0;8;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6339370;BL0014;;33070317;6339370;38305496;Arenbergstraat 16-16A;;Arenbergstraat;16;A;;;;Yves de Roo;MDU;2;0;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;BG Name diff;6339383;BL0017;;33069974;6339383;38305393;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;Bourlastraat 1-3-5_Leopoldplaats 6-6A-7_Tabakvest 89-91-93;Leopoldplaats;6;A;;;;Yves de Roo;MDU;1;0;0;1;1;0;0;1;N;N;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6339383;BL0017;;33069974;6339383;38305393;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Leopoldplaats;6;A;;;;Yves de Roo;MDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;BG Blok diff;6339383;BL0017;;33069974;6339383;38305393;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Leopoldplaats;6;A;;;;Yves de Roo;MDU;1;0;0;1;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6449296;BL0018;;33070062;6449296;;;;Oudevaartplaats;62;A;;;;Yves de Roo;MDU;1;7;0;8;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6453451;BL0018;;33070252;6453451;38305394;Tabakvest 112-112B-112C-112D-112E;;Tabakvest;112;C;;;;Yves de Roo;MDU;0;3;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6518745;BL0011;;33069988;6518745;38305467;Arenbergstraat 13_Leopoldstraat 11;;Leopoldstraat;11;;;;;Yves de Roo;MDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6524093;BL0014;;33070316;6524093;38305495;Arenbergstraat 12-14;;Arenbergstraat;14;;;;;Yves de Roo;MDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6524099;BL0009;;33069985;6524099;38305462;Leopoldstraat 2-4;;Leopoldstraat;4;;;;;Yves de Roo;MDU;2;2;0;4;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;6663034;BL0011;;33070025;6663034;38305474;Orgelstraat 1-2-2A;;Orgelstraat;2;A;;;;Yves de Roo;MDU;2;10;0;12;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;874369;BL0008;;724192;874369;;;;Komedieplaats;3;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
