SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W01-C-Namur-FH04;1313573;LU;;438;2;21
W01-C-Namur-FH04;1313573;LU;;438;2;22
W01-C-Namur-FH04;1313573;BU;;438;3;31
W01-C-Namur-FH04;1313573;LU;;438;3;32
W01-C-Namur-FH04;1313573;LU;;438;4;41
W01-C-Namur-FH04;1432910;LU;;438;Rdc;1
W01-C-Namur-FH04;1432910;LU;;438;Rdc;2
W01-C-Namur-FH04;1432910;LU;;438;1;11
W01-C-Namur-FH04;1432910;LU;;438;1;12
W01-C-Namur-FH04;1433976;BU;;423;Rdc;1
W01-C-Namur-FH04;1433976;LU;;423;Rdc;2
W01-C-Namur-FH04;1433976;LU;;423;Rdc;3
W01-C-Namur-FH04;1433976;LU;;423;Rdc;4
W01-C-Namur-FH04;1433976;LU;;423;1;11
W01-C-Namur-FH04;1433976;LU;;423;1;12
W01-C-Namur-FH04;1433976;LU;;423;1;13
W01-C-Namur-FH04;1433976;LU;;423;1;14
W01-C-Namur-FH04;1433976;LU;;423;1;15
W01-C-Namur-FH04;1433976;LU;;423;1;16
W01-C-Namur-FH04;1432915;LU;;438;Rdc;1
W01-C-Namur-FH04;1432915;LU;;438;1;11
W01-C-Namur-FH04;1432915;LU;;438;2;21
W01-C-Namur-FH04;1432915;LU;;438;3;31
W03-C-Knokke-Heist-FH01;2767138;LU;101;;1;
W03-C-Knokke-Heist-FH01;2767138;LU;201;;2;
W03-C-Knokke-Heist-FH01;2763029;BU;1;;0;
W03-C-Knokke-Heist-FH01;2763029;LU;11;;1;
W03-C-Knokke-Heist-FH01;2763029;LU;21;;2;
W03-C-Knokke-Heist-FH01;2763029;LU;31;;3;
W03-C-Knokke-Heist-FH01;2763029;LU;41;;4;
W03-C-Knokke-Heist-FH01;2763029;LU;51;;5;
W03-C-Knokke-Heist-FH01;2763029;SU;0;;;
W03-C-Knokke-Heist-FH01;2763029;SU;0;;;
W03-C-Knokke-Heist-FH01;321026;LU;1;;0;
W03-C-Knokke-Heist-FH01;321026;LU;101;;1;
W03-C-Knokke-Heist-FH01;321026;LU;201;;2;
W03-D-Hasselt-FH04;3937440;LU;1;;Gelijksvloer;
W03-D-Hasselt-FH04;3937440;LU;2 en 3;;1;2
W03-D-Hasselt-FH04;3937440;LU;4 en5;;2;2
W03-D-Hasselt-FH04;3937440;LU;6;;3;1
W01-C-Namur-FH04;1434032;LU;;439;Rdc;1
W01-C-Namur-FH04;1434032;LU;;439;1;11
W01-C-Namur-FH04;1434032;LU;;439;1;12
W01-C-Namur-FH04;1434032;LU;;439;2;21
W01-C-Namur-FH04;1434032;LU;;439;2;22
W01-C-Namur-FH04;1434032;LU;;439;3;31
W01-C-Namur-FH04;1434032;LU;;439;3;32
W01-C-Namur-FH04;1434028;LU;;439;Rdc;1
W01-C-Namur-FH04;1434028;LU;;439;1;11
W01-C-Namur-FH04;1434028;LU;;439;2;21
W01-C-Namur-FH04;3199886;SU;;439;Rdc;1
W01-C-Namur-FH04;3199886;LU;;439;Rdc;1
W01-C-Namur-FH04;3199886;LU;;439;Rdc;2
W01-C-Namur-FH04;3199886;LU;;439;1;11
W01-C-Namur-FH04;3199886;LU;;439;1;12
W01-C-Namur-FH04;3199886;LU;;439;1;13
W01-C-Namur-FH04;3199886;LU;;439;1;14
W01-C-Namur-FH04;3199886;LU;;439;1;15
W01-C-Namur-FH04;3199886;LU;;439;2;21
W01-C-Namur-FH04;3199886;LU;;439;2;22
W01-C-Namur-FH04;3199886;LU;;439;2;23
W01-C-Namur-FH04;3199886;LU;;439;2;24
W01-C-Namur-FH04;3199886;LU;;439;2;25
W01-C-Namur-FH04;3199886;LU;;439;3;31
W01-C-Namur-FH04;3199886;LU;;439;3;32
W01-C-Namur-FH04;3199886;LU;;439;3;33
W01-C-Namur-FH04;3199886;LU;;439;3;34
W01-C-Namur-FH04;3199886;LU;;439;3;35
W01-C-Namur-FH04;3199886;LU;;439;4;41
W01-C-Namur-FH04;3199886;LU;;439;4;42
W01-C-Namur-FH04;3199886;LU;;439;4;43
W01-C-Namur-FH04;3199886;LU;;439;4;44
W01-C-Namur-FH04;3199886;LU;;439;4;45
W01-C-Namur-FH04;1433210;SU;;439;Rdc;1
W01-C-Namur-FH04;1433210;LU;;439;Rdc;1
W01-C-Namur-FH04;1433210;LU;;439;1;11
W01-C-Namur-FH04;1433210;LU;;439;1;12
W01-C-Namur-FH04;1433210;LU;;439;2;21
W01-C-Namur-FH04;1433210;LU;;439;2;22
W01-C-Namur-FH04;1433210;LU;;439;3;31
W01-C-Namur-FH04;1433210;LU;;439;3;32
W01-C-Namur-FH04;1433210;BU;;439;4;41
W01-C-Namur-FH04;1433210;LU;;439;4;42
W01-C-Namur-FH04;1433210;LU;;439;5;51
W01-C-Namur-FH04;1433210;LU;;439;5;52
W01-C-Namur-FH04;1433210;LU;;439;6;61
W01-C-Namur-FH04;1433210;LU;;439;6;62
W01-C-Namur-FH04;1433209;SU;;439;Rdc;1
W01-C-Namur-FH04;1433209;LU;;439;Rdc;1
W01-C-Namur-FH04;1433209;LU;;439;Rdc;2
W01-C-Namur-FH04;1433209;LU;;439;1;11
W01-C-Namur-FH04;1433209;LU;;439;1;12
W01-C-Namur-FH04;1433209;LU;;439;2;21
W01-C-Namur-FH04;1433209;LU;;439;2;22
W01-C-Namur-FH04;1433209;LU;;439;3;31
W01-C-Namur-FH04;1433209;LU;;439;3;32
W01-C-Namur-FH04;1433209;LU;;439;4;41
W01-C-Namur-FH04;1433209;LU;;439;4;42
W01-C-Namur-FH04;1433209;LU;;439;5;51
W01-C-Namur-FH04;1433209;LU;;439;5;52
W01-C-Namur-FH04;1433208;SU;;439;Rdc;1
W01-C-Namur-FH04;1433208;LU;;439;Rdc;1
W01-C-Namur-FH04;1433208;LU;;439;Rdc;2
W01-C-Namur-FH04;1433208;LU;;439;1;11
W01-C-Namur-FH04;1433208;LU;;439;1;12
W01-C-Namur-FH04;1433208;LU;;439;1;13
W01-C-Namur-FH04;1433208;LU;;439;2;21
W01-C-Namur-FH04;1433208;LU;;439;2;22
W01-C-Namur-FH04;1433208;LU;;439;2;23
W01-C-Namur-FH04;1433208;LU;;439;3;31
W01-C-Namur-FH04;1433208;LU;;439;3;32
W01-C-Namur-FH04;1433208;LU;;439;3;33
W01-C-Namur-FH04;1433208;LU;;439;4;41
W01-C-Namur-FH04;1433208;LU;;439;4;42
W01-C-Namur-FH04;1433208;LU;;439;4;43
W03-C-Knokke-Heist-FH01;2762626;LU;11;;1;
W03-C-Knokke-Heist-FH01;2762626;LU;21;;2;
W03-C-Knokke-Heist-FH01;2762626;LU;31;;3;
W03-C-Knokke-Heist-FH01;2762626;LU;41;;4;
W03-C-Knokke-Heist-FH01;2762626;SU;0;;;
W03-C-Antwerpen-West-FH01;1782040;LU;101;;1;
W03-C-Antwerpen-West-FH01;1782040;LU;201;;2;
W03-C-Antwerpen-West-FH01;1782040;LU;202;;2;
W03-C-Antwerpen-West-FH01;1782040;LU;301;;3;
W03-C-Antwerpen-West-FH01;1786894;LU;1;;0;
W03-C-Antwerpen-West-FH01;1786894;LU;101;;1;
W03-C-Antwerpen-West-FH01;1786894;LU;102;;1;
W03-C-Antwerpen-West-FH01;1786894;LU;103;;1;
W03-C-Antwerpen-West-FH01;1786894;LU;201;;2;
W03-C-Antwerpen-West-FH01;1786894;LU;202;;2;
W03-C-Antwerpen-West-FH01;1786894;LU;203;;2;
W03-C-Antwerpen-West-FH01;1786894;LU;301;;3;
W03-C-Antwerpen-West-FH01;1786894;LU;302;;3;
W03-C-Antwerpen-West-FH01;1786894;LU;303;;3;
W03-C-Antwerpen-West-FH01;1786894;LU;401;;4;
W03-C-Antwerpen-West-FH01;1786894;SU;1;;;
W03-C-Antwerpen-West-FH01;1786894;SU;2;;;
;3512861;LU;;;1;101
;3512862;LU;;;2;201
W03-D-Hasselt-FH04;1130472;LU;111/1;;0;1
W03-D-Hasselt-FH04;1130472;LU;111/2;;0;2
W03-D-Hasselt-FH04;1130472;LU;111/3;;1;3
W03-D-Hasselt-FH04;1130472;LU;111/4;;2;4
W03-D-Hasselt-FH04;1130472;LU;111/5;;3;5
;3512864;LU;;;4;401
W03-D-Sint-Niklaas-FH01;3512871;LU;;;5;501
W03-D-Sint-Niklaas-FH01;3512873;LU;;;6;601
W03-C-Knokke-Heist-FH01;2763074;BU;0;;0;
W03-C-Knokke-Heist-FH01;2763074;LU;1;;1;
W03-C-Knokke-Heist-FH01;2763074;LU;2;;2;
W03-C-Knokke-Heist-FH01;2763074;LU;3;;3;
W03-C-Knokke-Heist-FH01;2763074;LU;4;;4;
W03-C-Knokke-Heist-FH01;2763074;LU;5;;5;
W03-C-Knokke-Heist-FH01;2763074;SU;0;;;
W03-C-Antwerpen-West-FH01;5575022;BU;1;;0;
W03-C-Antwerpen-West-FH01;5575022;BU;11;;1;
W03-C-Antwerpen-West-FH01;5575022;BU;12;;1;
W03-C-Antwerpen-West-FH01;5575022;BU;21;;2;
W03-C-Antwerpen-West-FH01;5575022;BU;22;;2;
W03-C-Antwerpen-West-FH01;5575022;BU;31;;3;
W03-C-Antwerpen-West-FH01;5575022;BU;41;;4;
W03-C-Antwerpen-West-FH01;5575022;BU;51;;5;
W03-C-Antwerpen-West-FH01;5575022;SU;1;;;
W03-C-Antwerpen-West-FH01;1960892;BU;1;;0;
W03-C-Antwerpen-West-FH01;1960892;LU;11;;1;
W03-C-Antwerpen-West-FH01;1960892;LU;12;;1;
W03-C-Antwerpen-West-FH01;1960892;LU;31;;3;
W03-C-Antwerpen-West-FH01;1960892;LU;41;;4;
W01-C-Namur-FH04;1433987;LU;;430;Rdc;1
W01-C-Namur-FH04;1433987;LU;;430;Rdc;2
W01-C-Namur-FH04;1433987;LU;;430;1;11
W01-C-Namur-FH04;1433987;LU;;430;1;12
W01-C-Namur-FH04;1433987;LU;;430;1;13
W01-C-Namur-FH04;1433987;LU;;430;2;21
W01-C-Namur-FH04;1433987;LU;;430;2;22
W01-C-Namur-FH04;1433987;LU;;430;2;23
W01-C-Namur-FH04;1433987;LU;;430;3;31
W01-C-Namur-FH04;1433987;LU;;430;3;32
W01-C-Namur-FH04;1433987;LU;;430;3;33
W01-C-Namur-FH04;1433987;SU;;430;-1;1
W01-C-Namur-FH04;1433989;LU;;430;Rdc;1
W01-C-Namur-FH04;1433989;LU;;430;1;11
W01-C-Namur-FH04;1433989;LU;;430;2;21
W01-C-Namur-FH04;1433991;LU;;430;Rdc;1
W01-C-Namur-FH04;1433991;LU;;430;1;11
W01-C-Namur-FH04;1433994;LU;;430;Rdc;1
W01-C-Namur-FH04;1433994;LU;;430;1;11
W01-C-Namur-FH04;1433994;LU;;430;2;21
1080;1655540;SU;;;-1;-101
1080;1655540;BU;;;0;1
1080;1655540;LU;;;1;101
1080;1655540;LU;;;2;201
1080;1655540;LU;;;3;301
1080;1655540;;;;;
W01-C-Namur-FH04;1433161;LU;;439;1;11
W01-C-Namur-FH04;1433161;LU;;439;1;12
W01-C-Namur-FH04;1433161;LU;;439;1;13
W01-C-Namur-FH04;1433161;LU;;439;2;21
W01-C-Namur-FH04;1433161;LU;;439;2;22
W01-C-Namur-FH04;1433161;LU;;439;2;23
W01-C-Namur-FH04;1433161;LU;;439;3;31
W01-C-Namur-FH04;1433161;LU;;439;3;32
W01-C-Namur-FH04;1433161;LU;;439;3;33
1080;1655543;SU;;;-1;-101
1080;1655543;BU;;;0;1
1080;1655543;LU;;;1;101
1080;1655543;LU;;;2;201
1080;1655543;;;;;
1080;1655543;LU;;;3;301
W01-C-Namur-FH04;1433165;LU;;439;Rdc;1
W01-C-Namur-FH04;1433165;LU;;439;Rdc;2
W01-C-Namur-FH04;1433165;LU;;439;1;11
W01-C-Namur-FH04;1433165;LU;;439;1;12
1080;1655550;SU;;;-1;-101
1080;1655550;LU;;;1;101
1080;1655550;LU;;;2;201
1080;1655550;LU;;;3;301
W01-C-Namur-FH04;1433162;LU;;430;Rdc;1
W01-C-Namur-FH04;1433162;LU;;430;Rdc;2
W01-C-Namur-FH04;1433162;LU;;430;Rdc;3
W01-C-Namur-FH04;1433162;LU;;430;1;11
W01-C-Namur-FH04;1433162;LU;;430;1;12
W01-C-Namur-FH04;1433162;LU;;430;1;13
W01-C-Namur-FH04;1433162;LU;;430;2;21
W01-C-Namur-FH04;1433162;LU;;430;2;22
W01-C-Namur-FH04;1433162;LU;;430;2;23
W01-C-Namur-FH04;1433162;LU;;430;3;31
W01-C-Namur-FH04;1433162;LU;;430;3;32
W01-C-Namur-FH04;1433162;LU;;430;3;33
W01-C-Namur-FH04;1433162;LU;;430;4;41
W01-C-Namur-FH04;1433162;LU;;430;4;42
W01-C-Namur-FH04;1433997;SU;;430;-1;1
W01-C-Namur-FH04;1433997;LU;;430;-1;2
