SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W03-D-Sint-Niklaas-FH02;6161014;LU;201;;2;
W03-D-Sint-Niklaas-FH02;76251;LU;101;;1;
W03-D-Sint-Niklaas-FH02;76251;LU;201;;2;
W03-D-Sint-Niklaas-FH02;9379;BU;1;;0;
W03-D-Sint-Niklaas-FH02;9379;LU;101;;1;
W03-D-Sint-Niklaas-FH02;9379;LU;102;;1;
W03-D-Sint-Niklaas-FH02;9379;LU;201;;2;
W03-D-Sint-Niklaas-FH02;9379;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3484793;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3484793;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3504395;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3504395;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484804;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484804;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484804;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484804;LU;401;;;
W03-D-Sint-Niklaas-FH02;3484804;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3925931;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3925931;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3925931;LU;2;;0;
W03-D-Sint-Niklaas-FH02;3925931;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3925931;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3925931;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3925931;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3925931;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3925931;LU;302;;3;
W03-D-Sint-Niklaas-FH02;3484802;LU;1;;1;
W03-D-Sint-Niklaas-FH02;3484802;LU;2;;0;
W03-D-Sint-Niklaas-FH02;3484802;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484802;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3484802;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484802;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3484802;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484802;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484802;LU;401;;4;
W03-D-Sint-Niklaas-FH02;3484802;SU;0;;0;
W03-D-Sint-Niklaas-FH02;4462001;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4462001;LU;102;;1;
W03-D-Sint-Niklaas-FH02;4462001;LU;103;;1;
W03-D-Sint-Niklaas-FH02;4462001;LU;104;;1;
W03-D-Sint-Niklaas-FH02;4462001;LU;105;;1;
W03-D-Sint-Niklaas-FH02;4462001;LU;201;;2;
W03-D-Sint-Niklaas-FH02;4462001;LU;202;;2;
W03-D-Sint-Niklaas-FH02;4462001;LU;203;;2;
W03-D-Sint-Niklaas-FH02;4462001;LU;204;;2;
W03-D-Sint-Niklaas-FH02;4462001;LU;205;;2;
W03-D-Sint-Niklaas-FH02;4462001;LU;301;;3;
W03-D-Sint-Niklaas-FH02;4462001;LU;302;;3;
W03-D-Sint-Niklaas-FH02;4462001;LU;303;;3;
W03-D-Sint-Niklaas-FH02;4462001;LU;304;;3;
W03-D-Sint-Niklaas-FH02;4462001;LU;305;;3;
W03-D-Sint-Niklaas-FH02;4462001;LU;401;;4;
W03-D-Sint-Niklaas-FH02;4462001;LU;402;;4;
W03-D-Sint-Niklaas-FH02;4462001;LU;403;;4;
W03-D-Sint-Niklaas-FH02;5899322;LU;101;;1;
W03-D-Sint-Niklaas-FH02;5899322;LU;102;;1;
W03-D-Sint-Niklaas-FH02;5899322;LU;103;;3;
W03-D-Sint-Niklaas-FH02;5899322;LU;201;;2;
W03-D-Sint-Niklaas-FH02;5899322;LU;202;;2;
W03-D-Sint-Niklaas-FH02;5899322;LU;203;;2;
W03-D-Sint-Niklaas-FH02;5899322;LU;301;;3;
W03-D-Sint-Niklaas-FH02;5899322;LU;302;;3;
W03-D-Sint-Niklaas-FH02;5899322;LU;303;;3;
W03-D-Sint-Niklaas-FH02;5899322;LU;401;;4;
W03-D-Sint-Niklaas-FH02;5899322;LU;402;;4;
W03-D-Sint-Niklaas-FH02;76250;LU;1;;0;
W03-D-Sint-Niklaas-FH02;76250;LU;101;;1;
W03-D-Sint-Niklaas-FH02;76250;LU;102;;1;
W03-D-Sint-Niklaas-FH02;76250;LU;201;;2;
W03-D-Sint-Niklaas-FH02;76250;LU;202;;2;
W03-D-Sint-Niklaas-FH02;76250;LU;301;;3;
W03-D-Sint-Niklaas-FH02;76250;LU;302;;3;
W03-D-Sint-Niklaas-FH02;76250;SU;0;;0;
W03-D-Sint-Niklaas-FH02;1372300;BU;1;;0;
W03-D-Sint-Niklaas-FH02;1372300;LU;101;;1;
W03-D-Sint-Niklaas-FH02;1372300;LU;201;;2;
W03-D-Sint-Niklaas-FH02;1372300;LU;301;;3;
W03-D-Sint-Niklaas-FH02;1372300;SU;0;;0;
W03-D-Sint-Niklaas-FH02;1508777;BU;1;;;
W03-D-Sint-Niklaas-FH02;1508777;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484842;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3484842;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484842;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484842;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484842;SU;0;;0;
W03-D-Sint-Niklaas-FH02;68415;LU;101;;1;
W03-D-Sint-Niklaas-FH02;68415;LU;201;;2;
