Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Postcode;Municipality
EVERE - FH03;BUILDING template;1620430;1620430;38;Algarvegaarde - Clos de l Algarve;1140;Evere
EVERE - FH03;BUILDING template;1620654;1620654;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620656;1620656;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620659;1620659;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620661;1620661;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620663;1620663;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620664;1620664;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620666;1620666;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620668;1620668;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620670;1620670;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620677;1620677;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620678;1620678;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620679;1620679;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620680;1620680;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620682;1620682;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620685;1620685;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620687;1620687;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620689;1620689;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620691;1620691;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620694;1620694;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620697;1620697;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620699;1620699;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620703;1620703;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620704;1620704;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620705;1620705;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620706;1620706;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620707;1620707;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620708;1620708;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620709;1620709;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620710;1620710;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620712;1620712;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620713;1620713;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620715;1620715;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620722;1620722;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620724;1620724;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620725;1620725;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620726;1620726;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620728;1620728;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620729;1620729;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620730;1620730;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620731;1620731;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620732;1620732;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620733;1620733;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620735;1620735;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620736;1620736;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620738;1620738;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620740;1620740;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620743;1620743;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620745;1620745;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620747;1620747;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620767;1620767;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620768;1620768;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620769;1620769;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620771;1620771;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620773;1620773;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620774;1620774;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620776;1620776;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620778;1620778;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620779;1620779;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620781;1620781;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620783;1620783;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620784;1620784;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620785;1620785;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620786;1620786;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620787;1620787;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620788;1620788;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620789;1620789;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620790;1620790;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620791;1620791;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620793;1620793;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620794;1620794;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1620842;1620842;6364;Leekaertsstraat - Rue Leekaerts;1140;Evere
EVERE - FH03;BUILDING template;1621123;1621123;8171;Oud-Kapellekelaan - Avenue de l Oud-Kapelleke;1140;Evere
EVERE - FH03;BUILDING template;1621124;1621124;8171;Oud-Kapellekelaan - Avenue de l Oud-Kapelleke;1140;Evere
EVERE - FH03;BUILDING template;1621298;1621298;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621299;1621299;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621301;1621301;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621303;1621303;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621305;1621305;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621306;1621306;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621307;1621307;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621308;1621308;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621309;1621309;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621310;1621310;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
