Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Municipality
EVERE - FH01;BUILDING template;1620530;1620530;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620531;1620531;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620532;1620532;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620533;1620533;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726869;726869;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726868;726868;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726873;726873;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620536;1620536;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620537;1620537;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620538;1620538;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620539;1620539;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620540;1620540;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726874;726874;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726867;726867;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;5978245;5978245;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;5978246;5978246;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;5984524;5984524;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620843;1620843;6673;Avenue des Loisirs - Vrijetijdslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620844;1620844;6673;Avenue des Loisirs - Vrijetijdslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620847;1620847;6673;Avenue des Loisirs - Vrijetijdslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620850;1620850;6673;Avenue des Loisirs - Vrijetijdslaan;Evere - Evere
EVERE - FH01;BUILDING template;4110151;4110151;6673;Avenue des Loisirs - Vrijetijdslaan;Evere - Evere
EVERE - FH01;BUILDING template;6636664;6636664;6673;Avenue des Loisirs - Vrijetijdslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620859;1620859;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620860;1620860;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620861;1620861;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;726567;726567;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620862;1620862;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
