LAM MK;TOTAAL;SU;BU;LU;Zip;File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM City Code;LAM Street Code;Nr;Suffix;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;Street;Municipality;LANGUAGE;BT
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;30;1899802;3578327;LU;1;30;;;;;Y;#BL.DS.OG4/670.671/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;31;1899803;3578328;LU;1;31;;;;;Y;#BL.DS.OG4/672.673/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;32;10917373;3578329;LU;1;32;;;;;;;;;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;33;10917374;3578330;LU;1;33;;;;;;;;;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;34;10917375;3578331;LU;1;34;;;;;;;;;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;35;10917376;3578333;BU;1;BU;;;;;;;;;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5364;29;1;0;28;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;766784;20191025130608;37370000;31543;105;;;174019,086;174921,767;;Y;NA;6;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;;;;;;1;1884064;3569798;LU;1;1;;;;;Y;#A1/A1/K1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;Jean-Baptiste Van Monsstraat;Leuven;NL;MDU
5364;29;1;0;28;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;766784;20191025130608;37370000;31543;105;;;174019,086;174921,767;;Y;NA;6;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;;;;;;2;1884065;3569799;LU;1;2;;;;;Y;#A1/B/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;Jean-Baptiste Van Monsstraat;Leuven;NL;MDU
5364;29;1;0;28;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;766784;20191025130608;37370000;31543;105;;;174019,086;174921,767;;Y;NA;6;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;;;;;;3;1884066;3569800;LU;1;3;;;;;Y;#A1/C/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;Jean-Baptiste Van Monsstraat;Leuven;NL;MDU
5364;29;1;0;28;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;766784;20191025130608;37370000;31543;105;;;174019,086;174921,767;;Y;NA;6;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;;;;;;4;1884067;3569801;LU;1;4;;;;;Y;#A1/D/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;Jean-Baptiste Van Monsstraat;Leuven;NL;MDU
