ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS_TODO;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT;STS_TODO;SSV_TODO;TSA_SIGNED;TSA_REJECTED;TSA_PROCENT
W03-C-Knokke-Heist-FH12;0;0;78;699;777;0.0;1495;0;0;0.0;0;0.0;539;69.37;238;0;0;0;0.0
W03-C-Leuven-FH04;0;0;153;534;687;0.0;1784;0;16;0.0;119;77.78;687;100.0;0;34;1;0;6.25
W03-C-Leuven-FH05;0;0;332;853;1185;0.0;2983;0;0;0.0;14;4.22;1185;100.0;0;318;0;0;0.0
W03-C-Liege-FH04;497;52;571;320;891;87.04;4123;252;317;79.5;541;94.75;764;85.75;127;30;27;0;8.52
W03-C-Liege-FH05;0;0;424;351;775;0.0;3112;97;153;63.4;414;97.64;798;102.97;-23;10;23;0;15.03
W03-C-Liege-FH06;0;0;172;59;231;0.0;2247;32;51;62.75;68;39.53;246;106.49;-15;104;18;0;35.29
W03-C-Liege-FH07;0;0;796;309;1105;0.0;4969;107;140;76.43;708;88.94;1131;102.35;-26;88;26;0;18.57
W03-C-Liege-FH08;0;0;723;276;999;0.0;4531;75;139;53.96;621;85.89;1000;100.1;-1;102;2;0;1.44
W03-C-Liege-FH09;0;0;433;317;750;0.0;2639;62;131;47.33;354;81.76;752;100.27;-2;79;3;0;2.29
W03-C-Liege-FH10;0;1;567;665;1232;0.0;3113;0;0;0.0;0;0.0;1232;100.0;0;0;0;0;0.0
W03-C-Liege-FH11;0;0;859;637;1496;0.0;4759;15;70;21.43;682;79.39;1470;98.26;26;177;0;0;0.0
W03-C-Liege-FH12;0;0;633;2116;2749;0.0;4308;0;1;0.0;478;75.51;2752;100.11;-3;155;3;0;300.0
W03-C-Liege-FH13;0;0;614;1991;2605;0.0;4028;0;0;0.0;0;0.0;2605;100.0;0;0;0;0;0.0
W03-C-Liege-FH14;0;0;761;1297;2058;0.0;4695;0;0;0.0;0;0.0;2058;100.0;0;0;0;0;0.0
W03-C-Liege-FH15;0;0;1042;499;1541;0.0;5577;0;0;0.0;0;0.0;1541;100.0;0;0;0;0;0.0
W03-C-Liege-FH16;0;0;501;139;640;0.0;2519;1;86;1.16;267;53.29;196;30.63;444;234;0;0;0.0
W03-C-Liege-FH17;0;0;121;53;174;0.0;910;18;45;40.0;47;38.84;50;28.74;124;74;2;0;4.44
W03-C-Schaerbeek-FH01;0;0;446;681;1127;0.0;3101;0;0;0.0;0;0.0;115;10.2;1012;0;0;0;0.0
W03-C-Schaerbeek-FH02;0;0;829;455;1284;0.0;5049;0;0;0.0;0;0.0;1285;100.08;-1;0;1;0;inf
W03-C-Schaerbeek-FH03;0;0;397;130;527;0.0;3180;0;0;0.0;0;0.0;516;97.91;11;0;0;0;0.0
W03-C-Schaerbeek-FH04;602;0;804;412;1216;74.88;3763;0;20;0.0;789;98.13;1213;99.75;3;15;2;0;10.0
W03-C-Schaerbeek-FH10;0;0;853;361;1214;0.0;3886;0;0;0.0;0;0.0;1214;100.0;0;0;0;0;0.0
W03-C-Uccle-FH03;0;0;1171;911;2082;0.0;7074;144;295;48.81;1137;97.1;2093;100.53;-11;34;15;0;5.08
W03-C-Uccle-FH04;0;0;439;814;1253;0.0;4685;81;192;42.19;431;98.18;1253;100.0;0;8;2;0;1.04
W03-C-Uccle-FH05;0;0;924;1231;2155;0.0;6960;43;140;30.71;777;84.09;2156;100.05;-1;147;2;0;1.43
W03-C-Uccle-FH07;0;0;1009;1606;2615;0.0;6566;0;0;0.0;0;0.0;2615;100.0;0;0;0;0;0.0
