File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813727;2,02001E+13;56051;60370000;30963;Truweelstraat;29;;9100;Sint-Niklaas;;134621,8083;206565,8573;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;3;11094891;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;0;0;3;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813730;2,02001E+13;56055;60370000;16086;Klein-Hulststraat;18;;9100;Sint-Niklaas;;134631,4646;206466,2447;;Y;NA;2;7;Unknown;Unknown;;None;;;;;;;;;;;;1;2104039;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813731;2,02001E+13;56056;60370000;16086;Klein-Hulststraat;20;;9100;Sint-Niklaas;;134636,1598;206464,3666;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2105923;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813732;2,02001E+13;56057;60370000;16086;Klein-Hulststraat;76;;9100;Sint-Niklaas;;134721,3635;206428,6825;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2123842;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813736;2,02001E+13;56061;60370000;20504;Mercatorstraat;93;;9100;Sint-Niklaas;;134624,1755;206572,5965;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2127184;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;0;1;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813739;2,02001E+13;56065;60370000;20504;Mercatorstraat;147;;9100;Sint-Niklaas;;134741,8743;206520,2394;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2100960;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;14;11094803;;LU;1;;;;;;;;;;;;;;;;;;;;;;12;0;0;12;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;15;11094804;;LU;1;;;;;;;;;;;;;;;;;;;;;;12;0;0;12;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;19;11094808;;LU;1;;;;;;;;;;;;;;;;;;;;;;12;0;0;12;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;18;11094807;;LU;1;;;;;;;;;;;;;;;;;;;;;;12;0;0;12;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;20;11094809;;LU;1;;;;;;;;;;;;;;;;;;;;;;12;0;0;12;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2114632;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;12;0;0;12;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;10473135;2,02001E+13;56071;60370000;25716;Regentieplein;40;;9100;Sint-Niklaas;;134349,2064;206546,8595;;Y;NA;3;4;Unknown;Unknown;;None;;;;;;;;;;;;13;11094802;;LU;1;;;;;;;;;;;;;;;;;;;;;;12;0;0;12;NL;MDU
