BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
1905273;Godefriduskaai 8-10;;;;;;;NOK;
108080;Napoleonkaai 3-5-7;;;;;2020-06-26;;;
2024753;Napoleonkaai 3-5-7;;;;;2020-06-26;;;
108081;Napoleonkaai 3-5-7;;;;;2020-06-26;;;
4505623;4505623;Nassaustraat;14;;XA;;2020-03-19;;
1206770;1206770;;;;;2020-03-06;;;
4155271;Nassaustraat 33-35;Nassaustraat;33;;C;2020-03-10;2020-03-19;;
6058636;Nassaustraat 33-35;Nassaustraat;33;;C;2020-03-10;2020-03-19;;
108794;Kribbestraat 19_Napoleonkaai 45;;;;;2020-01-31;;;
186508;Kribbestraat 19_Napoleonkaai 45;;;;;2020-01-31;;;
108785;Kribbestraat 2-4;Kribbestraat;2;;A;;2020-03-19;;
1970933;Kribbestraat 2-4;Kribbestraat;2;;A;;2020-03-19;;
1970943;Kribbestraat 6-8;Kribbestraat;6;;C;;2020-03-19;;
1970946;Kribbestraat 6-8;Kribbestraat;6;;C;;2020-03-19;;
108273;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;A;;2020-02-10;;
1992550;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;A;;2020-02-10;;
108294;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;A;;2020-02-10;;
108293;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;A;;2020-02-10;;
108292;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;A;;2020-02-10;;
1992553;Londenstraat 40-42;;;;;2020-06-12;;;
1992555;Londenstraat 40-42;;;;;2020-06-12;;;
2024791;Napoleonkaai 37-39;Napoleonkaai;37;;C;;2020-06-26;;
2024799;Napoleonkaai 37-39;Napoleonkaai;37;;C;;2020-06-26;;
2024895;2024895;;;;;2019-12-19;;;
