Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;6427222;6427222;14285997;Cadixstraat 45-47-47A-47C;Cadixstraat;47;C;20190913125146;C;2020-01-17;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2024639;2024639;;Napelsstraat 32-34;Napelsstraat;32;;;D;2018-11-17;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6375622;6375622;14285997;Cadixstraat 45-47-47A-47C;Cadixstraat;47;A;20190913125146;C;2020-01-17;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4506391;4506391;14285997;Cadixstraat 45-47-47A-47C;Cadixstraat;45;;20190913125146;C;2020-01-17;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108294;108294;20714618;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;Napelsstraat;63;;20191009090339;XA;2019-09-16 15:00:24;Mark van Gossum;MDU;0;16;2;18;BUILDING template
ANTWERPEN-WEST - FH01;108293;108293;20714618;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;Napelsstraat;65;;20191009090339;XA;2019-09-16 15:00:24;Mark van Gossum;MDU;0;12;2;14;BUILDING template
ANTWERPEN-WEST - FH01;108292;108292;20714618;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;Napelsstraat;67;;20191009090339;XA;2019-09-16 15:00:24;Mark van Gossum;MDU;1;15;2;18;BUILDING template
ANTWERPEN-WEST - FH01;59274;59274;;Sint-Aldegondiskaai 10_ Adriaan Brouwerstraat 9;Adriaan Brouwerstraat;9;;20191001141309;XA;2020-02-19 22:20:13;Senel Koksal;MDU;1;5;1;7;BUILDING template
ANTWERPEN-WEST - FH01;59300;59300;;Van Schoonbekeplein 11_Spanjaardsteeg 21;Spanjaardsteeg;21;;;C;2019-12-11 10:25:15;Senel Koksal;MDU;0;7;2;9;BUILDING template
ANTWERPEN-WEST - FH01;1905398;1905398;;Godefriduskaai 18-20-22;Godefriduskaai;20;;;XA;2019-08-27 12:50:11;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6132277;6132277;;Kattendijkdok-Westkaai 31-32-32A;Kattendijkdok-Westkaai;32;A;;A;2020-02-18 12:30:36;olivier collignon;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5963666;5963666;;Napelsstraat 71-73;Napelsstraat;73;;20191014095019;C;2019-09-27 09:40:15;olivier collignon;MDU;2;0;2;4;BUILDING template
ANTWERPEN-WEST - FH01;4066155;4066155;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;10;A;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4507060;4507060;20727154;Entrepotkaai 7-8-9-10;Entrepotkaai;7;;20191009135041;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069021;2069021;20727201;Entrepotkaai 10A-11-12-13-14;Entrepotkaai;11;;20191009135152;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2069025;2069025;20727211;Entrepotkaai 15-16;Entrepotkaai;15;;20191009135215;A;2019-09-05 15:34:51;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;186508;186508;;Kribbestraat 19_Napoleonkaai 45;Kribbestraat;19;;;A;2020-02-19 17:55:13;Senel Koksal;MDU;1;4;1;6;BUILDING template
ANTWERPEN-WEST - FH01;108078;108078;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Nassaustraat;30;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;0;11;1;12;BUILDING template
