Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;1734631;1734631;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;44;;20200224122728;XA;2020-02-06;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108082;108082;;;Amsterdamstraat;22;;;D;2019-12-16 10:30:29;Senel Koksal;MDU;0;6;1;7;BUILDING template
ANTWERPEN-WEST - FH01;2047597;2047597;;;Rijnkaai;30;;;D;2019-07-30 12:05:11;Geert Stockman;MDU;0;5;0;5;BUILDING template
ANTWERPEN-WEST - FH01;1734632;1734632;;;Sint-Aldegondiskaai;46;;;D;2019-08-20 15:05:14;Mark van Gossum;MDU;0;6;0;6;BUILDING template
ANTWERPEN-WEST - FH01;108942;108942;;;Indiestraat;21;;;;2018-08-24;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1735097;1735097;;;Amsterdamstraat;23;;;D;2019-07-30 15:40:08;Geert Stockman;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH01;108955;108955;29470257;Kempischdok-Westkaai 14-20;Kempischdok-Westkaai;20;;20200226134210;D;2019-09-13 10:50:12;Senel Koksal;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH01;2047598;2047598;;;Rijnkaai;31;;;A;2020-02-19 16:50:20;Senel Koksal;MDU;2;11;1;14;BUILDING template
ANTWERPEN-WEST - FH01;4513324;4513324;;;Sint-Aldegondiskaai;48;;;;;Geert Lermyte;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108947;108947;;;Indiestraat;18;;;C;2020-01-17 17:25:19;Senel Koksal;MDU;0;17;2;19;BUILDING template
ANTWERPEN-WEST - FH01;1735099;1735099;;;Amsterdamstraat;27;;;XA;2019-08-30 16:50:12;Peter Van Leeuwen;MDU;1;4;1;6;BUILDING template
ANTWERPEN-WEST - FH01;1734633;1734633;;;Sint-Aldegondiskaai;50;;;D;2019-08-20 15:10:11;Steve De Weerdt;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH01;1949013;1949013;;;Indiestraat;10;;;;2018-08-24;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1128021;1128021;;;Amsterdamstraat;28;;;XA;2019-08-22 15:05:15;Peter Van Leeuwen;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH01;1734634;1734634;;;Sint-Aldegondiskaai;52;;;;2019-08-20 15:15:13;Steve De Weerdt;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1128023;1128023;;;Amsterdamstraat;30;;;A;2019-09-03 15:15:17;Peter Van Leeuwen;MDU;1;5;1;7;BUILDING template
ANTWERPEN-WEST - FH01;59277;59277;20604519;Sint-Aldegondiskaai 10_ Adriaan Brouwerstraat 9;Sint-Aldegondiskaai;10;;20200224122801;XA;2020-02-19 22:20:13;Senel Koksal;MDU;2;10;1;13;BUILDING template
ANTWERPEN-WEST - FH01;1734635;1734635;;;Sint-Aldegondiskaai;54;;;D;2019-08-20 15:20:13;Steve De Weerdt;MDU;0;8;0;8;BUILDING template
