Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Bg Name ifh;Kolom1;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH02;4449017;BL0205;1;4449017;11489716;Truweelstraat 9-11-13-15;Truweelstraat 9-11-13-15;WAAR;Truweelstraat;13;;20200108082423;;2019-01-01;Bernardo Kana da Rosa;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3516642;BL0205;1;3516642;11489716;Truweelstraat 9-11-13-15;Truweelstraat 9-11-13-15;WAAR;Truweelstraat;11;;20200108082423;;2019-01-01;Bernardo Kana da Rosa;MDU;0;5;0;5;BUILDING template
SINT-NIKLAAS - FH02;4449019;BL0205;1;4449019;11489716;Truweelstraat 9-11-13-15;Truweelstraat 9-11-13-15;WAAR;Truweelstraat;15;;20200108082423;;2019-01-01;Bernardo Kana da Rosa;MDU;0;1;1;2;BUILDING template
SINT-NIKLAAS - FH02;3516636;BL0205;1;3516636;;Truweelstraat 7-7B;;ONWAAR;Truweelstraat;7;;;D;2020-02-05 21:30:29;Hidde Kiekens;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;;BL0205;;;;Truweelstraat 7-7B;#N/B;#N/B;Truweelstraat;7;B;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;NB-910068A11751;BL0202;;NB-910068A11751;;Truweelstraat 68A-68B;#N/B;#N/B;Truweelstraat;68;A;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;NB-910068B90310;BL0202;;NB-910068B90310;;Truweelstraat 68A-68B;#N/B;#N/B;Truweelstraat;68;B;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;;BL0205;;;;Truweelstraat 29A-29B-29C;#N/B;#N/B;Truweelstraat;29;A;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;;BL0205;;;;Truweelstraat 29A-29B-29C;#N/B;#N/B;Truweelstraat;29;B;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;;BL0205;;;;Truweelstraat 29A-29B-29C;#N/B;#N/B;Truweelstraat;29;C;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;4448222;BL0204;1;4448222;;Truweelstraat 14-16;;ONWAAR;Truweelstraat;14;;;;2019-10-24;Dirk Marien;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3516645;BL0204;1;3516645;;Truweelstraat 14-16;;ONWAAR;Truweelstraat;16;;;;2020-01-30 10:40:26;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3515263;BL0201;1;3515263;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;23;;;C;2020-02-14 12:50:23;Geert Stockman;MDU;0;10;1;11;BUILDING template
SINT-NIKLAAS - FH02;3515266;BL0201;1;3515266;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;25;;;C;2020-02-14 12:50:23;Geert Stockman;MDU;0;10;1;11;BUILDING template
SINT-NIKLAAS - FH02;69848;BL0201;1;69848;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;27;;;C;2020-02-14 12:50:23;Geert Stockman;MDU;0;10;1;11;BUILDING template
SINT-NIKLAAS - FH02;69849;BL0201;1;69849;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;21;;;C;2020-02-14 12:50:23;Geert Stockman;MDU;0;10;1;11;BUILDING template
SINT-NIKLAAS - FH02;4462014;BL0201;1;4462014;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;22;;;;2018-12-13;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;4045039;BL0201;1;4045039;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;24;;;;;Bernardo Kana da Rosa;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;4462017;BL0201;1;4462017;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;26;;;;;Bernardo Kana da Rosa;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3515268;BL0201;1;3515268;;Stationsplein 21-22-23-24-25-26-27-28;;ONWAAR;Stationsplein;28;;;;;Bernardo Kana da Rosa;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;6004510;BL0201;1;6004510;;Stationsplein 19A-19B;;ONWAAR;Stationsplein;19;B;;;2018-12-13;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;6004501;BL0201;1;6004501;;Stationsplein 19A-19B;;ONWAAR;Stationsplein;19;A;;XC;2020-02-14 15:00:41;Geert Stockman;MDU;0;7;1;8;BUILDING template
SINT-NIKLAAS - FH02;1372936;BL0205;1;1372936;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;;ONWAAR;Sint-Rochushof;1;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;1;2;BUILDING template
SINT-NIKLAAS - FH02;NB-910029ecc29;;;NB-910029ecc29;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;2;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4447897;BL0205;1;4447897;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;;ONWAAR;Sint-Rochushof;3;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;NB-91004f4f160;;;NB-91004f4f160;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;4;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;NB-91005be1527;;;NB-91005be1527;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;5;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;NB-910060d9b98;;;NB-910060d9b98;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;6;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;NB-9100761b247;;;NB-9100761b247;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;7;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;NB-9100899f894;;;NB-9100899f894;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;8;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;NB-91009d0d147;;;NB-91009d0d147;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;#N/B;#N/B;Sint-Rochushof;9;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
