Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;91938;BL0407;2;91938;;Molenbergstraat 9_Sint Jacobsmarkt 97;Sint-Jacobsmarkt;97;;;XA;2020-01-14 07:20:18;Geert Stockman;MDU;5;2;1;8;BUILDING template
ANTWERPEN-WEST - FH04;5428419;BL0428;6;5428419;;Schuttershofstraat 9-9A-9B-9C-9D-11 ;Schuttershofstraat;9;A;;D;2020-03-24 13:11:02;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;2052254;BL0428;6;2052254;;Schuttershofstraat 9-9A-9B-9C-9D-11 ;Schuttershofstraat;9;B;;D;2020-03-24 13:11:02;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;5403556;BL0428;6;5403556;;Schuttershofstraat 9-9A-9B-9C-9D-11 ;Schuttershofstraat;9;D;;D;2020-03-24 13:11:02;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;5576258;BL0428;6;5576258;;Schuttershofstraat 9-9A-9B-9C-9D-11 ;Schuttershofstraat;11;;;D;2020-03-24 13:11:02;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;60796;BL0428;6;60796;;Schuttershofstraat 9-9A-9B-9C-9D-11 ;Schuttershofstraat;9;;;D;2020-03-24 13:11:02;Peter Van Leeuwen;MDU;3;0;1;4;BUILDING template
ANTWERPEN-WEST - FH04;4035525;BL0428;6;4035525;;Schuttershofstraat 9-9A-9B-9C-9D-11 ;Schuttershofstraat;9;C;;D;2020-03-24 13:11:02;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;2057927;BL0419;4;2057927;;Twaalfmaandenstraat 7-9-11-13;Twaalfmaandenstraat;7;;;D;2020-04-01 11:52:11;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;2057929;BL0419;4;2057929;;Twaalfmaandenstraat 7-9-11-13;Twaalfmaandenstraat;9;;;D;2020-04-01 11:52:11;Peter Van Leeuwen;MDU;0;14;0;14;BUILDING template
ANTWERPEN-WEST - FH04;2057930;BL0419;4;2057930;;Twaalfmaandenstraat 7-9-11-13;Twaalfmaandenstraat;11;;;D;2020-04-01 11:52:11;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;2057932;BL0419;4;2057932;;Twaalfmaandenstraat 7-9-11-13;Twaalfmaandenstraat;13;;;D;2020-04-01 11:52:11;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;60024;BL0429;6;60024;;Wapper 9-11-13-15 ;Wapper;9;;;;;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1508424;BL0429;6;1508424;;Wapper 9-11-13-15 ;Wapper;11;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;4508048;BL0429;6;4508048;;Wapper 9-11-13-15 ;Wapper;13;;;;;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;60025;BL0429;6;60025;;Wapper 9-11-13-15 ;Wapper;15;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
