Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH06;1776895;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777180;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777286;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777315;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777172;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777163;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777182;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777283;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777279;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777287;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777181;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777151;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777049;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777364;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777274;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777314;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777336;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777506;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777178;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1777360;BL0610;;;5575625;;;Groenplaats;40;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136207;BL0610;;;5575626;;;Groenplaats;42;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833682;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833675;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833676;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833681;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833677;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833678;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833679;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1833680;BL0607;;;5575774;;;Kammenstraat;65;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1819508;BL0616;;;5575847;;;Oude Koornmarkt;59;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1819415;BL0616;;;5575847;;;Oude Koornmarkt;59;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1819520;BL0616;;;5575847;;;Oude Koornmarkt;59;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1819571;BL0616;;;5575847;;;Oude Koornmarkt;59;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1819404;BL0616;;;5575847;;;Oude Koornmarkt;59;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1819580;BL0616;;;5575847;;;Oude Koornmarkt;59;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1680037;BL0622;;;5575924;;;Lijnwaadmarkt;18;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1680056;BL0605;;;5576084;;;Oudaan;18;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1842889;BL0602;;;5576380;;;Vleminckveld;70;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136247;BL0612;;;5734740;;;Meirbrug;8;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136187;BL0618;;;6018352;;;Eiermarkt;17;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136268;BL0611;;;6095924;;;Schoenmarkt;2;A;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136274;BL0612;;;6188680;;;Schrijnwerkersstraat;9;B;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136226;BL0607;;;6316329;;;Lombardenstraat;14;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136295;BL0612;;;6327004;;;Wiegstraat;2;A;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136233;BL0611;;;6404970;;;Lombardenvest;55;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136197;BL0606;;;6407198;;;Everdijstraat;20;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136269;BL0611;;;6467509;;;Schrijnwerkersstraat;2;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136251;BL0606;;;6524092;;;Oudaan;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136163;BL0625;;;6524104;;;Beggaardenstraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11136246;BL0612;;;6588791;;;Meirbrug;6;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;6629696;BL0606;1;29348964;6629696;;;Everdijstraat;14;A;;2019-07-11;olivier collignon;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;6629698;BL0605;1;29350414;6629698;33634165;Vleminckveld 5-7-9-11-13-15-17-19-21-23;Vleminckveld;9;;XC;2020-06-08 16:45:06;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH06;6629697;BL0604;1;29350321;6629697;;;Vleminckveld;58;;;2019-07-21;Steve De Weerdt;SDU;0;1;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;6629699;BL0611;2;29350589;6629699;33634173;Lombardenvest 23-25-27-29-31-33-35-37-39-49-51-53-55-61-63-65;Lombardenvest;61;;A;;Olivier Collignon;MDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;12377;BL0604;1;614869;12377;;;Bredestraat;3;;D;2020-03-02 10:15:18;Geert Stockman;MDU;0;4;0;4;Y;;BUILDING template
ANTWERPEN-WEST - FH06;1778760;BL0604;1;632172;1778760;;;Bredestraat;7;;D;2020-03-02 11:10:10;Geert Stockman;MDU;1;2;0;3;Y;;BUILDING template
ANTWERPEN-WEST - FH06;4070508;BL0604;1;693125;4070508;;;Bredestraat;19;;;2020-07-22 10:05:20;Geert Stockman;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH06;1778799;BL0604;1;632181;1778799;;;Bredestraat;21;;XC;2020-03-07 07:55:07;Geert Stockman;MDU;0;6;0;6;Y;;BUILDING template
ANTWERPEN-WEST - FH06;1778821;BL0604;1;632187;1778821;;;Bredestraat;33;;D;2020-03-06 09:10:09;Geert Stockman;MDU;0;6;0;6;Y;;BUILDING template
ANTWERPEN-WEST - FH06;1778833;BL0604;1;632190;1778833;;;Bredestraat;37;;D;2020-03-02 09:20:09;Geert Stockman;MDU;0;4;0;4;Y;;BUILDING template
ANTWERPEN-WEST - FH06;1741726;BL0604;;;12377;;;Bredestraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193889;BL0604;;;12377;;;Bredestraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193890;BL0604;;;12377;;;Bredestraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193891;BL0604;;;12377;;;Bredestraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1841828;BL0604;;;1778760;;;Bredestraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193892;BL0604;;;1778760;;;Bredestraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193893;BL0604;;;1778760;;;Bredestraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1685746;BL0604;;;4070508;;;Bredestraat;19;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;1702713;BL0604;;;1778799;;;Bredestraat;21;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193906;BL0604;;;1778799;;;Bredestraat;21;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193907;BL0604;;;1778799;;;Bredestraat;21;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11193908;BL0604;;;1778799;;;Bredestraat;21;;;;;;;;;;;;(L/B/S)U template
