Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH06;3937352;BL0017;;3937352;;;Harpstraat;20;;;;;Dieu Jocelin;MDU;0;4;0;4;BUILDING template
HASSELT - FH06;662060;BL0012;;662060;;;Rembert Dodoenslaan;10;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416864;BL0017;;2416864;;;Harpstraat;22;;;;;Dieu Jocelin;MDU;1;3;1;5;BUILDING template
HASSELT - FH06;662059;BL0012;;662059;;;Rembert Dodoenslaan;11;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416866;BL0017;;2416866;;;Harpstraat;24;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413962;BL0012;;2413962;;;Rembert Dodoenslaan;13;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416867;BL0017;;2416867;;;Harpstraat;26;;;;;Dieu Jocelin;SDU;1;0;0;1;BUILDING template
HASSELT - FH06;2413964;BL0012;;2413964;;;Rembert Dodoenslaan;14;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416868;BL0017;;2416868;;;Harpstraat;28;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413966;BL0012;;2413966;;;Rembert Dodoenslaan;15;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;666229;BL0017;;666229;;;Harpstraat;30;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413968;BL0012;;2413968;;;Rembert Dodoenslaan;16;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;1164596;BL0003;;1164596;33665789;Helbeekplein 1-2;Helbeekplein;1;;20200511175359;;;Dieu Jocelin;MDU;0;32;0;32;BUILDING template
HASSELT - FH06;2413969;BL0012;;2413969;;;Rembert Dodoenslaan;17;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;1326237;BL0003;;1326237;33665789;Helbeekplein 1-2;Helbeekplein;2;;20200511175359;;;Dieu Jocelin;MDU;0;27;0;27;BUILDING template
HASSELT - FH06;2413970;BL0012;;2413970;;;Rembert Dodoenslaan;18;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
