Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH01;726586;BL0104;6;726586;;;Rue Colonel Bourg - Kolonel Bourgstraat;182;;;;2020-01-08 07:40:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622011;BL0110;6;1622011;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;32;;;;2019-11-12 10:45:21;Jonathan Collignon;SDU;1;0;0;1;BUILDING template
EVERE - FH01;1620884;BL0113;8;1620884;;;Chaussée de Louvain - Leuvensesteenweg;890;;;D;2018-04-27 12:00:03;Paul Use;MDU;0;4;0;4;BUILDING template
EVERE - FH01;1620456;BL0122;9;1620456;;;Avenue Artemis - Artemislaan;10;;;;2019-09-23 13:05:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;4110195;BL0127;2;4110195;;;Avenue Constant Permeke - Constant Permekelaan;43;;;;2019-11-12 07:05:14;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726280;BL0109;4;726280;;;Rue Guillaume Van Laethem - G. Van Laethemstraat;42;;;;2019-11-22 06:50:14;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5852257;BL0104;4;5852257;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;8;;;;2019-11-21 10:30:26;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;4110743;BL0110;6;4110743;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;46;;;;2019-11-14 11:55:14;Jonathan Collignon;SDU;1;0;0;1;BUILDING template
EVERE - FH01;1620457;BL0122;9;1620457;;;Avenue Artemis - Artemislaan;11;;;;2019-09-23 13:05:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;4115060;BL0127;2;4115060;;;Avenue Constant Permeke - Constant Permekelaan;45;;;;2019-11-12 07:05:13;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726286;BL0109;4;726286;;;Rue Hugo Verriest - Hugo Verrieststraat;19;;;;2019-11-25 10:10:20;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5819027;BL0104;4;5819027;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;10;;;;2019-11-20 06:40:11;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620969;BL0104;6;1620969;;;Rue du Maquis - Maquisstraat;3;;;D;2020-03-12;Maayken Vanfleteren;MDU;0;3;0;3;BUILDING template
EVERE - FH01;3916123;BL0110;6;3916123;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;48;;;D;2018-05-07 13:15:04;Raphael Use;MDU;0;3;0;3;BUILDING template
