Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH11;2759438;BL1113;;2759438;;;Dwarsstraat;8;;;;;olivier collignon;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762646;BL1138;;2762646;;;Leenstraat;4;;;XC;2020-01-05 09:00:22;Geert Stockman;MDU;0;8;1;9;BUILDING template
KNOKKE-HEIST - FH11;2764806;BL1119;;2764806;;;Pannenstraat;121;;;D;2020-01-09 11:45:25;Geert Stockman;MDU;0;6;0;6;BUILDING template
KNOKKE-HEIST - FH11;2767441;BL1127;;2767441;;;de Vrierestraat;22;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336328;BL1143;;4336328;;;Stationsplein;6;;;D;2020-01-04 07:40:17;Geert Stockman;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;2760197;BL1131;;2760197;;;Heistlaan;106;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301792;BL1126;;301792;;;de Vrierestraat;3;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759440;BL1113;;2759440;;;Dwarsstraat;16;;;D;2020-02-08 17:00:23;Geert Stockman;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;2762647;BL1138;;2762647;;;Leenstraat;8;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767442;BL1126;;2767442;;;de Vrierestraat;25;;;D;2020-01-04 14:50:15;Maayken Vanfleteren;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;4336336;BL1137;;4336336;;;Marktstraat;15;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760198;BL1133;;2760198;;;Heistlaan;107;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301794;BL1126;;301794;;de Vrièrestraat 41_Stadhuisstraat 16;de Vrierestraat;41;;;XC;2020-03-15 22:45:10;Maayken Vanfleteren;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;2759441;BL1113;;2759441;;;Dwarsstraat;24;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762648;BL1138;;2762648;;;Leenstraat;12;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767444;BL1127;;2767444;;;de Vrierestraat;26;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336355;BL1121;;4336355;;;Onderwijsstraat;107;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760199;BL1131;;2760199;;;Heistlaan;108;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301795;BL1105;;301795;;;de Vrierestraat;6;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759442;BL1113;;2759442;;;Dwarsstraat;26;;;;;olivier collignon;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762649;BL1139;;2762649;;;Leenstraat;15;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764812;BL1120;;2764812;;;Pannenstraat;133;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767445;BL1126;;2767445;;;de Vrierestraat;27;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336357;BL1123;;4336357;;;Onderwijsstraat;76;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760200;BL1133;;2760200;;;Heistlaan;109;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301796;BL1126;;301796;;;de Vrierestraat;17;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759443;BL1113;;2759443;;;Dwarsstraat;30;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762650;BL1138;;2762650;;;Leenstraat;16;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764813;BL1120;;2764813;;;Pannenstraat;139;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767447;BL1127;;2767447;;de Vrierestraat 28-30;de Vrierestraat;28;;;XC;2020-03-10 12:25:09;Maayken Vanfleteren;MDU;1;0;2;3;BUILDING template
