Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;BG Name IFH;Actie;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH07;3928778;3928778;11382571;Pastoor Visschersplein 1-2-3-4;Pastoor Visschersplein 1-2-3-4;Bg Hernoemen in IFH;Pastoor Visschersplein;2;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4212946;4212946;11382571;Pastoor Visschersplein 1-2-3-4;Pastoor Visschersplein 1-2-3-4;Bg Hernoemen in IFH;Pastoor Visschersplein;4;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2069202;2069202;11382565;Pastoor Visschersplein 5-6-7;Pastoor Visschersplein 5-6-7;Bg Hernoemen in IFH;Pastoor Visschersplein;5;;;;Nicholas De Mol;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2069203;2069203;11382565;Pastoor Visschersplein 5-6-7;Pastoor Visschersplein 5-6-7;Bg Hernoemen in IFH;Pastoor Visschersplein;6;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2069204;2069204;11382565;Pastoor Visschersplein 5-6-7;Pastoor Visschersplein 5-6-7;Bg Hernoemen in IFH;Pastoor Visschersplein;7;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;5414460;5414460;11382566;Pastoor Visschersplein 8-9-10;Pastoor Visschersplein 8-9-10;Bg Hernoemen in IFH;Pastoor Visschersplein;10;;;;Nicholas De Mol;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2069205;2069205;11382566;Pastoor Visschersplein 8-9-10;Pastoor Visschersplein 8-9-10;Bg Hernoemen in IFH;Pastoor Visschersplein;9;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;5487862;5487862;11382566;Pastoor Visschersplein 8-9-10;Pastoor Visschersplein 8-9-10;Bg Hernoemen in IFH;Pastoor Visschersplein;8;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;49150;49150;11382541;Pompstraat 1-3;Pompstraat 1-3;building groep naam in IFH aanpassen;Pompstraat;1;;;;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2045065;2045065;11382541;Pompstraat 1-3;Pompstraat 1-3;building groep naam in IFH aanpassen;Pompstraat;3;;;;Nicholas De Mol;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4011332;4011332;11382542;Pompstraat 17-19;Pompstraat 17,19;Building Group verwijderen;Pompstraat;17;;;;Nicholas De Mol;SDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4216156;4216156;11382542;Pompstraat 17-19;Pompstraat 17,19;Building Group verwijderen;Pompstraat;19;;D;2019-10-22 15:55:14;Peter Cremers;MDU;0;7;0;7;BUILDING template
ANTWERPEN-WEST - FH07;4132530;4132530;11382540;Pompstraat 25-27-29;Pompstraat 25-27-29;Building Group Naam IFH wijzigen - Steffen QD maken;Pompstraat;25;;D;;Steffen Verhofsté;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2045076;2045076;11382540;Pompstraat 25-27-29;Pompstraat 25-27-29;Building Group Naam IFH wijzigen - Steffen QD maken;Pompstraat;27;;D;;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4509979;4509979;11382540;Pompstraat 25-27-29;Pompstraat 25-27-29;Building Group Naam IFH wijzigen - Steffen QD maken;Pompstraat;29;;D;;Steffen Verhofsté;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;976563;976563;11382495;Prekersstraat 16-18-18A-18B-18D;Prekersstraat 16-18;building groep naam in IFH aanpassen;Prekersstraat;16;;XC;2019-10-29 17:20:12;Ryan De Vries;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;5576143;5576143;11382495;Prekersstraat 16-18-18A-18B-18D;Prekersstraat 16-18;building groep naam in IFH aanpassen;Prekersstraat;18;;XC;2019-10-29 17:20:12;Ryan De Vries;MDU;0;18;2;20;BUILDING template
ANTWERPEN-WEST - FH07;2045619;2045619;11382491;Prekersstraat 53-55;Prekersstraat 53-55;Building Group Naam IFH wijzigen - Steffen QD maken;Prekersstraat;53;;D;;Steffen Verhofsté;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;976554;976554;11382491;Prekersstraat 53-55;Prekersstraat 53-55;Building Group Naam IFH wijzigen - Steffen QD maken;Prekersstraat;55;;D;;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;1326107;1326107;11382545;Prekerstraat 69-71;Prekerstraat 69-71;Building Group verwijderen;Prekersstraat;69;;D;2019-10-21 15:35:13;Ryan De Vries;MDU;0;2;0;2;BUILDING template
ANTWERPEN-WEST - FH07;2045622;2045622;11382545;Prekerstraat 69-71;Prekerstraat 69-71;Building Group verwijderen;Prekersstraat;71;;;;;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;60700;60700;11382511;Reyndersstraat 26-28-30;Reyndersstraat 26-28-30;building groep naam in IFH aanpassen;Reyndersstraat;26;;;2018-10-02;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
