LU_Key;SSV_Action_LU;LAM_MK;SSV_Action;Opdrachtnummer
NB-8300117b26468---2;DELETE;;;
NB-83007401f3045---13;DELETE;;;
NB-830011935300---25;DELETE;;;
NB-830072724b517---7;DELETE;;;
NB-83006645ca697---11;DELETE;;;
NB-830083a7464---0;DELETE;;;
NB-830050a4257---0;DELETE;;;
NB-830050a4257---9;DELETE;;;
NB-830067510a819---9;DELETE;;;
NB-83002136d2008---0;DELETE;;;
NB-83007890dd308---0;DELETE;;;
NB-830067143d985---13;DELETE;;;
NB-83009486f16---6;DELETE;;;
NB-830047626b86---14;DELETE;;;
NB-830067510a819---12;DELETE;;;
NB-83006645ca697---22;DELETE;;;
NB-83007742d573---10;DELETE;;;
NB-8300711fcfc45---19;DELETE;;;
NB-830065cf1278---7;DELETE;;;
NB-8300784f43370---22;DELETE;;;
NB-830068714dd27---0;DELETE;;;
NB-8300765b3dd79---1;DELETE;;;
NB-830033b7027---6;DELETE;;;
NB-8300189c04c87---1;DELETE;;;
NB-83007062a1a60---11;DELETE;;;
NB-83007628d2549---2;DELETE;;;
NB-8300765b3dd79---7;DELETE;;;
NB-830012a68415---0;DELETE;;;
NB-830050a4257---11;DELETE;;;
NB-8300137662219---0;DELETE;;;
NB-8300651ab1a86---1;DELETE;;;
NB-8300711fcfc45---16;DELETE;;;
NB-8300795e69c96---1;DELETE;;;
NB-8300711fcfc45---18;DELETE;;;
NB-830011935300---5;DELETE;;;
NB-83009fdac74---0;DELETE;;;
NB-830011fc8099---35;DELETE;;;
NB-830010806555---3;DELETE;;;
NB-83007902dd341---0;DELETE;;;
NB-8300784f43370---20;DELETE;;;
NB-830010b06382---11;DELETE;;;
NB-830015199467---15;DELETE;;;
NB-8300742464d80---6;DELETE;;;
NB-830072724b517---10;DELETE;;;
NB-830011935300---16;DELETE;;;
NB-8300722a62e04---0;DELETE;;;
NB-8300195f04993---0;DELETE;;;
NB-830067143d985---9;DELETE;;;
NB-830013A9438---1;DELETE;;;
NB-830010b06382---13;DELETE;;;
NB-830011935300---54;DELETE;;;
NB-8300765b3dd79---12;DELETE;;;
NB-830010806555---11;DELETE;;;
NB-83007842b83---0;DELETE;;;
NB-83007d6ed32---0;DELETE;;;
NB-830017f98f88---0;DELETE;;;
NB-830067510a819---8;DELETE;;;
NB-8300784f43370---13;DELETE;;;
NB-830011935300---9;DELETE;;;
NB-830010b06382---4;DELETE;;;
NB-830065cf1278---5;DELETE;;;
NB-830013321fc61---8;DELETE;;;
NB-8300350b190---3;DELETE;;;
NB-83006Afe57---0;DELETE;;;
NB-830018312291---0;DELETE;;;
NB-830033b7027---0;DELETE;;;
NB-8300686e4d793---14;DELETE;;;
NB-830011935300---30;DELETE;;;
NB-8300690583a25---0;DELETE;;;
NB-8300904e463---12;DELETE;;;
NB-83002878c6380---6;DELETE;;;
NB-830067143d985---20;DELETE;;;
NB-8300153d2f009---3;DELETE;;;
NB-8300712273896---0;DELETE;;;
NB-83007401f3045---4;DELETE;;;
NB-830011935300---10;DELETE;;;
NB-83007401f3045---10;DELETE;;;
NB-83007d6ed32---1;DELETE;;;
NB-83007062a1a60---1;DELETE;;;
NB-830015cfcc22---9;DELETE;;;
NB-8300784f43370---6;DELETE;;;
NB-830011fc8099---1;DELETE;;;
NB-830039251f24---0;DELETE;;;
NB-8300153d2f009---0;DELETE;;;
NB-8300118bb816---8;DELETE;;;
NB-83004fbce11---3;DELETE;;;
NB-830013321fc61---0;DELETE;;;
NB-8300699dcbe13---1;DELETE;;;
NB-8300746d32b59---0;DELETE;;;
NB-8300692a88b54---5;DELETE;;;
NB-830011935300---35;DELETE;;;
NB-830010806555---9;DELETE;;;
NB-8300711fcfc45---13;DELETE;;;
NB-8300765b3dd79---2;DELETE;;;
NB-8300904e463---2;DELETE;;;
NB-8300227cab185---0;DELETE;;;
NB-830013321fc61---10;DELETE;;;
NB-830072724b517---8;DELETE;;;
NB-830067143d985---7;DELETE;;;
NB-8300784f43370---11;DELETE;;;
NB-830050a4257---14;DELETE;;;
NB-8300713633331---0;DELETE;;;
NB-83004641f54---6;DELETE;;;
NB-830011935300---8;DELETE;;;
NB-830047626b86---16;DELETE;;;
NB-83006645ca697---12;DELETE;;;
NB-8300711fcfc45---17;DELETE;;;
NB-830050a4257---5;DELETE;;;
NB-83003728155---0;DELETE;;;
NB-830072724b517---4;DELETE;;;
NB-83007628d2549---5;DELETE;;;
NB-8300694cb5588---5;DELETE;;;
NB-8300711fcfc45---8;DELETE;;;
NB-830015cfcc22---10;DELETE;;;
NB-8300711fcfc45---35;DELETE;;;
NB-83004d6e305---6;DELETE;;;
NB-830041454a49---0;DELETE;;;
NB-830016c25325---11;DELETE;;;
NB-830014f33a26---1;DELETE;;;
NB-83007062a1a60---4;DELETE;;;
NB-8300742464d80---1;DELETE;;;
NB-83004641f54---1;DELETE;;;
NB-8300155f3a635---0;DELETE;;;
NB-830015199467---10;DELETE;;;
NB-8300118bb816---3;DELETE;;;
NB-8300651ab1a86---0;DELETE;;;
NB-830050a4257---8;DELETE;;;
NB-83004fbce11---8;DELETE;;;
NB-8300195f04993---3;DELETE;;;
NB-830067510a819---3;DELETE;;;
NB-8300711fcfc45---4;DELETE;;;
NB-830011935300---39;DELETE;;;
NB-83004d6e305---7;DELETE;;;
NB-8300795e69c96---8;DELETE;;;
NB-830015cfcc22---6;DELETE;;;
NB-8300769d64d09---5;DELETE;;;
NB-8300795e69c96---2;DELETE;;;
NB-8300686e4d793---5;DELETE;;;
NB-830017ec7454---0;DELETE;;;
NB-830031952d748---4;DELETE;;;
NB-8300118bb816---7;DELETE;;;
NB-830067ee628---0;DELETE;;;
NB-8300755158745---0;DELETE;;;
NB-83007605fa217---0;DELETE;;;
NB-8300311335c19---0;DELETE;;;
NB-83002279bb248---1;DELETE;;;
NB-8300651ab1a86---15;DELETE;;;
NB-830011935300---42;DELETE;;;
NB-830050a4257---4;DELETE;;;
NB-8300667f07470---14;DELETE;;;
NB-83003203822---0;DELETE;;;
NB-83004d6e305---2;DELETE;;;
NB-83009675276---0;DELETE;;;
NB-830065cf1278---2;DELETE;;;
NB-8300117b26468---4;DELETE;;;
NB-8300651ab1a86---12;DELETE;;;
NB-8300684beab57---4;DELETE;;;
NB-830011fc8099---20;DELETE;;;
NB-830013A9438---0;DELETE;;;
NB-83007401f3045---5;DELETE;;;
NB-8300195f04993---2;DELETE;;;
NB-83006645ca697---21;DELETE;;;
NB-8300904e463---10;DELETE;;;
NB-830013321fc61---15;DELETE;;;
NB-830015199467---2;DELETE;;;
NB-83002878c6380---5;DELETE;;;
NB-830015d36c23---1;DELETE;;;
NB-8300711fcfc45---12;DELETE;;;
NB-83007799bd074---0;DELETE;;;
NB-830018fee665---1;DELETE;;;
NB-8300118bb816---11;DELETE;;;
NB-830047626b86---6;DELETE;;;
NB-8300742464d80---12;DELETE;;;
NB-83007446eb712---0;DELETE;;;
NB-83006819a5625---3;DELETE;;;
NB-830010ec792---0;DELETE;;;
NB-83006a83093---0;DELETE;;;
NB-8300976ce72---0;DELETE;;;
NB-83003203822---1;DELETE;;;
NB-830065cf1278---9;DELETE;;;
NB-830011fc8099---29;DELETE;;;
NB-83002878c6380---7;DELETE;;;
NB-8300113890c35---2;DELETE;;;
NB-830011935300---27;DELETE;;;
NB-830067510a819---6;DELETE;;;
NB-830013321fc61---11;DELETE;;;
NB-830065cf1278---0;DELETE;;;
NB-830010ec792---6;DELETE;;;
NB-83007401f3045---7;DELETE;;;
NB-830038bf560---0;DELETE;;;
NB-8300690583a25---3;DELETE;;;
NB-830013321fc61---14;DELETE;;;
NB-8300769d64d09---4;DELETE;;;
NB-830065cf1278---6;DELETE;;;
NB-83007062a1a60---12;DELETE;;;
NB-830011fc8099---22;DELETE;;;
NB-830011935300---22;DELETE;;;
NB-830011fc8099---3;DELETE;;;
NB-830047626b86---5;DELETE;;;
NB-830016c25325---13;DELETE;;;
NB-830067143d985---21;DELETE;;;
NB-830016c25325---6;DELETE;;;
NB-83001675c2882---3;DELETE;;;
NB-83007742d573---17;DELETE;;;
NB-8300667f07470---0;DELETE;;;
NB-830011299988---0;DELETE;;;
NB-83006645ca697---14;DELETE;;;
NB-83001838e5a55---0;DELETE;;;
NB-83007334e5512---1;DELETE;;;
NB-8300765b3dd79---8;DELETE;;;
NB-8300769d64d09---10;DELETE;;;
