Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH03;1303896;;BL0337;1303896;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;19;
EVERE - FH03;1299874;;BL0337;1299874;BL0337;BUILDING template;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;20;
EVERE - FH03;1623664;;BL0331;1623664;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;1;A
EVERE - FH03;25479;;BL0331;25479;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;1;
EVERE - FH03;838795;;BL0333;838795;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;2;
EVERE - FH03;838798;;BL0333;838798;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;2;A
EVERE - FH03;1623665;;BL0331;1623665;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;3;
EVERE - FH03;838796;;BL0333;838796;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;4;
EVERE - FH03;1623666;;BL0331;1623666;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;5;
EVERE - FH03;839669;;BL0333;839669;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;6;
EVERE - FH03;1623667;;BL0331;1623667;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;7;
EVERE - FH03;881118;;BL0333;881118;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;8;
EVERE - FH03;15012;;BL0331;15012;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;9;
EVERE - FH03;1623668;;BL0333;1623668;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;10;
EVERE - FH03;839668;;BL0331;839668;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;11;
EVERE - FH03;1299490;;BL0333;1299490;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;12;
EVERE - FH03;1325536;;BL0331;1325536;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;13;
EVERE - FH03;1623669;;BL0333;1623669;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;14;
EVERE - FH03;839673;;BL0331;839673;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;15;
EVERE - FH03;3957333;;BL0333;3957333;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;16;
EVERE - FH03;1623670;;BL0331;1623670;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;17;
EVERE - FH03;1623671;;BL0333;1623671;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;18;
EVERE - FH03;1623672;;BL0331;1623672;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;19;
EVERE - FH03;1623673;;BL0333;1623673;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;20;
EVERE - FH03;1623674;;BL0331;1623674;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;21;
EVERE - FH03;1623675;;BL0333;1623675;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;22;
EVERE - FH03;1623676;;BL0331;1623676;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;23;
EVERE - FH03;1623677;;BL0333;1623677;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;24;
EVERE - FH03;4119657;;BL0331;4119657;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;25;
EVERE - FH03;1623678;;BL0333;1623678;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;26;
EVERE - FH03;1623679;;BL0331;1623679;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;27;
EVERE - FH03;1623680;;BL0333;1623680;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;28;
EVERE - FH03;1623681;;BL0331;1623681;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;29;
