Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH06;2764226;;BL0606;2764226;BL0606;BUILDING template;Jozef Nellenslaan 193-195;Jozef Nellenslaan;193;
KNOKKE-HEIST - FH06;2764229;;BL0606;2764229;BL0606;BUILDING template;;Jozef Nellenslaan;197;
KNOKKE-HEIST - FH06;2764235;;BL0613;2764235;BL0613;BUILDING template;Jozef Nellenslaan 209-211-213;Jozef Nellenslaan;209;
KNOKKE-HEIST - FH06;2764240;;BL0613;2764240;BL0613;BUILDING template;Jozef Nellenslaan 215-217;Jozef Nellenslaan;215;
KNOKKE-HEIST - FH06;2764242;;BL0613;2764242;BL0613;BUILDING template;;Jozef Nellenslaan;219;
KNOKKE-HEIST - FH06;2764244;;BL0613;2764244;BL0613;BUILDING template;;Jozef Nellenslaan;223;
KNOKKE-HEIST - FH06;2765232;;BL0616;2765232;BL0616;BUILDING template;;Paul Parmentierlaan;178;
KNOKKE-HEIST - FH06;2765235;;BL0616;2765235;BL0616;BUILDING template;;Paul Parmentierlaan;184;
KNOKKE-HEIST - FH06;2765237;;BL0616;2765237;BL0616;BUILDING template;;Paul Parmentierlaan;186;
KNOKKE-HEIST - FH06;2765240;;BL0616;2765240;BL0616;BUILDING template;;Paul Parmentierlaan;188;
KNOKKE-HEIST - FH06;2765247;;BL0616;2765247;BL0616;BUILDING template;;Paul Parmentierlaan;190;
KNOKKE-HEIST - FH06;2765254;;BL0616;2765254;BL0616;BUILDING template;;Paul Parmentierlaan;192;
KNOKKE-HEIST - FH06;2765258;;BL0616;2765258;BL0616;BUILDING template;;Paul Parmentierlaan;194;
KNOKKE-HEIST - FH06;2765261;;BL0616;2765261;BL0616;BUILDING template;;Paul Parmentierlaan;196;
KNOKKE-HEIST - FH06;2765263;;BL0616;2765263;BL0616;BUILDING template;;Paul Parmentierlaan;198;
KNOKKE-HEIST - FH06;2765268;;BL0616;2765268;BL0616;BUILDING template;;Paul Parmentierlaan;200;
KNOKKE-HEIST - FH06;2765271;;BL0616;2765271;BL0616;BUILDING template;Paul Parmentierlaan 202-204;Paul Parmentierlaan;202;
KNOKKE-HEIST - FH06;2765275;;BL0616;2765275;BL0616;BUILDING template;;Paul Parmentierlaan;206;
KNOKKE-HEIST - FH06;2765279;;BL0611;2765279;BL0611;BUILDING template;;Paul Parmentierlaan;212;
KNOKKE-HEIST - FH06;2765281;;BL0615;2765281;BL0615;BUILDING template;;Paul Parmentierlaan;213;
KNOKKE-HEIST - FH06;2765285;;BL0611;2765285;BL0611;BUILDING template;;Paul Parmentierlaan;214;
KNOKKE-HEIST - FH06;2765289;;BL0615;2765289;BL0615;BUILDING template;;Paul Parmentierlaan;217;
KNOKKE-HEIST - FH06;2765290;;BL0611;2765290;BL0611;BUILDING template;;Paul Parmentierlaan;218;
KNOKKE-HEIST - FH06;2765291;;BL0615;2765291;BL0615;BUILDING template;;Paul Parmentierlaan;219;
KNOKKE-HEIST - FH06;2765292;;BL0611;2765292;BL0611;BUILDING template;;Paul Parmentierlaan;220;
KNOKKE-HEIST - FH06;2765293;;BL0615;2765293;BL0615;BUILDING template;;Paul Parmentierlaan;221;
KNOKKE-HEIST - FH06;2765294;;BL0611;2765294;BL0611;BUILDING template;;Paul Parmentierlaan;222;
KNOKKE-HEIST - FH06;2765295;;BL0615;2765295;BL0615;BUILDING template;;Paul Parmentierlaan;223;
KNOKKE-HEIST - FH06;2765296;;BL0611;2765296;BL0611;BUILDING template;;Paul Parmentierlaan;224;
KNOKKE-HEIST - FH06;2765297;;BL0615;2765297;BL0615;BUILDING template;;Paul Parmentierlaan;225;
KNOKKE-HEIST - FH06;2765299;;BL0611;2765299;BL0611;BUILDING template;;Paul Parmentierlaan;228;
KNOKKE-HEIST - FH06;2765301;;BL0615;2765301;BL0615;BUILDING template;;Paul Parmentierlaan;231;
KNOKKE-HEIST - FH06;2765302;;BL0611;2765302;BL0611;BUILDING template;;Paul Parmentierlaan;232;
KNOKKE-HEIST - FH06;2765306;;BL0611;2765306;BL0611;BUILDING template;;Paul Parmentierlaan;234;
KNOKKE-HEIST - FH06;2765308;;BL0615;2765308;BL0615;BUILDING template;;Paul Parmentierlaan;235;
KNOKKE-HEIST - FH06;2765310;;BL0615;2765310;BL0615;BUILDING template;Julius Hostestraat 8_Paul Parmentierlaan 237;Paul Parmentierlaan;237;
KNOKKE-HEIST - FH06;2765313;;BL0609;2765313;BL0609;BUILDING template;;Paul Parmentierlaan;240;
KNOKKE-HEIST - FH06;2765316;;BL0609;2765316;BL0609;BUILDING template;Paul Parmentierlaan 242-244-244A;Paul Parmentierlaan;242;
KNOKKE-HEIST - FH06;2765318;;BL0612;2765318;BL0612;BUILDING template;;Paul Parmentierlaan;243;
KNOKKE-HEIST - FH06;2765322;;BL0612;2765322;BL0612;BUILDING template;Paul Parmentierlaan 245-247;Paul Parmentierlaan;245;
KNOKKE-HEIST - FH06;2765331;;BL0609;2765331;BL0609;BUILDING template;;Paul Parmentierlaan;250;
KNOKKE-HEIST - FH06;2765332;;BL0612;2765332;BL0612;BUILDING template;;Paul Parmentierlaan;251;
KNOKKE-HEIST - FH06;2765333;;BL0609;2765333;BL0609;BUILDING template;;Paul Parmentierlaan;252;
KNOKKE-HEIST - FH06;2765335;;BL0609;2765335;BL0609;BUILDING template;;Paul Parmentierlaan;254;
KNOKKE-HEIST - FH06;2765336;;BL0612;2765336;BL0612;BUILDING template;;Paul Parmentierlaan;255;
KNOKKE-HEIST - FH06;2765338;;BL0609;2765338;BL0609;BUILDING template;;Paul Parmentierlaan;256;
KNOKKE-HEIST - FH06;2765340;;BL0609;2765340;BL0609;BUILDING template;;Paul Parmentierlaan;258;
KNOKKE-HEIST - FH06;2765342;;BL0612;2765342;BL0612;BUILDING template;;Paul Parmentierlaan;259;
KNOKKE-HEIST - FH06;2765352;;BL0612;2765352;BL0612;BUILDING template;;Paul Parmentierlaan;261;
KNOKKE-HEIST - FH06;2765353;;BL0612;2765353;BL0612;BUILDING template;;Paul Parmentierlaan;263;
KNOKKE-HEIST - FH06;2765355;;BL0612;2765355;BL0612;BUILDING template;;Paul Parmentierlaan;265;
KNOKKE-HEIST - FH06;2765356;;BL0608;2765356;BL0608;BUILDING template;Paul Parmentierlaan 273-275;Paul Parmentierlaan;273;
KNOKKE-HEIST - FH06;2765360;;BL0608;2765360;BL0608;BUILDING template;;Paul Parmentierlaan;277;
KNOKKE-HEIST - FH06;2765366;;BL0608;2765366;BL0608;BUILDING template;;Paul Parmentierlaan;285;
KNOKKE-HEIST - FH06;2765371;;BL0608;2765371;BL0608;BUILDING template;;Paul Parmentierlaan;287;
KNOKKE-HEIST - FH06;2765372;;BL0608;2765372;BL0608;BUILDING template;;Paul Parmentierlaan;289;
