Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH11;8344974;;BL1118;302638;BL1118;(L/B/S)U template;Badersstraat;34;
KNOKKE-HEIST - FH11;71697;;BL1114;71697;BL1114;BUILDING template;Bakkersstraat;1;
KNOKKE-HEIST - FH11;8341076;;BL1114;71697;BL1114;(L/B/S)U template;Bakkersstraat;1;
KNOKKE-HEIST - FH11;71696;;BL1114;71696;BL1114;BUILDING template;Bakkersstraat;2;
KNOKKE-HEIST - FH11;8365137;;BL1114;71696;BL1114;(L/B/S)U template;Bakkersstraat;2;
KNOKKE-HEIST - FH11;71692;;BL1114;71692;BL1114;BUILDING template;Bakkersstraat;3;
KNOKKE-HEIST - FH11;8334766;;BL1114;71692;BL1114;(L/B/S)U template;Bakkersstraat;3;
KNOKKE-HEIST - FH11;4178599;;BL1114;4178599;BL1114;BUILDING template;Bakkersstraat;4;
KNOKKE-HEIST - FH11;8339993;;BL1114;4178599;BL1114;(L/B/S)U template;Bakkersstraat;4;
KNOKKE-HEIST - FH11;2757945;;BL1114;2757945;BL1114;BUILDING template;Bakkersstraat;5;
KNOKKE-HEIST - FH11;8363481;;BL1114;2757945;BL1114;(L/B/S)U template;Bakkersstraat;5;
KNOKKE-HEIST - FH11;2757946;;BL1114;2757946;BL1114;BUILDING template;Bakkersstraat;6;
KNOKKE-HEIST - FH11;8337013;;BL1114;2757946;BL1114;(L/B/S)U template;Bakkersstraat;6;
KNOKKE-HEIST - FH11;2757947;;BL1114;2757947;BL1114;BUILDING template;Bakkersstraat;7;
KNOKKE-HEIST - FH11;8355173;;BL1114;2757947;BL1114;(L/B/S)U template;Bakkersstraat;7;
KNOKKE-HEIST - FH11;2757948;;BL1114;2757948;BL1114;BUILDING template;Bakkersstraat;8;
KNOKKE-HEIST - FH11;8355203;;BL1114;2757948;BL1114;(L/B/S)U template;Bakkersstraat;8;
KNOKKE-HEIST - FH11;2757949;;BL1114;2757949;BL1114;BUILDING template;Bakkersstraat;9;
KNOKKE-HEIST - FH11;8344388;;BL1114;2757949;BL1114;(L/B/S)U template;Bakkersstraat;9;
KNOKKE-HEIST - FH11;4247401;;BL1114;4247401;BL1114;BUILDING template;Bakkersstraat;10;
KNOKKE-HEIST - FH11;8334293;;BL1114;4247401;BL1114;(L/B/S)U template;Bakkersstraat;10;
KNOKKE-HEIST - FH11;71693;;BL1114;71693;BL1114;BUILDING template;Bakkersstraat;11;
KNOKKE-HEIST - FH11;8358000;;BL1114;71693;BL1114;(L/B/S)U template;Bakkersstraat;11;
