Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;4091264;;4091264;BL0002;BL0002;BUILDING template;Emiel Banningstraat;28;
ANTWERPEN-WEST - FH10;4093937;;4093937;BL0029;BL0029;BUILDING template;Begijnenvest;15;
ANTWERPEN-WEST - FH10;4105413;;4105413;BL0032;BL0032;BUILDING template;Begijnenvest;61;
ANTWERPEN-WEST - FH10;4144192;;4144192;BL0029;BL0029;BUILDING template;Begijnenvest;37;
ANTWERPEN-WEST - FH10;4148220;;4148220;BL0002;BL0002;BUILDING template;Gijzelaarsstraat;37;
ANTWERPEN-WEST - FH10;4148769;;4148769;BL0002;BL0002;BUILDING template;Emiel Banningstraat;22;
ANTWERPEN-WEST - FH10;4152272;;4152272;BL0029;BL0029;BUILDING template;Begijnenvest;19;
ANTWERPEN-WEST - FH10;4156019;;4156019;BL0026;BL0026;BUILDING template;Tolstraat;76;
ANTWERPEN-WEST - FH10;4157620;;4157620;BL0023;BL0023;BUILDING template;Welvaartstraat;18;
ANTWERPEN-WEST - FH10;4164766;;4164766;BL0026;BL0026;BUILDING template;Verbondstraat;97;
ANTWERPEN-WEST - FH10;4176588;;4176588;BL0022;BL0022;BUILDING template;Vrijheidstraat;15;
ANTWERPEN-WEST - FH10;4179438;;4179438;BL0023;BL0023;BUILDING template;Vrijheidstraat;51;
ANTWERPEN-WEST - FH10;4188288;;4188288;BL0010;BL0010;BUILDING template;Kasteelstraat;21;
ANTWERPEN-WEST - FH10;4203394;;4203394;BL0022;BL0022;BUILDING template;Welvaartstraat;27;
ANTWERPEN-WEST - FH10;4204878;;4204878;BL0024;BL0024;BUILDING template;Coquilhatstraat;41;
ANTWERPEN-WEST - FH10;4210825;;4210825;BL0008;BL0008;BUILDING template;Graaf van Hoornestraat;9;
ANTWERPEN-WEST - FH10;4215636;;4215636;BL0033;BL0033;BUILDING template;Koninginnestraat;3;
ANTWERPEN-WEST - FH10;4218041;;4218041;BL0002;BL0002;BUILDING template;Gijzelaarsstraat;57;
ANTWERPEN-WEST - FH10;4221639;;4221639;BL0024;BL0024;BUILDING template;De Vrierestraat;15;
ANTWERPEN-WEST - FH10;4223972;;4223972;BL0005;BL0005;BUILDING template;Kasteelstraat;42;
ANTWERPEN-WEST - FH10;4228821;;4228821;BL0036;BL0036;BUILDING template;Bollandusstraat;12;
ANTWERPEN-WEST - FH10;4232527;;4232527;BL0034;BL0034;BUILDING template;Begijnenvest;83;
ANTWERPEN-WEST - FH10;4234010;;4234010;BL0019;BL0019;BUILDING template;Scheldestraat;81;
ANTWERPEN-WEST - FH10;4234401;;4234401;BL0033;BL0033;BUILDING template;Begijnenvest;99;
ANTWERPEN-WEST - FH10;4234637;;4234637;BL0016;BL0016;BUILDING template;Coquilhatstraat;5;
ANTWERPEN-WEST - FH10;4243958;;4243958;BL0027;BL0027;BUILDING template;Tolstraat;59;
ANTWERPEN-WEST - FH10;4245328;;4245328;BL0016;BL0016;BUILDING template;Zwijgerstraat;33;
ANTWERPEN-WEST - FH10;4251750;;4251750;BL0008;BL0008;BUILDING template;Beeldhouwersstraat;18;
ANTWERPEN-WEST - FH10;4253968;;4253968;BL0017;BL0017;BUILDING template;Karel Rogierstraat;17;
ANTWERPEN-WEST - FH10;4262756;;4262756;BL0005;BL0005;BUILDING template;Pacificatiestraat;83;
ANTWERPEN-WEST - FH10;4263202;;4263202;BL0037;BL0037;BUILDING template;Bollandusstraat;13;
ANTWERPEN-WEST - FH10;43815;;43815;BL0038;BL0038;BUILDING template;Leopoldplaats;10;
ANTWERPEN-WEST - FH10;43817;;43817;BL0038;BL0038;BUILDING template;Leopoldplaats;11;
