Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MONS - FH01;3156131;;BL0102;3156131;BL0102;BUILDING template;;Grand-Place;17;
MONS - FH01;1275455;;BL0102;1275455;BL0102;BUILDING template;;Grand-Place;18;
MONS - FH01;207478;;BL0104;207478;BL0104;BUILDING template;;Grand-Place;22;
MONS - FH01;247542;;BL0104;247542;BL0104;BUILDING template;;Grand-Place;23;
MONS - FH01;3156132;;BL0104;3156132;BL0104;BUILDING template;;Grand-Place;25;
MONS - FH01;3156133;;BL0104;3156133;BL0104;BUILDING template;;Grand-Place;26;
MONS - FH01;247229;;BL0104;247229;BL0104;BUILDING template;;Grand-Place;27;
MONS - FH01;3156134;;BL0106;3156134;BL0106;BUILDING template;-Rue d'Enghien -01- Grand-Place -28;Grand-Place;28;
MONS - FH01;3156135;;BL0106;3156135;BL0106;BUILDING template;;Grand-Place;29;
MONS - FH01;3156136;;BL0112;3156136;BL0112;BUILDING template;Grand-Place-31-32;Grand-Place;31;
MONS - FH01;3156137;;BL0112;3156137;BL0112;BUILDING template;Grand-Place-31-32;Grand-Place;32;
MONS - FH01;247060;;BL0112;247060;BL0112;BUILDING template;;Grand-Place;33;
MONS - FH01;3156138;;BL0112;3156138;BL0112;BUILDING template;;Grand-Place;34;
MONS - FH01;3156139;;BL0112;3156139;BL0112;BUILDING template;;Grand-Place;35;
MONS - FH01;3156140;;BL0116;3156140;BL0116;BUILDING template;Grand-Place-36-37;Grand-Place;36;
MONS - FH01;3156141;;BL0116;3156141;BL0116;BUILDING template;Grand-Place-36-37;Grand-Place;37;
MONS - FH01;3156142;;BL0116;3156142;BL0116;BUILDING template;;Grand-Place;38;
MONS - FH01;3156143;;BL0116;3156143;BL0116;BUILDING template;;Grand-Place;39;
MONS - FH01;247059;;BL0116;247059;BL0116;BUILDING template;;Grand-Place;41;
MONS - FH01;3153434;;BL0117;3153434;BL0117;BUILDING template;;Marché aux Herbes;1;
MONS - FH01;247244;;BL0117;247244;BL0117;BUILDING template;;Marché aux Herbes;2;
MONS - FH01;4591035;;BL0117;4591035;BL0117;BUILDING template;;Marché aux Herbes;6;
MONS - FH01;3153435;;BL0117;3153435;BL0117;BUILDING template;;Marché aux Herbes;7;
MONS - FH01;3153436;;BL0117;3153436;BL0117;BUILDING template;;Marché aux Herbes;8;
MONS - FH01;1470575;;BL0117;1470575;BL0117;BUILDING template;Marché aux Herbes  11 -12;Marché aux Herbes;11;
MONS - FH01;3153437;;BL0117;3153437;BL0117;BUILDING template;;Marché aux Herbes;13;
MONS - FH01;3153440;;BL0117;3153440;BL0117;BUILDING template;;Marché aux Herbes;16;
MONS - FH01;3153441;;BL0117;3153441;BL0117;BUILDING template;;Marché aux Herbes;17;
MONS - FH01;207048;;BL0117;207048;BL0117;BUILDING template;;Marché aux Herbes;18;
MONS - FH01;207051;;BL0116;207051;BL0116;BUILDING template;;Marché aux Herbes;19;
MONS - FH01;3153449;;BL0116;3153449;BL0116;BUILDING template;;Marché aux Herbes;22;
MONS - FH01;4258407;;BL0116;4258407;BL0116;BUILDING template;;Marché aux Herbes;23;
MONS - FH01;4067990;;BL0116;4067990;BL0116;BUILDING template;;Marché aux Herbes;23;A
MONS - FH01;3153451;;BL0116;3153451;BL0116;BUILDING template;;Marché aux Herbes;24;
MONS - FH01;207052;;BL0116;207052;BL0116;BUILDING template;;Marché aux Herbes;25;
MONS - FH01;3153452;;BL0116;3153452;BL0116;BUILDING template;;Marché aux Herbes;26;
MONS - FH01;3153454;;BL0116;3153454;BL0116;BUILDING template;;Marché aux Herbes;27;
MONS - FH01;3159060;;BL0109;3159060;BL0109;BUILDING template;;Place Saint Germain;1;
MONS - FH01;3159061;;BL0109;3159061;BL0109;BUILDING template;;Place Saint Germain;2;
MONS - FH01;247231;;BL0107;247231;BL0107;BUILDING template;;Rampe du Château;2;
MONS - FH01;3134397;;BL0107;3134397;BL0107;BUILDING template;;Rampe du Château;12;
MONS - FH01;204690;;BL0107;204690;BL0107;BUILDING template;Rampe Sainte Waudru -4-6;Rampe Sainte Waudru;4;
MONS - FH01;3159340;;BL0107;3159340;BL0107;BUILDING template;;Rampe Sainte Waudru;8;
MONS - FH01;3159341;;BL0107;3159341;BL0107;BUILDING template;;Rampe Sainte Waudru;10;
MONS - FH01;3159342;;BL0107;3159342;BL0107;BUILDING template;Rampe Sainte Waudru  -12 - 14;Rampe Sainte Waudru;12;
MONS - FH01;204685;;BL0107;204685;BL0107;BUILDING template;Rampe Sainte Waudru  12-14;Rampe Sainte Waudru;14;
MONS - FH01;204686;;BL0107;204686;BL0107;BUILDING template;;Rampe Sainte Waudru;16;
MONS - FH01;3162288;;BL0111;3162288;BL0111;BUILDING template;;Rue Courte;1;
MONS - FH01;3162289;;BL0110;3162289;BL0110;BUILDING template;;Rue Courte;2;
MONS - FH01;3162290;;BL0111;3162290;BL0111;BUILDING template;;Rue Courte;3;
MONS - FH01;209790;;BL0106;209790;BL0106;BUILDING template;;Rue Cronque;1;
MONS - FH01;209792;;BL0105;209792;BL0105;BUILDING template;;Rue Cronque;2;
MONS - FH01;3136568;;BL0106;3136568;BL0106;BUILDING template;;Rue Cronque;3;
MONS - FH01;247319;;BL0106;247319;BL0106;BUILDING template;;Rue Cronque;5;
MONS - FH01;3136569;;BL0105;3136569;BL0105;BUILDING template;;Rue Cronque;6;
