Projectnummer;LU Key;LAM MK;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;1620352;1620352;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;17;
EVERE - FH01;1137209;1137209;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;18;
EVERE - FH01;1620353;1620353;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;19;
EVERE - FH01;1620354;1620354;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;21;
EVERE - FH01;1620355;1620355;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;23;
EVERE - FH01;1137211;1137211;10;BL0105;BL0105;BUILDING template;Kleigroeveërf - Clos de l'Argilière;25;
EVERE - FH01;1137193;1137193;10;BL0105;BL0105;BUILDING template;Kolonel Bourgstraat - Rue Colonel Bourg;130;
EVERE - FH01;1137204;1137204;10;BL0105;BL0105;BUILDING template;Kolonel Bourgstraat - Rue Colonel Bourg;136;
EVERE - FH01;1137205;1137205;10;BL0105;BL0105;BUILDING template;Kolonel Bourgstraat - Rue Colonel Bourg;138;
EVERE - FH01;1621777;1621777;10;BL0105;BL0105;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;75;
EVERE - FH01;1621778;1621778;10;BL0105;BL0105;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;77;
EVERE - FH01;726429;726429;10;BL0105;BL0105;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;79;
EVERE - FH01;1137196;1137196;10;BL0105;BL0105;BUILDING template;Rue Colonel Bourg;132;
EVERE - FH01;726187;726187;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;2;
EVERE - FH01;1446973;1446973;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;4;
EVERE - FH01;1624254;1624254;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;10;
EVERE - FH01;1624256;1624256;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;12;
EVERE - FH01;1624258;1624258;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;14;
EVERE - FH01;1624260;1624260;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;16;
EVERE - FH01;1624262;1624262;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;18;
EVERE - FH01;1624263;1624263;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;20;
EVERE - FH01;1624265;1624265;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;22;
EVERE - FH01;726184;726184;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;30;
EVERE - FH01;1624264;1624264;10;BL0105;BL0105;BUILDING template;V-Daylaan - Avenue du V-Day;20;A
EVERE - FH01;5884179;5884179;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;2;
EVERE - FH01;5815571;5815571;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;4;
EVERE - FH01;5815570;5815570;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;6;
EVERE - FH01;5852257;5852257;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;8;
EVERE - FH01;5819027;5819027;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;10;
EVERE - FH01;5815572;5815572;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;12;
EVERE - FH01;5612075;5612075;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;15;
EVERE - FH01;5479939;5479939;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;25;
EVERE - FH01;5479940;5479940;4;BL0104;BL0104;BUILDING template;Bouwgezellenerf - Clos des Compagnons Bâtisseurs;27;
EVERE - FH01;5457203;5457203;6;BL0104;BL0104;BUILDING template;Clos des Briquetiers - Steenbakkerserf;2;
EVERE - FH01;5694876;5694876;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;1;
EVERE - FH01;5695173;5695173;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;3;
EVERE - FH01;5694877;5694877;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;5;
EVERE - FH01;5693806;5693806;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;7;
EVERE - FH01;5700472;5700472;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;9;
EVERE - FH01;5693808;5693808;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;11;
EVERE - FH01;5612072;5612072;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;13;
EVERE - FH01;5479264;5479264;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;14;
EVERE - FH01;5479265;5479265;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;16;
EVERE - FH01;5700478;5700478;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;17;
EVERE - FH01;5722558;5722558;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;18;
EVERE - FH01;5694815;5694815;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;19;
EVERE - FH01;5479937;5479937;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;21;
EVERE - FH01;5479938;5479938;4;BL0104;BL0104;BUILDING template;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;23;
EVERE - FH01;46321;46321;6;BL0104;BL0104;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;74;
EVERE - FH01;1622029;1622029;6;BL0104;BL0104;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;76;
EVERE - FH01;1622030;1622030;6;BL0104;BL0104;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;78;
EVERE - FH01;1622031;1622031;6;BL0104;BL0104;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;80;
EVERE - FH01;4119521;4119521;6;BL0104;BL0104;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;82;
