Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;2112102;1;BL0208;4057353;BL0208;(L/B/S)U template;Klein-Hulststraat;33;
SINT-NIKLAAS - FH02;4444740;1;BL0208;4444740;BL0208;BUILDING template;Klein-Hulststraat;35;
SINT-NIKLAAS - FH02;2112705;1;BL0208;4444740;BL0208;(L/B/S)U template;Klein-Hulststraat;35;
SINT-NIKLAAS - FH02;3500087;1;BL0208;3500087;BL0208;BUILDING template;Klein-Hulststraat;37;
SINT-NIKLAAS - FH02;2113287;1;BL0208;3500087;BL0208;(L/B/S)U template;Klein-Hulststraat;37;
SINT-NIKLAAS - FH02;4444741;1;BL0208;4444741;BL0208;BUILDING template;Klein-Hulststraat;39;
SINT-NIKLAAS - FH02;2113845;1;BL0208;4444741;BL0208;(L/B/S)U template;Klein-Hulststraat;39;
SINT-NIKLAAS - FH02;4027354;1;BL0208;4027354;BL0208;BUILDING template;Klein-Hulststraat;41;
SINT-NIKLAAS - FH02;2114848;1;BL0208;4027354;BL0208;(L/B/S)U template;Klein-Hulststraat;41;
SINT-NIKLAAS - FH02;3500088;1;BL0208;3500088;BL0208;BUILDING template;Klein-Hulststraat;43;
SINT-NIKLAAS - FH02;2115398;1;BL0208;3500088;BL0208;(L/B/S)U template;Klein-Hulststraat;43;
SINT-NIKLAAS - FH02;4444743;1;BL0208;4444743;BL0208;BUILDING template;Klein-Hulststraat;45;
SINT-NIKLAAS - FH02;2115842;1;BL0208;4444743;BL0208;(L/B/S)U template;Klein-Hulststraat;45;
SINT-NIKLAAS - FH02;3500089;1;BL0208;3500089;BL0208;BUILDING template;Klein-Hulststraat;47;
SINT-NIKLAAS - FH02;2116319;1;BL0208;3500089;BL0208;(L/B/S)U template;Klein-Hulststraat;47;
SINT-NIKLAAS - FH02;3500090;1;BL0208;3500090;BL0208;BUILDING template;Klein-Hulststraat;49;
SINT-NIKLAAS - FH02;2116954;1;BL0208;3500090;BL0208;(L/B/S)U template;Klein-Hulststraat;49;
SINT-NIKLAAS - FH02;3500091;1;BL0208;3500091;BL0208;BUILDING template;Klein-Hulststraat;51;
SINT-NIKLAAS - FH02;2117882;1;BL0208;3500091;BL0208;(L/B/S)U template;Klein-Hulststraat;51;
SINT-NIKLAAS - FH02;3500092;1;BL0208;3500092;BL0208;BUILDING template;Klein-Hulststraat;53;
SINT-NIKLAAS - FH02;2118394;1;BL0208;3500092;BL0208;(L/B/S)U template;Klein-Hulststraat;53;
SINT-NIKLAAS - FH02;3500093;1;BL0205;3500093;BL0205;BUILDING template;Klein-Hulststraat;54;
SINT-NIKLAAS - FH02;2118609;1;BL0205;3500093;BL0205;(L/B/S)U template;Klein-Hulststraat;54;
SINT-NIKLAAS - FH02;68427;1;BL0208;68427;BL0208;BUILDING template;Klein-Hulststraat;55;
SINT-NIKLAAS - FH02;2118860;1;BL0208;68427;BL0208;(L/B/S)U template;Klein-Hulststraat;55;
SINT-NIKLAAS - FH02;2118861;1;BL0208;68427;BL0208;(L/B/S)U template;Klein-Hulststraat;55;
SINT-NIKLAAS - FH02;11094613;1;BL0208;68427;BL0208;(L/B/S)U template;Klein-Hulststraat;55;
SINT-NIKLAAS - FH02;3500094;1;BL0205;3500094;BL0205;BUILDING template;Klein-Hulststraat;56;
SINT-NIKLAAS - FH02;2119047;1;BL0205;3500094;BL0205;(L/B/S)U template;Klein-Hulststraat;56;
SINT-NIKLAAS - FH02;68430;1;BL0208;68430;BL0208;BUILDING template;Klein-Hulststraat;57;
SINT-NIKLAAS - FH02;11094480;1;BL0208;68430;BL0208;(L/B/S)U template;Klein-Hulststraat;57;
SINT-NIKLAAS - FH02;3500095;1;BL0205;3500095;BL0205;BUILDING template;Klein-Hulststraat;58;
SINT-NIKLAAS - FH02;2119472;1;BL0205;3500095;BL0205;(L/B/S)U template;Klein-Hulststraat;58;
SINT-NIKLAAS - FH02;68428;2;BL0209;68428;BL0209;BUILDING template;Klein-Hulststraat;59;
SINT-NIKLAAS - FH02;2119664;2;BL0209;68428;BL0209;(L/B/S)U template;Klein-Hulststraat;59;
SINT-NIKLAAS - FH02;11094614;2;BL0209;68428;BL0209;(L/B/S)U template;Klein-Hulststraat;59;
SINT-NIKLAAS - FH02;3500096;1;BL0205;3500096;BL0205;BUILDING template;Klein-Hulststraat;60;
SINT-NIKLAAS - FH02;10642684;1;BL0205;3500096;BL0205;(L/B/S)U template;Klein-Hulststraat;60;
SINT-NIKLAAS - FH02;10642685;1;BL0205;3500096;BL0205;(L/B/S)U template;Klein-Hulststraat;60;
SINT-NIKLAAS - FH02;10642686;1;BL0205;3500096;BL0205;(L/B/S)U template;Klein-Hulststraat;60;
SINT-NIKLAAS - FH02;3500097;2;BL0209;3500097;BL0209;BUILDING template;Klein-Hulststraat;61;
SINT-NIKLAAS - FH02;2120499;2;BL0209;3500097;BL0209;(L/B/S)U template;Klein-Hulststraat;61;
SINT-NIKLAAS - FH02;4449077;1;BL0205;4449077;BL0205;BUILDING template;Klein-Hulststraat;62;
SINT-NIKLAAS - FH02;2120705;1;BL0205;4449077;BL0205;(L/B/S)U template;Klein-Hulststraat;62;
SINT-NIKLAAS - FH02;2120706;1;BL0205;4449077;BL0205;(L/B/S)U template;Klein-Hulststraat;62;
SINT-NIKLAAS - FH02;3500098;2;BL0209;3500098;BL0209;BUILDING template;Klein-Hulststraat;63;
SINT-NIKLAAS - FH02;2120965;2;BL0209;3500098;BL0209;(L/B/S)U template;Klein-Hulststraat;63;
SINT-NIKLAAS - FH02;3500099;1;BL0205;3500099;BL0205;BUILDING template;Klein-Hulststraat;64;
SINT-NIKLAAS - FH02;10643670;1;BL0205;3500099;BL0205;(L/B/S)U template;Klein-Hulststraat;64;
SINT-NIKLAAS - FH02;3500100;2;BL0209;3500100;BL0209;BUILDING template;Klein-Hulststraat;65;
SINT-NIKLAAS - FH02;2121400;2;BL0209;3500100;BL0209;(L/B/S)U template;Klein-Hulststraat;65;
