Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH11;2060991;;BL1116;2060991;BUILDING template;;Vlaamsekaai;45;
ANTWERPEN-WEST - FH11;2061002;;BL1117;2061002;BUILDING template;;Vlaamsekaai;55;
ANTWERPEN-WEST - FH11;2061003;;BL1117;2061003;BUILDING template;;Vlaamsekaai;56;
ANTWERPEN-WEST - FH11;2061006;;BL1117;2061006;BUILDING template;;Vlaamsekaai;59;
ANTWERPEN-WEST - FH11;2061020;;BL1118;2061020;BUILDING template;;Vlaamsekaai;82;
ANTWERPEN-WEST - FH11;2061802;;BL1113;2061802;BUILDING template;;Vorstermanstraat;12;
ANTWERPEN-WEST - FH11;2062524;;BL1111;2062524;BUILDING template;Waalsekaai 2-3-4-5;Waalsekaai;5;
ANTWERPEN-WEST - FH11;2062532;;BL1110;2062532;BUILDING template;;Waalsekaai;15;
ANTWERPEN-WEST - FH11;2062538;;BL1108;2062538;BUILDING template;;Waalsekaai;26;
ANTWERPEN-WEST - FH11;2062550;;BL1102;2062550;BUILDING template;Waalse Kaai 54-55;Waalsekaai;55;
ANTWERPEN-WEST - FH11;2062830;;BL1114;2062830;BUILDING template;;Leopold de Waelplaats;12;
ANTWERPEN-WEST - FH11;2062836;;BL1115;2062836;BUILDING template;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;Leopold de Waelplaats;30;
ANTWERPEN-WEST - FH11;33410;;BL1113;33410;BUILDING template;;Verlatstraat;15;
ANTWERPEN-WEST - FH11;3926668;;BL1104;3926668;BUILDING template;;De Gerlachekaai;14;
ANTWERPEN-WEST - FH11;3928365;;BL1102;3928365;BUILDING template;;Schalienstraat;14;
ANTWERPEN-WEST - FH11;4054053;;BL1115;4054053;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;12;D
ANTWERPEN-WEST - FH11;4268511;;BL1105;4268511;BUILDING template;;Waalsekaai;42;A
ANTWERPEN-WEST - FH11;4516842;;BL1110;4516842;BUILDING template;;Cockerillkaai;8;
ANTWERPEN-WEST - FH11;4516998;;BL1112;4516998;BUILDING template;;Vlaamsekaai;4;
ANTWERPEN-WEST - FH11;4517008;;BL1113;4517008;BUILDING template;;Vlaamsekaai;21;
ANTWERPEN-WEST - FH11;4517018;;BL1113;4517018;BUILDING template;;Verlatstraat;9;
ANTWERPEN-WEST - FH11;4517213;;BL1119;4517213;BUILDING template;;Gijzelaarsstraat;80;
ANTWERPEN-WEST - FH11;4518060;;BL1115;4518060;BUILDING template;;Vlaamsekaai;37;
ANTWERPEN-WEST - FH11;4518174;;BL1118;4518174;BUILDING template;;Gijzelaarsstraat;50;
ANTWERPEN-WEST - FH11;4518834;;BL1116;4518834;BUILDING template;;Pourbusstraat;11;
ANTWERPEN-WEST - FH11;4520325;;BL1102;4520325;BUILDING template;;Namenstraat;15;
ANTWERPEN-WEST - FH11;4520331;;BL1102;4520331;BUILDING template;Schalienstraat 30-32-34;Schalienstraat;34;
ANTWERPEN-WEST - FH11;5303336;;BL1112;5303336;BUILDING template;;Vorstermanstraat;5;A
ANTWERPEN-WEST - FH11;5473543;;BL1115;5473543;BUILDING template;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;Leopold de Waelplaats;26;A
ANTWERPEN-WEST - FH11;5576299;;BL1101;5576299;BUILDING template;Van Der Sweepstraat 3-5-7;Van der Sweepstraat;7;
ANTWERPEN-WEST - FH11;5576377;;BL1118;5576377;BUILDING template;;Vlaamsekaai;83;
ANTWERPEN-WEST - FH11;5824909;;BL1116;5824909;BUILDING template;Pourbusstraat 33_Verschaningstraat 20;Pourbusstraat;33;
ANTWERPEN-WEST - FH11;6068451;;BL1104;6068451;BUILDING template;;Waalsekaai;45;A
ANTWERPEN-WEST - FH11;6399823;;BL1109;6399823;BUILDING template;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Cockerillkaai;24;
ANTWERPEN-WEST - FH11;6483421;;BL1119;6483421;BUILDING template;;Jan van Gentstraat;25;
ANTWERPEN-WEST - FH11;6518705;;BL1111;6518705;BUILDING template;;Timmerwerfstraat;29;A
ANTWERPEN-WEST - FH11;6524938;;BL1113;6524938;BUILDING template;Verlatstraat 23-25;Verlatstraat;25;
ANTWERPEN-WEST - FH11;6582697;;BL1105;6582697;BUILDING template;;Visserskaai;10;A
ANTWERPEN-WEST - FH11;6626034;;BL1110;6626034;BUILDING template;;Waalsekaai;19;A
ANTWERPEN-WEST - FH11;6667252;;BL1109;6667252;BUILDING template;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Cockerillkaai;20;
ANTWERPEN-WEST - FH11;968547;;BL1102;968547;BUILDING template;;Namenstraat;19;
ANTWERPEN-WEST - FH11;968689;;BL1108;968689;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;31;
ANTWERPEN-WEST - FH11;968690;;BL1106;968690;BUILDING template;Cockerillkaai 39_Waalsekaai 35A;Cockerillkaai;39;
ANTWERPEN-WEST - FH11;968813;;BL1122;968813;BUILDING template;Van Der Sweepstraat 12-14;Van der Sweepstraat;14;
ANTWERPEN-WEST - FH11;969129;;BL1115;969129;BUILDING template;;Vlaamsekaai;41;
ANTWERPEN-WEST - FH11;969133;;BL1115;969133;BUILDING template;Leopold de Waelplaats 20-22-24A-26;Leopold de Waelplaats;26;
ANTWERPEN-WEST - FH11;970501;;BL1114;970501;BUILDING template;;Verlatstraat;18;
ANTWERPEN-WEST - FH11;970512;;BL1114;970512;BUILDING template;Vlaamsekaai 28-29-29A-30-31;Vlaamsekaai;31;
ANTWERPEN-WEST - FH11;970513;;BL1114;970513;BUILDING template;;Museumstraat;45;
ANTWERPEN-WEST - FH11;970873;;BL1110;970873;BUILDING template;;Timmerwerfstraat;40;
ANTWERPEN-WEST - FH11;970914;;BL1109;970914;BUILDING template;;Cockerillkaai;16;
ANTWERPEN-WEST - FH11;970916;;BL1111;970916;BUILDING template;;Cockerillkaai;6;
ANTWERPEN-WEST - FH11;970928;;BL1110;970928;BUILDING template;;Waalsekaai;14;
ANTWERPEN-WEST - FH11;971051;;BL1110;971051;BUILDING template;;Timmerwerfstraat;12;
ANTWERPEN-WEST - FH11;971228;;BL1110;971228;BUILDING template;;Waalsekaai;17;
ANTWERPEN-WEST - FH11;971238;;BL1109;971238;BUILDING template;Cockerillkaai 20-23-24_Leuvenstraat 32_Wapenstraat 1;Leuvenstraat;32;
ANTWERPEN-WEST - FH11;971795;;BL1113;971795;BUILDING template;;Vorstermanstraat;2;
ANTWERPEN-WEST - FH11;977615;;BL1118;977615;BUILDING template;;Pacificatiestraat;7;
ANTWERPEN-WEST - FH11;977803;;BL1117;977803;BUILDING template;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Verschansingstraat;56;
ANTWERPEN-WEST - FH11;977819;;BL1117;977819;BUILDING template;;Vlaamsekaai;57;
ANTWERPEN-WEST - FH11;977823;;BL1116;977823;BUILDING template;;De Burburestraat;2;
ANTWERPEN-WEST - FH11;977829;;BL1116;977829;BUILDING template;;Leopold de Waelplaats;34;
ANTWERPEN-WEST - FH11;6667493;;BL1116;6667493;BUILDING template;;De Burburestraat;14;A
ANTWERPEN-WEST - FH11;2045447;;BL1116;2045447;BUILDING template;;Pourbusstraat;5;
ANTWERPEN-WEST - FH11;6724053;;BL1116;6724053;BUILDING template;Verschansingstraat 16-16A;Verschansingstraat;16;A
ANTWERPEN-WEST - FH11;2062545;;BL1107;2062545;BUILDING template;;Waalsekaai;34;
ANTWERPEN-WEST - FH11;5552742;;BL1105;5552742;BUILDING template;;Waalsekaai;39;
ANTWERPEN-WEST - FH11;1292787;;BL1103;1292787;BUILDING template;Schalienstraat 1-3-5_Verviersstraat 2-4;Verviersstraat;4;
ANTWERPEN-WEST - FH11;2050229;;BL1103;2050229;BUILDING template;Schalienstraat 1-3-5_Verviersstraat 2-4;Schalienstraat;5;
ANTWERPEN-WEST - FH11;2060369;;BL1104;2060369;BUILDING template;;Verviersstraat;17;
ANTWERPEN-WEST - FH11;6723747;;BL1104;6723747;BUILDING template;;Lakenstraat;14;
ANTWERPEN-WEST - FH11;6723748;;BL1110;6723748;BUILDING template;Leuvenstraat 1-3-5-7-9;Leuvenstraat;5;
ANTWERPEN-WEST - FH11;1800132;;BL1110;1800132;BUILDING template;;Cockerillkaai;14;
ANTWERPEN-WEST - FH11;1800106;;BL1110;1800106;BUILDING template;;Cockerillkaai;12;
ANTWERPEN-WEST - FH11;968666;;BL1108;968666;BUILDING template;;Waalsekaai;24;
ANTWERPEN-WEST - FH11;6344035;;BL1115;6344035;BUILDING template;Museumstraat 18-20;Museumstraat;20;
ANTWERPEN-WEST - FH11;2061027;;BL1121;2061027;BUILDING template;;Vlaamsekaai;93;
ANTWERPEN-WEST - FH11;2038508;;BL1118;2038508;BUILDING template;;Pacificatiestraat;11;B
ANTWERPEN-WEST - FH11;2050508;;BL1111;2050508;BUILDING template;;Scheldestraat;24;
ANTWERPEN-WEST - FH11;970505;;BL1114;970505;BUILDING template;;Verlatstraat;8;
ANTWERPEN-WEST - FH11;4519468;;BL1108;4519468;BUILDING template;;Wapenstraat;14;
ANTWERPEN-WEST - FH11;6724044;;BL1106;6724044;BUILDING template;Cockerillkaai 39_Waalsekaai 35A;Waalsekaai;35;A
ANTWERPEN-WEST - FH11;977214;;BL1119;977214;BUILDING template;;Bolivarplaats;20;
