Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH06;BL0604;2757687;Zeedijk-Albertstrand;519;;;74139;227181;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765240;Paul Parmentierlaan;188;;;74596,55;227194,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2757689;Zeedijk-Albertstrand;522;;;74147;227187;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765247;Paul Parmentierlaan;190;;;74612,03;227198,63;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2757690;Zeedijk-Albertstrand;523;;;74154;227192;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765254;Paul Parmentierlaan;192;;;74597,55;227205,17;MDU;;4;0;0;4;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757705;Zeedijk-Albertstrand;537;;;74279;227257;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765258;Paul Parmentierlaan;194;;;74597,55;227211,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757707;Zeedijk-Albertstrand;539;;;74285;227259;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765261;Paul Parmentierlaan;196;;;74598,55;227218,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757709;Zeedijk-Albertstrand;540;;;74291;227262;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765263;Paul Parmentierlaan;198;;;74598,549;227225,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757710;Zeedijk-Albertstrand;541;;;74296;227262;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765268;Paul Parmentierlaan;200;;;74599,549;227232,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757711;Zeedijk-Albertstrand;542;;;74298;227265;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765271;Paul Parmentierlaan;202;;;74600,549;227241,17;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757712;Zeedijk-Albertstrand;543;;;74304;227269;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2765275;Paul Parmentierlaan;206;;;74600,549;227250,17;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757713;Zeedijk-Albertstrand;544;;;74309;227269;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765277;Paul Parmentierlaan;209;;;74567,55;227162,17;MDU;;14;0;0;14;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757714;Zeedijk-Albertstrand;545;;;74312;227275;MDU;;23;0;0;23;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765279;Paul Parmentierlaan;212;;;74605,549;227310,17;MDU;;12;0;0;12;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757715;Zeedijk-Albertstrand;546;;;74319;227283;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
