Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH03;BL0332;1456582;Lippenslaan;347;;;74764,548;227433,171;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763344;Lippenslaan;315;;;74752,549;227315,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319361;Jozef Nellenslaan;162;;;74379,55;227217,168;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;1469482;Leopoldlaan;162;;;74718,877;227509,18;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763346;Lippenslaan;316;;;74790,548;227387,171;MDU;;6;1;0;7;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0302;320090;Meerlaan;40;;;74023,806;226513,016;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;1469879;Lippenslaan;207;;;74712,551;226977,171;MDU;;13;1;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763347;Lippenslaan;317;;;74752,549;227321,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0302;320094;Maxim Willemspad;1;;;74118,636;226532,155;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;1473040;Bayauxlaan;67;;;74244,552;227014,167;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763348;Lippenslaan;318;;;74791,548;227393,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0302;320095;Meerlaan;42;;;74004,84;226525,36;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;5579269;Bayauxlaan;1;;;74723,14;227100,8;MDU;;13;1;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0311;1474146;Meerlaan;56;;;73919,555;226653,165;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763349;Lippenslaan;319;;;74752,548;227327,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0302;320146;Lispannenlaan;39;;;74020,42;226541,13;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;1512550;Koningslaan;152;;;74497,552;226962,169;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763350;Lippenslaan;320;;;74792,548;227400,171;MDU;;11;1;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0301;320148;Lispannenlaan;10;;;73992,6;226604,38;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;5579270;Bayauxlaan;2;;;74718,55;227122,171;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2271921;Koningslaan;192;;;74507,551;227107,169;MDU;;16;0;0;16;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763351;Lippenslaan;321;;;74753,548;227333,171;MDU;;9;2;0;11;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0301;320150;Lispannenlaan;14;;;73993,64;226564,87;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;5579272;Bayauxlaan;17;;;74670,55;227101,17;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2690586;Lippenslaan;281;;;74738,55;227188,171;MDU;;0;3;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763356;Lippenslaan;324;;;74792,548;227407,171;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0301;320226;Meerlaan;44;;;73976,75;226557,51;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;5579273;Bayauxlaan;37;;;74558,682;227119,185;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;2757964;Bayauxlaan;5;;;74697,3;227097,511;MDU;;8;1;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763357;Lippenslaan;325;;;74754,126;227336,234;MDU;;0;3;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0301;320229;Meerlaan;46;;;73966,17;226578,64;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;5579274;Bayauxlaan;40;;;74429,55;227132,168;MDU;;29;0;0;29;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2757967;Bayauxlaan;6;;;74688,55;227123,171;MDU;;9;1;0;10;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763362;Lippenslaan;329;;;74755,548;227353,171;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0302;320252;Lispannenlaan;37;;;74026,504;226587,6;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;5579275;Bayauxlaan;77;;;74169,552;226983,167;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2757968;Bayauxlaan;8;;;74678,01;227128,57;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763363;Lippenslaan;330;;;74803,13;227418,52;MDU;;0;3;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0302;320254;Lispannenlaan;33;;;74056,66;226597,05;MDU;;8;0;0;8;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;5579295;Van Bunnenplein;29;;;74821,547;227514,171;MDU;;15;0;0;15;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;2757971;Bayauxlaan;11;;;74688,44;227104,58;MDU;;17;2;0;19;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763364;Lippenslaan;331;;;74756,548;227358,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0301;320256;Zegemeerpad;1;;;73980,28;226603,79;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;5579307;Burg. Frans Desmidtplein;13;;;74755,552;226892,171;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;2757975;Bayauxlaan;15;;;74678,55;227104,17;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763368;Lippenslaan;333;;;74756,548;227364,171;MDU;;0;3;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;320283;Bayauxlaan;64;;;74203,81;227041,77;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0307;5579358;Elizabetlaan;136;;;74399,63;226855,35;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;2757981;Bayauxlaan;27;;;74617,31;227099,18;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
