Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
KNOKKE-HEIST - FH04;BL0408;2767969;Zeedijk-Het Zoute;727;;;75340,81;227779,095;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;335752;Antoine Breartstraat;18;;;75314,972;227768,481;MDU;;22;0;1;23;N;ORN;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767970;Zeedijk-Het Zoute;728;;;75345,863;227779,315;SDU;;0;1;0;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;335753;Antoine Breartstraat;6;;;75339,08;227735,6;MDU;;5;1;2;8;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767974;Zeedijk-Het Zoute;730;;;75350,784;227778,792;MDU;;8;0;1;9;Y;NA;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337097;Zeedijk-Knokke;673;;;75034,819;227690,624;SDU;;0;1;0;1;Y;NA;8;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767976;Zeedijk-Het Zoute;731;;;75353,567;227779,142;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337098;Zeedijk-Knokke;685;;;75088,388;227707,12;MDU;;14;2;0;16;Y;NA;4;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767977;Zeedijk-Het Zoute;732;;;75357,059;227779,445;SDU;;0;1;0;1;Y;NA;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337099;Zeedijk-Knokke;687;;;75097,66;227709,649;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767979;Zeedijk-Het Zoute;733;;;75362,09;227779,953;MDU;;16;0;1;17;Y;NA;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337100;Zeedijk-Knokke;678;;;75057,846;227696,65;MDU;;14;0;0;14;Y;NA;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767987;Zeedijk-Het Zoute;736;;;75371,459;227781,06;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-8300753ff1373;Zeedijk-Het Zoute;753;;;75535,0;227809,0;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337101;Zeedijk-Knokke;680;;;75072,5;227701,788;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2767996;Zeedijk-Het Zoute;742;;;75412,805;227784,383;MDU;;12;0;1;13;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337102;Kustlaan;39;;;75116;227633;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2768001;Zeedijk-Het Zoute;744;;;75423,858;227786,478;SDU;;0;1;0;1;Y;NA;8;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-83007586fb030;Zeedijk-Het Zoute;758;;;75562,1725;227815,4514;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337103;Kustlaan;23;;;75068,469;227616,179;SDU;;0;1;0;1;Y;NA;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2768002;Zeedijk-Het Zoute;746;;;75435,19;227788,43;SDU;;0;1;0;1;Y;NA;8;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-830021ed6f19;Kustlaan;21;;;75658,0;227792,0;SDU;;0;1;0;1;N;ORN;5;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337107;Swolfsstraat;2;;;75099,942;227704,005;MDU;;7;1;0;8;N;IRREG;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0410;2768013;Zeedijk-Het Zoute;756;;;75554;227815;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
