Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH10;BL1039;295445;Meeuwendreef;11;;;72763,401;226311,264;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2758991;Zeedijk-Duinbergen;309;;;72454;226578;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1017;2764251;Jozef Nellenslaan;30;;;73241,555;226712,16;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295447;Meeuwendreef;16;;;72759,38;226386,82;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2758994;Zeedijk-Duinbergen;317;;;72508;226618;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1016;2764253;Jozef Nellenslaan;37;;;73236,174;226740,064;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295449;Duinendreef;42;;;72841,85;226398,79;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;2759004;Zeedijk-Duinbergen;327;;;72548;226634;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;2764707;Oudjespad;4;;;72817,06;226379,12;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295451;Duinendreef;24;;;72749,558;226415,156;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;2759008;Zeedijk-Duinbergen;330;;;72565;226641;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1009;2765417;Patriottenstraat;19;;;72497,257;226543,123;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1028;295452;Duinendreef;22;;;72716,004;226429,14;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759016;Zeedijk-Duinbergen;389;;;72776;226729;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;2765421;Patriottenstraat;30;;;72570,638;226597,155;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1028;295453;Duinendreef;18;;;72685,62;226433,261;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759030;Zeedijk-Duinbergen;402;;;72816;226747;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;2765422;Patriottenstraat;32;;;72562,477;226595,613;MDU;;13;2;0;15;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;295454;Duinendreef;16;;;72665,146;226436,552;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759032;Zeedijk-Duinbergen;403;;;72824;226751;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765426;Patriottenstraat;40;;;72524,542;226580,312;MDU;;20;0;0;20;Y;NA;4;;;;;BUILDING template;;
