Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;40;;152091,5784;211762,6478;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;2;;151952,109;211620,3189;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;12;;152001,5035;211652,0918;MDU;D;2;1;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;67;;151826,3982;211733,1955;SDU;D;0;1;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Gierstraat;7;;152161,1906;212049,6839;MDU;XC;4;1;1;6;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;42;;152095,6456;211761,2107;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;4;;151955,1219;211615,9925;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;14;;152003,1705;211646,3922;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Gierstraat;9;;152166,5902;212049,3194;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;6;;151961,4973;211615,3787;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;16;;152005,9991;211642,0854;MDU;D;4;0;0;4;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Korte Vlierstraat;17;;151876;211704;SDU;;0;1;0;1;Y;NA;2;BUILDING template
