LAM MK;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor
3494203;1;2104271;;LU;1;;;;
3494206;1;2104329;;LU;1;;;;
3494209;1;2104413;;LU;1;;;;
3494211;1;2104895;;BU;1;;;;
3494215;1;2104950;;BU;1;;;;
3494221;1;2105125;;LU;1;;;;
3494224;1;2106089;;LU;1;;;;
3494228;1;2106149;;BU;1;;;;
3494228;2;11093962;;SU;1;;;;
3494238;1;2106236;;LU;1;;;;
3494238;2;11194586;;SU;1;;;;
3494241;1;2106280;;LU;1;;;;
3494245;1;2106746;;LU;1;;;;
3494247;1;2106785;;LU;1;;;;
3494251;1;2106889;;LU;1;;;;
3494255;1;2106924;;BU;1;;;;
3494260;1;2107396;;BU;1;;;;
3494262;1;2107827;;LU;1;;;;
3494262;2;11194587;;SU;1;;;;
3494265;1;2107861;;LU;1;;;;
3494268;1;2107902;;LU;1;;;;
3494271;3;2107932;;BU;1;;;;
3494273;1;2107969;;LU;1;;;;
3494278;1;2108350;;BU;1;;;;
3494278;2;11093963;;SU;1;;;;
3494282;2;11093087;;LU;1;;;;
3494282;3;11093088;;SU;1;;;;
3494303;1;2103864;;LU;1;;;;
3494306;1;2106607;;BU;1;;;;
3494309;1;2108618;;BU;1;;;;
3494312;1;2109527;;BU;1;;;;
3494316;1;2110255;;LU;1;;;;
3494321;1;2112537;;LU;1;;;;
3494321;2;11093996;;BU;1;;;;
3494325;1;2114671;;SU;1;;;;
3494325;2;2114682;;SU;1;;;;
3494325;3;2114696;;BU;1;;;;
3494325;4;11194413;;LU;1;;;;
3494325;5;11194414;;LU;1;;;;
3494327;1;2115368;;LU;1;;;;
