OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
8099,"LEUVEN - FH03","(L/B/S)U template",1917902,,Bondgenotenlaan,41,,,,BU,
8105,"LEUVEN - FH03","(L/B/S)U template",10523830,,Bondgenotenlaan,43,,,,BU,
8111,"LEUVEN - FH03","(L/B/S)U template",1920370,,Bondgenotenlaan,47,,,,BU,
8116,"LEUVEN - FH03","(L/B/S)U template",1921079,,Bondgenotenlaan,49,,,,BU,
8117,"LEUVEN - FH03","(L/B/S)U template",1921080,,Bondgenotenlaan,49,,,,LU,
8118,"LEUVEN - FH03","(L/B/S)U template",1921081,,Bondgenotenlaan,49,,,,LU,
8128,"LEUVEN - FH03","(L/B/S)U template",1924996,,Bondgenotenlaan,55,,,,BU,
8132,"LEUVEN - FH03","(L/B/S)U template",1925519,,Bondgenotenlaan,57,,,,LU,
8133,"LEUVEN - FH03","(L/B/S)U template",1925523,,Bondgenotenlaan,57,,,,LU,
8134,"LEUVEN - FH03","(L/B/S)U template",1925524,,Bondgenotenlaan,57,,,,LU,
8135,"LEUVEN - FH03","(L/B/S)U template",1925525,,Bondgenotenlaan,57,,,,LU,
8136,"LEUVEN - FH03","(L/B/S)U template",1925526,,Bondgenotenlaan,57,,,,LU,
8137,"LEUVEN - FH03","(L/B/S)U template",1925556,,Bondgenotenlaan,57,,,,BU,
8138,"LEUVEN - FH03","(L/B/S)U template",10916964,,Bondgenotenlaan,57,,,,SU,
8139,"LEUVEN - FH03","(L/B/S)U template",10522883,,Bondgenotenlaan,59,,,,BU,
8144,"LEUVEN - FH03","(L/B/S)U template",1925360,,Diestsestraat,56,,,,BU,
8145,"LEUVEN - FH03","(L/B/S)U template",1925819,,Diestsestraat,58,,,,BU,
8146,"LEUVEN - FH03","(L/B/S)U template",1927724,,Diestsestraat,60,,,,BU,
8147,"LEUVEN - FH03","(L/B/S)U template",1928339,,Diestsestraat,62,,,,BU,
8148,"LEUVEN - FH03","(L/B/S)U template",1929028,,Diestsestraat,64,,,,BU,
8149,"LEUVEN - FH03","(L/B/S)U template",1929029,,Diestsestraat,64,,,,LU,
8150,"LEUVEN - FH03","(L/B/S)U template",1929030,,Diestsestraat,64,,,,LU,
8151,"LEUVEN - FH03","(L/B/S)U template",1929031,,Diestsestraat,64,,,,LU,
8152,"LEUVEN - FH03","(L/B/S)U template",1929032,,Diestsestraat,64,,,,LU,
8153,"LEUVEN - FH03","(L/B/S)U template",1929033,,Diestsestraat,64,,,,LU,
8154,"LEUVEN - FH03","(L/B/S)U template",1929034,,Diestsestraat,64,,,,LU,
8155,"LEUVEN - FH03","(L/B/S)U template",1929035,,Diestsestraat,64,,,,LU,
8159,"LEUVEN - FH03","(L/B/S)U template",1929514,,Diestsestraat,66,,,,BU,
8160,"LEUVEN - FH03","(L/B/S)U template",1929955,,Diestsestraat,68,,,,LU,
8161,"LEUVEN - FH03","(L/B/S)U template",1929956,,Diestsestraat,68,,,,LU,
8162,"LEUVEN - FH03","(L/B/S)U template",1929957,,Diestsestraat,68,,,,LU,
