Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
UCCLE - FH07;NO BLOCKS;1014208;;;308774;1014208;;;;Groeselenbergstraat - Rue Groeselenberg;182;;;;;Christophe Panis;MDU;0;3;0;3;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014208;;;308774;1014208;;;;Groeselenbergstraat - Rue Groeselenberg;182;;;;;Christophe Panis;MDU;0;3;0;3;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014209;;;308775;1014209;;;;Groeselenbergstraat - Rue Groeselenberg;184;;;;;Naomi De Cock;MDU;0;6;0;6;;;;;Y;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014209;;;308775;1014209;;;;Groeselenbergstraat - Rue Groeselenberg;184;;;;;Naomi De Cock;MDU;0;6;0;6;;;;;Y;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014210;;;308776;1014210;37526247;Groeselenbergstraat 48 & 50 & 52 & 54;;Groeselenbergstraat - Rue Groeselenberg;54;;;;;Naomi De Cock;MDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014210;;;308776;1014210;37526247;Groeselenbergstraat 48 & 50 & 52 & 54;;Groeselenbergstraat - Rue Groeselenberg;54;;;;;Naomi De Cock;MDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014212;;;308777;1014212;;;;Riddershofstedelaan - Avenue du Manoir;3;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014212;;;308777;1014212;;;;Riddershofstedelaan - Avenue du Manoir;3;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO BLOCKS;1014213;;;308778;1014213;;;;Riddershofstedelaan - Avenue du Manoir;10;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
UCCLE - FH07;NO CLUSTERS;1014213;;;308778;1014213;;;;Riddershofstedelaan - Avenue du Manoir;10;;;;;Naomi De Cock;SDU;0;1;0;1;;;;;N;;BUILDING template
