"OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,""Opdrachtnummer extern"",""BUILDING KEY"",Straat,Huisnummer,""Huisnummer Toevoeging"",""SSV Action"",""SSV Action LU"",Nature,""Building exists"""
"51007,""HASSELT - FH02"",""BUILDING template"",2438622,,2438622,Schrijnwerkersstraat,18,,,,,"
"51008,""HASSELT - FH02"",""BUILDING template"",70216,,70216,Schrijnwerkersstraat,20,,,,,"
"51009,""HASSELT - FH02"",""BUILDING template"",70305,,70305,Demerstraat,14,,,,,"
"51010,""HASSELT - FH02"",""BUILDING template"",2412632,,2412632,Demerstraat,16,,,,,"
"51011,""HASSELT - FH02"",""BUILDING template"",2412640,,2412640,Demerstraat,18,,,,,"
"51012,""HASSELT - FH02"",""BUILDING template"",2412643,,2412643,Demerstraat,20,,,,,"
"51013,""HASSELT - FH02"",""BUILDING template"",2412645,,2412645,Demerstraat,24,,,,,"
"51014,""HASSELT - FH02"",""BUILDING template"",2412646,,2412646,Demerstraat,26,,,,,"
"51015,""HASSELT - FH02"",""BUILDING template"",70309,,70309,Demerstraat,28,,,,,"
"51016,""HASSELT - FH02"",""BUILDING template"",70310,,70310,Demerstraat,30,,,,,"
"51017,""HASSELT - FH02"",""BUILDING template"",5593835,,5593835,Demerstraat,22,A,,,,"
"51018,""HASSELT - FH02"",""BUILDING template"",2412644,,2412644,Demerstraat,22,B,,,,"
"51019,""HASSELT - FH02"",""BUILDING template"",4846915,,4846915,Minderbroedersstraat,4,,,,,"
"51020,""HASSELT - FH02"",""BUILDING template"",2429603,,2429603,Minderbroedersstraat,6,,,,,"
"51021,""HASSELT - FH02"",""BUILDING template"",2429606,,2429606,Minderbroedersstraat,8,,,,,"
"51022,""HASSELT - FH02"",""BUILDING template"",2429612,,2429612,Minderbroedersstraat,10,,,,,"
"51023,""HASSELT - FH02"",""BUILDING template"",2429616,,2429616,Minderbroedersstraat,12,,,,,"
"51024,""HASSELT - FH02"",""BUILDING template"",3937554,,3937554,Minderbroedersstraat,16,,,,,"
"51025,""HASSELT - FH02"",""BUILDING template"",4846917,,4846917,Minderbroedersstraat,18,,,,,"
"51026,""HASSELT - FH02"",""BUILDING template"",2429623,,2429623,Minderbroedersstraat,20,,,,,"
"51027,""HASSELT - FH02"",""BUILDING template"",2429625,,2429625,Minderbroedersstraat,22,,,,,"
"51028,""HASSELT - FH02"",""BUILDING template"",4846922,,4846922,Minderbroedersstraat,24,,,,,"
"51029,""HASSELT - FH02"",""BUILDING template"",4846923,,4846923,Minderbroedersstraat,26,,,,,"
"51030,""HASSELT - FH02"",""BUILDING template"",3937555,,3937555,Minderbroedersstraat,28,,,,,"
"51031,""HASSELT - FH02"",""BUILDING template"",2429642,,2429642,Minderbroedersstraat,32,,,,,"
"51032,""HASSELT - FH02"",""BUILDING template"",2429645,,2429645,Minderbroedersstraat,34,,,,,"
"51033,""HASSELT - FH02"",""BUILDING template"",2429646,,2429646,Minderbroedersstraat,38,,,,,"
"51034,""HASSELT - FH02"",""BUILDING template"",2429647,,2429647,Minderbroedersstraat,40,,,,,"
"51035,""HASSELT - FH02"",""BUILDING template"",2429648,,2429648,Minderbroedersstraat,42,,,,,"
"51036,""HASSELT - FH02"",""BUILDING template"",70323,,70323,Minderbroedersstraat,44,,,,,"
"51037,""HASSELT - FH02"",""BUILDING template"",2438614,,2438614,Schrijnwerkersstraat,9,,,,,"
"51038,""HASSELT - FH02"",""BUILDING template"",4846894,,4846894,Schrijnwerkersstraat,11,,,,,"
"51039,""HASSELT - FH02"",""BUILDING template"",2438618,,2438618,Schrijnwerkersstraat,13,,,,,"
"51040,""HASSELT - FH02"",""BUILDING template"",2438619,,2438619,Schrijnwerkersstraat,15,,,,,"
"51041,""HASSELT - FH02"",""BUILDING template"",2438621,,2438621,Schrijnwerkersstraat,17,,,,,"
"51042,""HASSELT - FH02"",""BUILDING template"",2438623,,2438623,Schrijnwerkersstraat,19,,,,,"
"51043,""HASSELT - FH02"",""BUILDING template"",70215,,70215,Schrijnwerkersstraat,21,,,,,"
"51044,""HASSELT - FH02"",""BUILDING template"",69195,,69195,Walputstraat,1,,,,,"
"51045,""HASSELT - FH02"",""BUILDING template"",69194,,69194,Walputstraat,3,,,,,"
"51046,""HASSELT - FH02"",""BUILDING template"",2446666,,2446666,Walputstraat,5,,,,,"
"51047,""HASSELT - FH02"",""BUILDING template"",69193,,69193,Walputstraat,7,,,,,"
"51048,""HASSELT - FH02"",""BUILDING template"",2446669,,2446669,Walputstraat,17,,,,,"
"51049,""HASSELT - FH02"",""BUILDING template"",69190,,69190,Walputstraat,19,,,,,"
"51050,""HASSELT - FH02"",""BUILDING template"",2446671,,2446671,Walputstraat,21,,,,,"
"51051,""HASSELT - FH02"",""BUILDING template"",2446672,,2446672,Walputstraat,23,,,,,"
"51052,""HASSELT - FH02"",""BUILDING template"",2446674,,2446674,Walputstraat,25,,,,,"
"51053,""HASSELT - FH02"",""BUILDING template"",2446677,,2446677,Walputstraat,27,,,,,"
"51054,""HASSELT - FH02"",""BUILDING template"",2446680,,2446680,Walputstraat,29,,,,,"
"51055,""HASSELT - FH02"",""BUILDING template"",3937712,,3937712,Walputstraat,31,,,,,"
"51056,""HASSELT - FH02"",""BUILDING template"",2446681,,2446681,Walputstraat,33,,,,,"
"51057,""HASSELT - FH02"",""BUILDING template"",69188,,69188,Walputstraat,37,,,,,"
"51058,""HASSELT - FH02"",""BUILDING template"",71865,,71865,Diesterstraat,1,,,,,"
"51059,""HASSELT - FH02"",""BUILDING template"",677179,,677179,Diesterstraat,3,,,,,"
"51060,""HASSELT - FH02"",""BUILDING template"",2413107,,2413107,Diesterstraat,5,,,,,"
"51061,""HASSELT - FH02"",""BUILDING template"",2413111,,2413111,Diesterstraat,7,,,,,"
"51062,""HASSELT - FH02"",""BUILDING template"",2413114,,2413114,Diesterstraat,9,,,,,"
"51063,""HASSELT - FH02"",""BUILDING template"",2413117,,2413117,Diesterstraat,11,,,,,"
"51064,""HASSELT - FH02"",""BUILDING template"",4857592,,4857592,Diesterstraat,13,,,,,"
"51065,""HASSELT - FH02"",""BUILDING template"",4857594,,4857594,Diesterstraat,15,,,,,"
"51066,""HASSELT - FH02"",""BUILDING template"",2413121,,2413121,Diesterstraat,17,,,,,"
"51067,""HASSELT - FH02"",""BUILDING template"",2413125,,2413125,Diesterstraat,19,,,,,"
"51068,""HASSELT - FH02"",""BUILDING template"",2413129,,2413129,Diesterstraat,21,,,,,"
"51069,""HASSELT - FH02"",""BUILDING template"",2413131,,2413131,Diesterstraat,23,,,,,"
"51070,""HASSELT - FH02"",""BUILDING template"",71846,,71846,""Dokter Willemsstraat"",2,,,,,"
"51071,""HASSELT - FH02"",""BUILDING template"",2447883,,2447883,""Dokter Willemsstraat"",4,,,,,"
"51072,""HASSELT - FH02"",""BUILDING template"",2447887,,2447887,""Dokter Willemsstraat"",6,,,,,"
"51073,""HASSELT - FH02"",""BUILDING template"",4857646,,4857646,""Dokter Willemsstraat"",8,,,,,"
"51074,""HASSELT - FH02"",""BUILDING template"",71845,,71845,""Dokter Willemsstraat"",10,,,,,"
"51075,""HASSELT - FH02"",""BUILDING template"",2447892,,2447892,""Dokter Willemsstraat"",12,,,,,"
"51076,""HASSELT - FH02"",""BUILDING template"",2447897,,2447897,""Dokter Willemsstraat"",14,,,,,"
"51077,""HASSELT - FH02"",""BUILDING template"",71844,,71844,""Dokter Willemsstraat"",16,,,,,"
"51078,""HASSELT - FH02"",""BUILDING template"",4857668,,4857668,""Dokter Willemsstraat"",18,,,,,"
"51079,""HASSELT - FH02"",""BUILDING template"",1238445,,1238445,""Dokter Willemsstraat"",22,,,,,"
"51080,""HASSELT - FH02"",""BUILDING template"",1313583,,1313583,""Dokter Willemsstraat"",24,,,,,"
"51081,""HASSELT - FH02"",""BUILDING template"",2447910,,2447910,""Dokter Willemsstraat"",26,,,,,"
"51082,""HASSELT - FH02"",""BUILDING template"",2447913,,2447913,""Dokter Willemsstraat"",28,,,,,"
"51083,""HASSELT - FH02"",""BUILDING template"",2447917,,2447917,""Dokter Willemsstraat"",30,,,,,"
"51084,""HASSELT - FH02"",""BUILDING template"",4857583,,4857583,""Dokter Willemsstraat"",32,,,,,"
"51085,""HASSELT - FH02"",""BUILDING template"",70238,,70238,""Dokter Willemsstraat"",34,,,,,"
"51086,""HASSELT - FH02"",""BUILDING template"",70239,,70239,""Dokter Willemsstraat"",38,,,,,"
"51087,""HASSELT - FH02"",""BUILDING template"",2447925,,2447925,""Dokter Willemsstraat"",44,,,,,"
"51088,""HASSELT - FH02"",""BUILDING template"",2442178,,2442178,Thonissenlaan,1,,,,,"
"51089,""HASSELT - FH02"",""BUILDING template"",776341,,776341,Thonissenlaan,3,,,,,"
"51090,""HASSELT - FH02"",""BUILDING template"",4857613,,4857613,Thonissenlaan,5,,,,,"
"51490,""HASSELT - FH02"",""BUILDING template"",72404,,72404,Thonissenlaan,11,,,,,"
"51491,""HASSELT - FH02"",""BUILDING template"",72403,,72403,Thonissenlaan,13,,,,,"
"51492,""HASSELT - FH02"",""BUILDING template"",70255,,70255,Thonissenlaan,17,,,,,"
"51493,""HASSELT - FH02"",""BUILDING template"",71871,,71871,Thonissenlaan,19,,,,,"
"51494,""HASSELT - FH02"",""BUILDING template"",2442246,,2442246,Thonissenlaan,21,,,,,"
"51495,""HASSELT - FH02"",""BUILDING template"",5593934,,5593934,Thonissenlaan,23,,,,,"
"51496,""HASSELT - FH02"",""BUILDING template"",2442251,,2442251,Thonissenlaan,25,,,,,"
