OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
360489,"HASSELT - FH06","BUILDING template",4201663,,4201663,Harpstraat,12,,,,,Y
360490,"HASSELT - FH06","BUILDING template",2416860,,2416860,Harpstraat,14,,,,,Y
360491,"HASSELT - FH06","BUILDING template",2416861,,2416861,Harpstraat,16,,,,,Y
360492,"HASSELT - FH06","BUILDING template",2416862,,2416862,Harpstraat,18,,,,,Y
360493,"HASSELT - FH06","BUILDING template",3937352,,3937352,Harpstraat,20,,,,,Y
360494,"HASSELT - FH06","BUILDING template",2416864,,2416864,Harpstraat,22,,,,,Y
360495,"HASSELT - FH06","BUILDING template",2416866,,2416866,Harpstraat,24,,,,,Y
360496,"HASSELT - FH06","BUILDING template",2416867,,2416867,Harpstraat,26,,,,,Y
360497,"HASSELT - FH06","BUILDING template",2416868,,2416868,Harpstraat,28,,,,,Y
360498,"HASSELT - FH06","BUILDING template",666229,,666229,Harpstraat,30,,,,,Y
360499,"HASSELT - FH06","BUILDING template",1164596,,1164596,Helbeekplein,1,,,,,Y
360500,"HASSELT - FH06","BUILDING template",1326237,,1326237,Helbeekplein,2,,,,,Y
360501,"HASSELT - FH06","BUILDING template",78255,,78255,Helbeekplein,3,,,,,Y
360502,"HASSELT - FH06","BUILDING template",78256,,78256,Helbeekplein,4,,,,,Y
360503,"HASSELT - FH06","BUILDING template",78257,,78257,Helbeekplein,5,,,,,Y
360504,"HASSELT - FH06","BUILDING template",78258,,78258,Helbeekplein,6,,,,,Y
360505,"HASSELT - FH06","BUILDING template",78333,,78333,Helbeekplein,7,,,,,Y
360506,"HASSELT - FH06","BUILDING template",78334,,78334,Helbeekplein,8,,,,,Y
360507,"HASSELT - FH06","BUILDING template",3937371,,3937371,Helbeekplein,9,,,,,Y
360508,"HASSELT - FH06","BUILDING template",2417629,,2417629,Heldenplein,1,,,,,Y
360509,"HASSELT - FH06","BUILDING template",2417630,,2417630,Heldenplein,2,,,,,Y
360510,"HASSELT - FH06","BUILDING template",2417631,,2417631,Heldenplein,3,,,,,Y
360511,"HASSELT - FH06","BUILDING template",2417633,,2417633,Heldenplein,4,,,,,Y
360512,"HASSELT - FH06","BUILDING template",662555,,662555,Heldenplein,8,,,,,Y
360513,"HASSELT - FH06","BUILDING template",1274790,,1274790,Heldenplein,9,,,,,Y
