;ZONE_NAME;ZONING_TCHNLGY;MAINLAMKEY;POSTAL_CODE;CITY_NAME;STREET_NAME;HOUSE_NUMBER;DTP;FIC;FIS;FTS;OpdrachtID;Projectnummer;Opdrachtnummer;BG_Name;Blok;Straat;Huisnummer;Huisnummer_Toevoeging;Buildingtype;Quadrant;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;Opdrachttemplate
75849;W01-C-Charleroi-FH03;FTTH-Cu;461259;6000.0;Charleroi;Rue de Dampremy (Charleroi);44;;;1.0;;36714.0;CHARLEROI - FH03;461259;44/46;08;Rue de Dampremy;44;;SDU;D;1;;2;;BUILDING template
75850;W01-C-Charleroi-FH03;FTTH-Cu;461260;6000.0;Charleroi;Rue de Dampremy (Charleroi);81;;;1.0;;242107.0;CHARLEROI - FH03;461260;;02;Rue de Dampremy;81;;SDU;;1;;1;;BUILDING template
75852;W01-C-Charleroi-FH03;FTTH-Cu;461262;6000.0;Charleroi;Rue de Dampremy (Charleroi);43;;;1.0;;36583.0;CHARLEROI - FH03;461262;43 rue de dampremy;02;Rue de Dampremy;43;;SDU;;1;;1;;BUILDING template
75858;W01-C-Charleroi-FH03;FTTH-Cu;461270;6000.0;Charleroi;Rue de Dampremy (Charleroi);71;1.0;1.0;1.0;1.0;36595.0;CHARLEROI - FH03;461270;71/73/75;02;Rue de Dampremy;71;;SDU;C;1;;;;BUILDING template
75888;W01-C-Charleroi-FH03;FTTH-Cu;461715;6000.0;Charleroi;Rue de la Justice;2;;;1.0;;36857.0;CHARLEROI - FH03;461715;;12;Rue de la Justice;2;;SDU;;1;;2;;BUILDING template
75903;W01-C-Charleroi-FH03;FTTH-Cu;462175;6000.0;Charleroi;Boulevard Joseph Tirou;165;;;1.0;;36750.0;CHARLEROI - FH03;462175;165 boulevard tirou;09;Boulevard Joseph Tirou;165;;SDU;;1;;1;;BUILDING template
75913;W01-C-Charleroi-FH03;FTTH-Cu;463812;6000.0;Charleroi;Rue de la Montagne(Charleroi);1;;;1.0;;36817.0;CHARLEROI - FH03;463812;;10;Rue de la Montagne;1;;SDU;;1;;1;;BUILDING template
75914;W01-C-Charleroi-FH03;FTTH-Cu;463813;6000.0;Charleroi;Rue de Montigny;26;;;1.0;;36797.0;CHARLEROI - FH03;463813;26 rue de Montigny (D);10;Rue de Montigny;26;;SDU;;1;;1;;BUILDING template
75918;W01-C-Charleroi-FH03;FTTH-Cu;463820;6000.0;Charleroi;Rue de Montigny;23;;;1.0;;36759.0;CHARLEROI - FH03;463820;;09;Rue de Montigny;23;;SDU;;;1;1;;BUILDING template
75925;W01-C-Charleroi-FH03;FTTH-Cu;464198;6000.0;Charleroi;Rue du Pont Neuf(Charleroi);74;;;1.0;;36848.0;CHARLEROI - FH03;464198;74 rue du pont neuf;10;Rue du Pont Neuf;74;;SDU;;1;;1;;BUILDING template
