ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT
W03-D-MONS-FH06;0.0;0.0;177.0;905.0;1082.0;0.0;1732.0;0.0;0.0;;;;1082.0;100.0
W03-D-MONS-FH07;0.0;0.0;168.0;1087.0;1255.0;0.0;1883.0;0.0;0.0;;;;1255.0;100.0
W03-D-Mechelen-FH01;294.0;9.0;457.0;580.0;1037.0;64.33260393873084;2495.0;9.0;98.0;9.183673469387756;457.0;100.0;1025.0;98.84281581485052
W03-D-Mechelen-FH02;306.0;23.0;581.0;947.0;1528.0;52.667814113597245;3938.0;51.0;213.0;23.943661971830984;531.0;91.39414802065404;1481.0;96.92408376963351
W03-D-Mechelen-FH03;37.0;10.0;39.0;104.0;143.0;94.87179487179486;284.0;40.0;46.0;86.95652173913044;39.0;100.0;139.0;97.2027972027972
W03-D-Mons-FH01;0.0;0.0;342.0;432.0;774.0;0.0;1928.0;0.0;0.0;;;;774.0;100.0
W03-D-Mons-FH02;0.0;0.0;284.0;379.0;663.0;0.0;2045.0;0.0;0.0;;;;663.0;100.0
W03-D-Mons-FH03;0.0;0.0;268.0;282.0;550.0;0.0;1780.0;0.0;0.0;;;;550.0;100.0
W03-D-Mons-FH04;0.0;0.0;407.0;639.0;1046.0;0.0;2720.0;0.0;0.0;;;;1046.0;100.0
W03-D-Mons-FH05;0.0;0.0;489.0;479.0;968.0;0.0;3099.0;0.0;0.0;;;;968.0;100.0
W03-D-Sint-Niklaas-FH01;572.0;31.0;820.0;673.0;1493.0;69.7560975609756;2957.0;320.0;444.0;72.07207207207207;820.0;100.0;1471.0;98.5264567983925
W03-D-Sint-Niklaas-FH02;307.0;1.0;528.0;1044.0;1572.0;58.14393939393939;3066.0;33.0;152.0;21.710526315789476;528.0;100.0;1543.0;98.15521628498728
W04-C-Evere-FH03;0.0;0.0;832.0;823.0;1655.0;0.0;5692.0;0.0;0.0;;;;1650.0;99.69788519637463
W04-C-Evere-FH04;0.0;0.0;1024.0;1187.0;2211.0;0.0;6044.0;0.0;0.0;;;;2270.0;102.66847580280415
W04-C-Evere-FH05;0.0;0.0;48.0;254.0;302.0;0.0;739.0;0.0;0.0;;;;303.0;100.33112582781456
W04-C-Liege-FH18;0.0;0.0;177.0;1509.0;1686.0;0.0;2543.0;0.0;0.0;;;;;
W04-C-Liege-FH19;0.0;0.0;101.0;1335.0;1436.0;0.0;2350.0;0.0;0.0;;;;;
W04-C-Liege-FH20;0.0;0.0;344.0;1628.0;1972.0;0.0;2836.0;0.0;0.0;;;;;
W04-C-Liege-FH21;0.0;0.0;264.0;1178.0;1442.0;0.0;2493.0;0.0;0.0;;;;;
W04-C-Liege-FH27;0.0;0.0;257.0;173.0;430.0;0.0;0.0;0.0;0.0;;;;340.0;79.06976744186046
W06-I-A3_1180_Chaussée de Waterloo_715;1.0;0.0;2.0;1.0;3.0;50.0;34.0;1.0;1.0;100.0;1.0;50.0;2.0;66.66666666666666
rue vanderkindere 240;;0.0;;1.0;;;1.0;0.0;0.0;;;;1.0;
