Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH01;1620900;967569;;Leuvensesteenweg - Chaussée de Louvain;914;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726873;971472;;Begeertenlaan - Avenue des Désirs;22;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726785;971445;;Oud-Strijderslaan - Avenue des Anciens Combattants;35;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623850;970081;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;63;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624364;970477;;Twee Huizenstraat - Rue des Deux Maisons;60;;;;;N;;N;;;;BUILDING template
EVERE - FH01;722661;971154;;Jules Bordetlaan - Avenue Jules Bordet;140;;X;;;N;;N;;;;BUILDING template
EVERE - FH01;724012;971192;;Constant Permekelaan - Avenue Constant Permeke;65;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5700472;5620978;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;9;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620901;967570;;Leuvensesteenweg - Chaussée de Louvain;916;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620536;967249;;Begeertenlaan - Avenue des Désirs;23;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726786;971446;;Oud-Strijderslaan - Avenue des Anciens Combattants;37;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623852;970083;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;69;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624365;970478;;Twee Huizenstraat - Rue des Deux Maisons;62;;;;;N;;N;;;;BUILDING template
EVERE - FH01;722662;971155;;Jules Bordetlaan - Avenue Jules Bordet;142;;A;2020-01-13;;Y;;N;;;;BUILDING template
EVERE - FH01;1622760;969155;;Constant Permekelaan - Avenue Constant Permeke;67;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5693808;5620973;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;11;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620902;967571;;Leuvensesteenweg - Chaussée de Louvain;918;;C;2019-06-23;2019-06-23;Y;;N;;;;BUILDING template
