Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
MECHELEN - FH01;3037615;431734;;Ijzerenleen;8;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905281;450497;;Onder-den-Toren;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051162;438743;;Veemarkt;21;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031543;428291;;Borzestraat;4;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3037617;431735;;Ijzerenleen;9;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4705325;444378;;Onder-den-Toren;11;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051163;438744;;Veemarkt;23;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4745562;21704449;;Steenweg;38;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031545;428292;;Borzestraat;6;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037618;431736;;Ijzerenleen;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4700780;444375;;Onder-den-Toren;12;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051165;438745;;Veemarkt;25;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031546;428293;;Borzestraat;8;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037619;431737;;Ijzerenleen;12;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905280;450496;;Onder-den-Toren;14;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051168;438747;;Veemarkt;29;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031548;428294;;Borzestraat;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904924;450459;;Ijzerenleen;13;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051172;438749;;Veemarkt;31;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4741917;445233;;Borzestraat;12;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037620;431738;;Ijzerenleen;14;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3054428;440266;;Oude Beggaardenstraat;3;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;1339643;425520;;Veemarkt;33;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3054432;21704368;Bruul 90 - Lekkernijstraatje  1;Lekkernijstraatje;1;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3031549;428295;;Borzestraat;14;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037621;431739;;Ijzerenleen;15;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;9591;10472546;;Persoonshoek;2;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051179;438752;;Veemarkt;35;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3029545;11452607;;Arme-Clarenstraat;17;;C;;;Y;;N;;;;BUILDING template
MECHELEN - FH01;4031215;441552;;Borzestraat;16;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905271;450490;;Ijzerenleen;16;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4748668;7092622;;Persoonshoek;3;;XC;;;Y;;Y;;;;BUILDING template
MECHELEN - FH01;3051180;438753;;Veemarkt;37;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3033126;11452601;;Jef Denynplein;6;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031550;428296;;Borzestraat;18;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037622;431740;;Ijzerenleen;17;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3046126;10472507;;Persoonshoek;4;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;5374208;449022;;Veemarkt;41;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031551;428297;;Borzestraat;20;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;905272;450491;;Ijzerenleen;18;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3046128;436305;;Persoonshoek;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051183;438754;;Veemarkt;37;B;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031553;10472503;;Borzestraat;22;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037624;431741;;Ijzerenleen;19;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905711;10472543;;Persoonshoek;6;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051185;438755;;Veemarkt;37;C;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031556;428299;;Borzestraat;24;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3037625;431742;;Ijzerenleen;20;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905653;450572;;Persoonshoek;7;;C;;;Y;;N;;;;BUILDING template
MECHELEN - FH01;3051770;439045;;Vismarkt;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5970490;21704369;;Melaan;5;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3037627;431743;;Ijzerenleen;21;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3046132;436306;;Persoonshoek;9;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905659;7092690;;Vismarkt;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904599;450440;;Borzestraat;28;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3037628;431744;;Ijzerenleen;22;;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3046136;436307;;Persoonshoek;11;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051775;439046;;Vismarkt;6;;X;;;N;;N;;;;BUILDING template
MECHELEN - FH01;904600;450441;;Borzestraat;30;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904925;450460;;Ijzerenleen;23;;X;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3046140;436308;;Persoonshoek;13;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051776;439047;;Vismarkt;8;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3031559;428301;;Borzestraat;32;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904597;7092685;;Ijzerenleen;25;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;903156;450367;;Pitzemburgstraat;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3051778;439048;;Vismarkt;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4741889;445231;;Borzestraat;34;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905269;450489;;Ijzerenleen;26;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3046218;436355;;Pitzemburgstraat;4;;;;;;;N;;;;BUILDING template
