Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
HASSELT - FH04;6399932;13067375;;Ambachtsschoolstraat;50;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408095;381802;;Ambachtsschoolstraat;31;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;701623;402032;;Kleine Breemstraat;40;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4886751;397912;;Lazarijstraat;58;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434200;10522475;;Plantenstraat;24;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;6404474;13067369;;Ambachtsschoolstraat;48;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701610;10522549;;Ambachtsschoolstraat;32;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425239;387241;;Lazarijstraat;59;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890571;398075;;Plantenstraat;26;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888774;10522518;;Ambachtsschoolstraat;33;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701317;10522541;;Kuringersteenweg;1;;C;2019-10-18;2019-11-19;Y;2019-10-29;Y;2019-12-18;;;BUILDING template
HASSELT - FH04;2425242;387242;;Lazarijstraat;60;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434204;389230;Plantenstraat 27-29;Plantenstraat;27;;C;;2019-07-31;Y;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2408096;381803;;Ambachtsschoolstraat;34;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937448;10522490;;Kuringersteenweg;3;;C;2019-10-18;2019-11-19;Y;2019-10-29;Y;2019-12-18;;;BUILDING template
HASSELT - FH04;2425246;387243;;Lazarijstraat;61;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890573;398076;;Plantenstraat;28;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408098;381804;;Ambachtsschoolstraat;36;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937449;394624;;Kuringersteenweg;5;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2425249;387244;;Lazarijstraat;62;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434206;10522476;Plantenstraat 27-29;Plantenstraat;29;;C;;2019-07-31;Y;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2408100;381805;;Ambachtsschoolstraat;38;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701708;402050;;Kuringersteenweg;6;;D;;;N;2019-10-15;N;;;;BUILDING template
HASSELT - FH04;2425251;387245;;Lazarijstraat;63;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700945;12621055;Plantenstraat 31-33;Plantenstraat;31;;C;;2019-07-31;Y;2019-09-26;Y;2019-12-18;;;BUILDING template
HASSELT - FH04;2408101;381806;;Ambachtsschoolstraat;40;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423707;386895;;Kuringersteenweg;7;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425253;387246;;Lazarijstraat;64;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890530;12621214;Plantenstraat 31-33;Plantenstraat;33;;C;;2019-07-31;Y;2019-09-26;Y;2019-12-18;;;BUILDING template
HASSELT - FH04;701612;402021;;Ambachtsschoolstraat;42;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4210264;395765;;Kuringersteenweg;8;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425261;387247;;Lazarijstraat;65;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434209;389232;;Plantenstraat;34;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701606;402015;;Ambachtsschoolstraat;43;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423708;386896;;Kuringersteenweg;9;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937472;10522496;;Lazarijstraat;66;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;3937587;394726;;Plantenstraat;36;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;701613;402022;;Ambachtsschoolstraat;44;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4893022;10522526;;Kuringersteenweg;10;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2425262;387248;;Lazarijstraat;67;;;;;;;N;;;;BUILDING template
HASSELT - FH04;1515285;380545;;Plantenstraat;38;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3994616;394955;;Ambachtsschoolstraat;45;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423710;386897;;Kuringersteenweg;11;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425263;10522472;;Lazarijstraat;68;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2434214;389233;;Plantenstraat;40;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888632;10522517;;Ambachtsschoolstraat;46;;C;;;Y;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2423712;386898;;Kuringersteenweg;12;;;;;;;N;;;;BUILDING template
