Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
ANTWERPEN-WEST - FH01;2024771;7093677;;Napoleonkaai;19;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1206770;7093639;;Nassaustraat;18;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;4510651;707108;;Godefriduskaai;34;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024775;7093678;;Napoleonkaai;23;;XA;2020-01-30;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024906;7093683;;Nassaustraat;18;A;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1905601;644806;;Godefriduskaai;50;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024788;7093679;;Napoleonkaai;35;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1128025;7093633;;Nassaustraat;31;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1905643;644807;;Godefriduskaai;52;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960577;7093663;;Kattendijkdok-Westkaai;21;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024805;7093680;;Napoleonkaai;41;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4155271;7093698;;Nassaustraat;33;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4510637;707105;;Godefriduskaai;54;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960581;7093664;;Kattendijkdok-Westkaai;26;;E;2020-01-28;2020-02-12;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;108794;7093622;Kribbestraat 19_Napoleonkaai 45;Napoleonkaai;45;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;109069;7093626;;Nassaustraat;36;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108948;11196713;;Indiestraat;4;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1195063;7093637;Kattendijkdok Westkaai 41-42-43;Kattendijkdok-Westkaai;41;;A;2019-10-14;2019-10-22;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;1128035;7093636;;Napoleonkaai;51;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024953;7093684;;Nassaustraat;40;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;12721;615435;;Indiestraat;2;;C;2020-01-24;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108067;7093614;Nassaustraat 1-3;Nassaustraat;1;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1366835;7093643;;Oudeleeuwenrui;19;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1986487;7093665;;Oudeleeuwenrui;23;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1949119;650646;;Indiestraat;26;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1128028;7093634;;Nassaustraat;4;;XA;2019-10-03;;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;186519;7093658;;Oudeleeuwenrui;29;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1949129;650647;;Indiestraat;28;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024873;7093681;;Nassaustraat;10;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;186518;7093657;;Oudeleeuwenrui;37;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1949160;650648;;Indiestraat;30;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2024875;7093682;;Nassaustraat;11;;XA;2019-10-02;;Y;;Y;2019-10-08;;;BUILDING template
ANTWERPEN-WEST - FH01;4505462;706156;;Indiestraat;32;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4274709;7093700;;Nassaustraat;12;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;3989962;7093695;;Rijnkaai;23;;A;2019-10-02;2019-12-19;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;1949181;650649;;Indiestraat;34;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2047595;7093685;;Rijnkaai;28;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1734625;7093644;;Sint-Aldegondiskaai;18;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;3962177;7093694;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;40;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;4509558;7093705;;Sint-Laureiskaai;8;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108937;612637;;Kattendijkdok-Oostkaai;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;59300;7093728;Van Schoonbekeplein 11_Spanjaardsteeg 21;Spanjaardsteeg;21;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960564;652202;;Kattendijkdok-Oostkaai;6;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;59289;7093725;;Tavernierkaai;2;;XA;2019-09-20;;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;1960565;652203;;Kattendijkdok-Oostkaai;7;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960566;652204;;Kattendijkdok-Oostkaai;8;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960567;652205;;Kattendijkdok-Oostkaai;9;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960569;652207;;Kattendijkdok-Oostkaai;11;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960570;652208;;Kattendijkdok-Oostkaai;12;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;59298;7093726;;Van Schoonbekeplein;1;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960571;652209;;Kattendijkdok-Oostkaai;13;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2051446;7093686;;Van Schoonbekeplein;5;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960572;652210;;Kattendijkdok-Oostkaai;14;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2051449;7093687;;Van Schoonbekeplein;7;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;6077503;14363297;;Londenstraat;49;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960573;652211;;Kattendijkdok-Oostkaai;15;;D;;;N;;N;;;;BUILDING template
