Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
KNOKKE - FH01;333289;8502472;;Burg. Camille Deckersstraat;4;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763069;8502222;;Lippenslaan;94;;XA;;;Y;;Y;2019-09-04;2019-09-17;;BUILDING template
KNOKKE - FH01;2765485;8502319;;Piers de Raveschootlaan;4;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;332958;13436933;Van Steenestraat 9-11_Sebastiaan Nachtegaelestraat 10_Edward Verheyestraat 5;Sebastiaan Nachtegaelestraat;10;;C;;;N;;N;;;;BUILDING template
KNOKKE - FH01;333290;8502473;;Burg. Camille Deckersstraat;5;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763070;8502223;;Lippenslaan;95;;A;2019-09-10;2019-10-22;Y;;Y;2019-09-13;2019-09-26;2020-01-28;BUILDING template
KNOKKE - FH01;2765486;8502320;;Piers de Raveschootlaan;4;A;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333084;13436935;;Cassiersstraat;10;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;335942;8502490;;Burg. Camille Deckersstraat;6;;D;;;;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2763071;8502224;;Lippenslaan;96;;A;2019-08-25;2019-11-18;Y;;Y;2019-08-29;2019-09-17;2020-02-03;BUILDING template
KNOKKE - FH01;2765488;8502321;;Piers de Raveschootlaan;4;B;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333110;13436968;;Lippenslaan;67;;C;;;N;;N;;;;BUILDING template
KNOKKE - FH01;4200037;8502554;;Burg. Camille Deckersstraat;7;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763074;8502225;;Lippenslaan;97;;A;2019-09-10;2019-11-19;Y;;Y;2019-09-13;2019-09-26;2020-01-28;BUILDING template
KNOKKE - FH01;4343333;8502563;;Piers de Raveschootlaan;5;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333124;13436949;;Paul Parmentierlaan;52;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;321041;8502407;;Burg. Frans Desmidtplein;1;;XA;2019-09-09;;Y;;Y;2019-09-13;2019-09-26;;BUILDING template
KNOKKE - FH01;1486957;8502030;;Lippenslaan;98;;A;;;Y;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;333264;8502453;;Piers de Raveschootlaan;6;;D;;;;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;333128;13436943;;Boudewijnlaan;54;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758748;8502102;;Burg. Frans Desmidtplein;2;;XA;2019-10-01;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;2763078;8502226;;Lippenslaan;99;;A;2019-10-18;2019-10-22;Y;;Y;2019-11-22;2019-09-26;2020-03-25;BUILDING template
KNOKKE - FH01;2765489;8502322;;Piers de Raveschootlaan;7;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333283;13436937;;Lippenslaan;60;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758749;8502103;;Burg. Frans Desmidtplein;3;;XA;2019-09-30;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;1483952;8502029;;Lippenslaan;100;;A;;;N;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;333492;13436960;;Brandweerstraat;8;;C;;;N;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;321046;8502408;;Burg. Frans Desmidtplein;5;;XA;2019-09-07;;Y;;Y;2019-09-13;2019-09-26;;BUILDING template
KNOKKE - FH01;2763080;8502227;;Lippenslaan;101;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4343334;8502564;;Piers de Raveschootlaan;9;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333493;13436959;;Brandweerstraat;7;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333087;8502418;;Cassiersstraat;1;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763082;8502228;;Lippenslaan;102;;D;;;;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;2765492;8502323;;Piers de Raveschootlaan;11;;D;;;N;;N;;2019-10-01;;BUILDING template
KNOKKE - FH01;333500;13436974;;Maurice Lippensplein;11;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758608;8502094;;Cassiersstraat;1;A;XC;;;Y;;Y;2019-11-22;2019-10-29;;BUILDING template
KNOKKE - FH01;2763083;8502229;;Lippenslaan;104;;D;;;;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;2765493;8502324;;Piers de Raveschootlaan;12;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333501;13436973;;Maurice Lippensplein;9;;D;;;;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;2758612;8502095;;Cassiersstraat;5;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;320684;8502397;Lippenslaan 105-107-109;Lippenslaan;105;;XA;;;Y;;Y;;2020-03-11;;BUILDING template
KNOKKE - FH01;4343335;8502565;;Piers de Raveschootlaan;13;;D;;;N;;N;;2019-10-01;;BUILDING template
KNOKKE - FH01;333505;13436939;;Sebastiaan Nachtegaelestraat;14;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333085;8502417;;Cassiersstraat;7;;XC;;;Y;;Y;2019-09-13;2019-09-26;;BUILDING template
KNOKKE - FH01;5579472;8502614;Lippenslaan 105-107-109;Lippenslaan;109;;XA;;;Y;;Y;;2020-03-11;;BUILDING template
KNOKKE - FH01;2765494;8502325;;Piers de Raveschootlaan;14;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;335944;13436924;;Alfred Verweeplein;8;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758613;8502096;;Cassiersstraat;9;;D;;;N;;N;;2020-02-10;;BUILDING template
KNOKKE - FH01;2763090;8502230;;Lippenslaan;110;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765496;8502326;;Piers de Raveschootlaan;15;;C;2019-09-24;2019-10-08;Y;;Y;2020-01-28;2019-10-01;2019-10-29;BUILDING template
KNOKKE - FH01;338494;13436953;;Piers de Raveschootlaan;65;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758615;8502097;;Cassiersstraat;12;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;320683;8502396;;Lippenslaan;111;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765497;8502327;;Piers de Raveschootlaan;16;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;1321264;13436970;;Lippenslaan;165;;A;2019-10-20;2020-03-18;Y;;Y;2019-11-22;2019-09-26;2020-03-25;BUILDING template
KNOKKE - FH01;2758616;8502098;;Cassiersstraat;14;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763093;8502231;;Lippenslaan;112;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765498;8502328;;Piers de Raveschootlaan;17;;D;;;N;;N;;2019-10-01;;BUILDING template
KNOKKE - FH01;2760053;13436962;;Gulden-Vliesstraat;29;;C;;;N;;Y;2020-03-24;2020-03-29;;BUILDING template
KNOKKE - FH01;2758617;8502099;;Cassiersstraat;16;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2763097;8502232;;Lippenslaan;114;;A;2019-09-15;2019-10-20;Y;;Y;2019-09-26;2019-09-26;2019-10-22;BUILDING template
KNOKKE - FH01;2765500;8502329;;Piers de Raveschootlaan;18;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2762936;13436971;;Lippenslaan;5;A;XA;;;Y;;Y;2019-08-29;2019-09-17;;BUILDING template
KNOKKE - FH01;2763085;26077493;Lippenslaan 105-107-109;Lippenslaan;107;;XA;;;Y;;Y;;2020-03-11;;BUILDING template
KNOKKE - FH01;4345744;8502575;;Cassiersstraat;18;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;320685;8502398;Kopsdreef 2A_Lippenslaan 115;Lippenslaan;115;;A;2020-03-17;2020-03-17;Y;;N;;2020-03-11;2020-03-25;BUILDING template
