Projectnummer;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
KNOKKE-HEIST - FH09;2756714;2756714;BUILDING template;XA;Zeedijk-Heist;67;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4146526;4146526;BUILDING template;XA;Zeedijk-Heist;84;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756727;2756727;BUILDING template;XA;Zeedijk-Heist;86;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756734;2756734;BUILDING template;XA;Zeedijk-Heist;92;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756736;2756736;BUILDING template;XA;Zeedijk-Heist;96;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756743;2756743;BUILDING template;XA;Zeedijk-Heist;101;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4337540;4337540;BUILDING template;XA;Zeedijk-Heist;102;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;6396864;6396864;BUILDING template;XA;Zeedijk-Heist;105;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756778;2756778;BUILDING template;XA;Zeedijk-Heist;145;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756780;2756780;BUILDING template;XA;Zeedijk-Heist;147;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;6524198;6524198;BUILDING template;XA;Zeedijk-Heist;149;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579219;5579219;BUILDING template;XA;Zeedijk-Heist;166;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;6524195;6524195;BUILDING template;XA;Zeedijk-Heist;172;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756812;2756812;BUILDING template;XA;Zeedijk-Heist;180;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;1491084;1491084;BUILDING template;XA;Zeedijk-Heist;190;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756832;2756832;BUILDING template;XA;Zeedijk-Heist;201;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756835;2756835;BUILDING template;XA;Zeedijk-Heist;202;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756841;2756841;BUILDING template;XA;Zeedijk-Heist;207;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4335233;4335233;BUILDING template;XA;Zeedijk-Heist;212;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579223;5579223;BUILDING template;XA;Zeedijk-Heist;213;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756847;2756847;BUILDING template;XA;Zeedijk-Heist;214;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756850;2756850;BUILDING template;XA;Zeedijk-Heist;215;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756859;2756859;BUILDING template;XA;Zeedijk-Heist;238;;B;BOWN;B;BOWN
